"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00039","","","","30","18.6","24","60","43","14.98","1.92","16.9","35.5","103","0.249666667","0.044651163","0.16407767","4.291666667","3.433333333","2.5","2","0.704166667","0.563333333","0.775","0.62","58.25242718","47.6056338","80","22.19259259","27.74074074","25.03703704","31.2962963","27.55555556","34.44444444","52.59259259","65.74074074"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00040","","","","30","16.47","27","45","64","10.48","3.32","13.8","30.27","109","0.232888889","0.051875","0.126605505","4.037037037","3.633333333","1.666666667","1.5","0.511111111","0.46","0.61","0.549","41.28440367","45.58969277","90","15.52592593","17.25102881","20.44444444","22.71604938","24.4","27.11111111","44.84444444","49.82716049"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00041","","","","30","15.33","24","58","68","7.41","2.51","9.92","25.25","126","0.127758621","0.036911765","0.078730159","5.25","4.2","2.416666667","1.933333333","0.413333333","0.330666667","0.63875","0.511","46.03174603","39.28712871","80","10.97777778","13.72222222","14.6962963","18.37037037","22.71111111","28.38888889","37.40740741","46.75925926"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00042","","","","30","9.37","25","48","50","8.42","2.87","11.29","20.66","98","0.175416667","0.0574","0.115204082","3.92","3.266666667","1.92","1.6","0.4516","0.376333333","0.3748","0.312333333","48.97959184","54.64666021","83.33333333","12.47407407","14.96888889","16.72592593","20.07111111","13.88148148","16.65777778","30.60740741","36.72888889"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00043","","","","30","13.98","23","38","42","6.65","1.79","8.44","22.42","80","0.175","0.042619048","0.1055","3.47826087","2.666666667","1.652173913","1.266666667","0.366956522","0.281333333","0.607826087","0.466","47.5","37.64495986","76.66666667","9.851851852","12.85024155","12.5037037","16.30917874","20.71111111","27.01449275","33.21481481","43.3236715"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00044","","","","30","6.08","25","40","40","5.47","1.43","6.9","12.98","80","0.13675","0.03575","0.08625","3.2","2.666666667","1.6","1.333333333","0.276","0.23","0.2432","0.202666667","50","53.1587057","83.33333333","8.103703704","9.724444444","10.22222222","12.26666667","9.007407407","10.80888889","19.22962963","23.07555556"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00045","","","","30","13.9","23","27","40","5.06","1.3","6.36","20.26","67","0.187407407","0.0325","0.094925373","2.913043478","2.233333333","1.173913043","0.9","0.276521739","0.212","0.604347826","0.463333333","40.29850746","31.39190523","76.66666667","7.496296296","9.777777778","9.422222222","12.28985507","20.59259259","26.85990338","30.01481481","39.14975845"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00046","","","","30","9.68","18","30","30","3.33","0.92","4.25","13.93","60","0.111","0.030666667","0.070833333","3.333333333","2","1.666666667","1","0.236111111","0.141666667","0.537777778","0.322666667","50","30.50969131","60","4.933333333","8.222222222","6.296296296","10.49382716","14.34074074","23.90123457","20.63703704","34.39506173"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00047","","","","30","15.24","16","23","29","3.54","0.92","4.46","19.7","52","0.153913043","0.031724138","0.085769231","3.25","1.733333333","1.4375","0.766666667","0.27875","0.148666667","0.9525","0.508","44.23076923","22.63959391","53.33333333","5.244444444","9.833333333","6.607407407","12.38888889","22.57777778","42.33333333","29.18518519","54.72222222"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00048","","","","30","12.1","16","30","42","4.61","1.48","6.09","18.19","72","0.153666667","0.035238095","0.084583333","4.5","2.4","1.875","1","0.380625","0.203","0.75625","0.403333333","41.66666667","33.47993403","53.33333333","6.82962963","12.80555556","9.022222222","16.91666667","17.92592593","33.61111111","26.94814815","50.52777778"
