"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00033","","","","10","8","4","14","0.8","0.55","14.23","29.19762629","1.35","15.58","18","0.2","0.039285714","0.075","2.25","1.8","0.5","0.4","0.16875","0.135","1.77875","1.423","22.22222222","8.664955071","80","0.394167955","3.555555556","4.444444444","6","7.5","63.24444444","79.05555556","1.751857577","2.189821972","69.24444444","86.55555556","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00034","","","","10","5","8","9","1.41","0.64","8.76","28.71920444","2.05","10.81","17","0.17625","0.071111111","0.120588235","3.4","1.7","1.6","0.8","0.41","0.205","1.752","0.876","47.05882353","18.96392229","50","0.588743691","6.266666667","12.53333333","9.111111111","18.22222222","38.93333333","77.86666667","2.616638627","5.233277254","48.04444444","96.08888889","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00035","","","","10","9","10","22","2.01","1.21","13.75","26.27135578","3.22","16.97","32","0.201","0.055","0.100625","3.555555556","3.2","1.111111111","1","0.357777778","0.322","1.527777778","1.375","31.25","18.97466117","90","0.845937656","8.933333333","9.925925926","14.31111111","15.90123457","61.11111111","67.90123457","3.759722916","4.177469907","75.42222222","83.80246914","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00036","","","","10","7","6","29","1.45","2.04","15.2","30.02832861","3.49","18.69","35","0.241666667","0.070344828","0.099714286","5","3.5","0.857142857","0.6","0.498571429","0.349","2.171428571","1.52","17.14285714","18.67308721","70","1.047988668","6.444444444","9.206349206","15.51111111","22.15873016","67.55555556","96.50793651","4.657727416","6.653896308","83.06666667","118.6666667","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00037","","","","10","9","5","15","1.11","0.66","14.46","25.52989876","1.77","16.23","20","0.222","0.044","0.0885","2.222222222","2","0.555555556","0.5","0.196666667","0.177","1.606666667","1.446","25","10.90573013","90","0.451879208","4.933333333","5.481481481","7.866666667","8.740740741","64.26666667","71.40740741","2.008352036","2.231502262","72.13333333","80.14814815","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00038","","","","10","9","10","18","1.64","0.41","5.55","28.00557325","2.05","7.6","28","0.164","0.022777778","0.073214286","3.111111111","2.8","1.111111111","1","0.227777778","0.205","0.616666667","0.555","35.71428571","26.97368421","90","0.574114252","7.288888889","8.098765432","9.111111111","10.12345679","24.66666667","27.40740741","2.551618896","2.835132107","33.77777778","37.5308642","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00039","","","","10","9","22","15","3.24","0.48","13.64","24.13673175","3.72","17.36","37","0.147272727","0.032","0.100540541","4.111111111","3.7","2.444444444","2.2","0.413333333","0.372","1.515555556","1.364","59.45945946","21.42857143","90","0.897886421","14.4","16","16.53333333","18.37037037","60.62222222","67.35802469","3.990606316","4.434007018","77.15555556","85.72839506","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00040","","","","10","8","25","16","4.32","0.57","7.34","25.01740774","4.89","12.23","41","0.1728","0.035625","0.119268293","5.125","4.1","3.125","2.5","0.61125","0.489","0.9175","0.734","60.97560976","39.98364677","80","1.223351238","19.2","24","21.73333333","27.16666667","32.62222222","40.77777778","5.437116615","6.796395769","54.35555556","67.94444444","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00041","","","","10","9","0","4","0","0.05","12.24","","0.05","12.29","4","","0.0125","0.0125","0.444444444","0.4","0","0","0.005555556","0.005","1.36","1.224","0","0.406834825","90","","0","0","0.222222222","0.24691358","54.4","60.44444444","","","54.62222222","60.69135802","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00042","","","","10","8","4","6","0.32","0.06","13.69","34.36243352","0.38","14.07","10","0.08","0.01","0.038","1.25","1","0.5","0.4","0.0475","0.038","1.71125","1.369","40","2.700781805","80","0.130577247","1.422222222","1.777777778","1.688888889","2.111111111","60.84444444","76.05555556","0.580343322","0.725429152","62.53333333","78.16666667","1",""
