"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00144","","","","3","0.18","1","1","0.27","0.06","0.33","0.51","2","0.27","0.06","0.165","0.666666667","0.333333333","0.11","0.06","50","64.70588235","4","4.888888889","2.666666667","7.555555556"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00145","","","","3","0.3","0","3","0","0.22","0.22","0.52","3","","0.073333333","0.073333333","1","0","0.073333333","0.1","0","42.30769231","0","3.259259259","4.444444444","7.703703704"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00146","","","","3","0.67","0","1","0","0.05","0.05","0.72","1","","0.05","0.05","0.333333333","0","0.016666667","0.223333333","0","6.944444444","0","0.740740741","9.925925926","10.66666667"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00147","","","","3","1.25","0","3","0","0.1","0.1","1.35","3","","0.033333333","0.033333333","1","0","0.033333333","0.416666667","0","7.407407407","0","1.481481481","18.51851852","20"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00148","","","","3","3.12","6","3","1.09","0.08","1.17","4.29","9","0.181666667","0.026666667","0.13","3","2","0.39","1.04","66.66666667","27.27272727","16.14814815","17.33333333","46.22222222","63.55555556"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00149","","","","3","3.78","2","4","0.25","0.16","0.41","4.19","6","0.125","0.04","0.068333333","2","0.666666667","0.136666667","1.26","33.33333333","9.785202864","3.703703704","6.074074074","56","62.07407407"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00150","","","","3","1.56","8","3","1.34","0.12","1.46","3.02","11","0.1675","0.04","0.132727273","3.666666667","2.666666667","0.486666667","0.52","72.72727273","48.34437086","19.85185185","21.62962963","23.11111111","44.74074074"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00151","","","","3","0.24","1","3","0.13","0.07","0.2","0.44","4","0.13","0.023333333","0.05","1.333333333","0.333333333","0.066666667","0.08","25","45.45454545","1.925925926","2.962962963","3.555555556","6.518518519"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00152","","","","3","0.82","7","4","0.9","0.11","1.01","1.83","11","0.128571429","0.0275","0.091818182","3.666666667","2.333333333","0.336666667","0.273333333","63.63636364","55.19125683","13.33333333","14.96296296","12.14814815","27.11111111"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00153","","","","3","1.07","2","4","0.48","0.18","0.66","1.73","6","0.24","0.045","0.11","2","0.666666667","0.22","0.356666667","33.33333333","38.15028902","7.111111111","9.777777778","15.85185185","25.62962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00154","","","","3","0.82","4","0","0.41","0","0.41","1.23","4","0.1025","","0.1025","1.333333333","1.333333333","0.136666667","0.273333333","100","33.33333333","6.074074074","6.074074074","12.14814815","18.22222222"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00155","","","","3","1.63","4","6","0.52","0.21","0.73","2.36","10","0.13","0.035","0.073","3.333333333","1.333333333","0.243333333","0.543333333","40","30.93220339","7.703703704","10.81481481","24.14814815","34.96296296"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00156","","","","3","1.73","3","1","0.2","0.04","0.24","1.97","4","0.066666667","0.04","0.06","1.333333333","1","0.08","0.576666667","75","12.18274112","2.962962963","3.555555556","25.62962963","29.18518519"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00157","","","","3","2.12","10","6","1.47","0.21","1.68","3.8","16","0.147","0.035","0.105","5.333333333","3.333333333","0.56","0.706666667","62.5","44.21052632","21.77777778","24.88888889","31.40740741","56.2962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00158","","","","3","0.35","2","1","0.18","0.04","0.22","0.57","3","0.09","0.04","0.073333333","1","0.666666667","0.073333333","0.116666667","66.66666667","38.59649123","2.666666667","3.259259259","5.185185185","8.444444444"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00159","","","","3","0.5","5","4","0.72","0.14","0.86","1.36","9","0.144","0.035","0.095555556","3","1.666666667","0.286666667","0.166666667","55.55555556","63.23529412","10.66666667","12.74074074","7.407407407","20.14814815"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00160","","","","3","1.16","11","6","1.57","0.18","1.75","2.91","17","0.142727273","0.03","0.102941176","5.666666667","3.666666667","0.583333333","0.386666667","64.70588235","60.13745704","23.25925926","25.92592593","17.18518519","43.11111111"
