"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00031","","","","10","2","1","2","0.53","0.14","5.66","25.49313358","0.67","6.33","3","0.53","0.07","0.223333333","1.5","0.3","0.5","0.1","0.335","0.067","2.83","0.566","33.33333333","10.58451817","20","0.170803995","2.355555556","11.77777778","2.977777778","14.88888889","25.15555556","125.7777778","0.759128867","3.795644333","28.13333333","140.6666667","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00032","","","","10","1","1","2","1.13","0.17","1.62","24.70155193","1.3","2.92","3","1.13","0.085","0.433333333","3","0.3","1","0.1","1.3","0.13","1.62","0.162","33.33333333","44.52054795","10","0.321120175","5.022222222","50.22222222","5.777777778","57.77777778","7.2","72","1.427200778","14.27200778","12.97777778","129.7777778","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00033","","","","10","6","16","6","4.23","0.21","6.23","23.86964767","4.44","10.67","22","0.264375","0.035","0.201818182","3.666666667","2.2","2.666666667","1.6","0.74","0.444","1.038333333","0.623","72.72727273","41.61199625","60","1.059812357","18.8","31.33333333","19.73333333","32.88888889","27.68888889","46.14814815","4.71027714","7.8504619","47.42222222","79.03703704","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00034","","","","10","7","21","32","4.7","0.8","6.15","23.17877486","5.5","11.65","53","0.223809524","0.025","0.103773585","7.571428571","5.3","3","2.1","0.785714286","0.55","0.878571429","0.615","39.62264151","47.21030043","70","1.274832617","20.88888889","29.84126984","24.44444444","34.92063492","27.33333333","39.04761905","5.665922744","8.094175348","51.77777778","73.96825397","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00035","","","","10","3","9","10","3.76","0.7","3.81","22.73090764","4.46","8.27","19","0.417777778","0.07","0.234736842","6.333333333","1.9","3","0.9","1.486666667","0.446","1.27","0.381","47.36842105","53.92986699","30","1.013798481","16.71111111","55.7037037","19.82222222","66.07407407","16.93333333","56.44444444","4.505771026","15.01923675","36.75555556","122.5185185","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00036","","","","10","4","18","11","5.52","1.35","8.65","23.47752417","6.87","15.52","29","0.306666667","0.122727273","0.236896552","7.25","2.9","4.5","1.8","1.7175","0.687","2.1625","0.865","62.06896552","44.26546392","40","1.61290591","24.53333333","61.33333333","30.53333333","76.33333333","38.44444444","96.11111111","7.168470713","17.92117678","68.97777778","172.4444444","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00037","","","","10","5","3","7","1.28","0.8","11.23","22.57470767","2.08","13.31","10","0.426666667","0.114285714","0.208","2","1","0.6","0.3","0.416","0.208","2.246","1.123","30","15.62734786","50","0.46955392","5.688888889","11.37777778","9.244444444","18.48888889","49.91111111","99.82222222","2.086906309","4.173812618","59.15555556","118.3111111","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00038","","","","10","5","9","2","1.65","0.1","5.15","22.29984146","1.75","6.9","11","0.183333333","0.05","0.159090909","2.2","1.1","1.8","0.9","0.35","0.175","1.03","0.515","81.81818182","25.36231884","50","0.390247226","7.333333333","14.66666667","7.777777778","15.55555556","22.88888889","45.77777778","1.734432114","3.468864227","30.66666667","61.33333333","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00039","","","","10","7","8","7","2.51","0.42","13.37","22.06425222","2.93","16.3","15","0.31375","0.06","0.195333333","2.142857143","1.5","1.142857143","0.8","0.418571429","0.293","1.91","1.337","53.33333333","17.97546012","70","0.64648259","11.15555556","15.93650794","13.02222222","18.6031746","59.42222222","84.88888889","2.873255956","4.104651365","72.44444444","103.4920635","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00040","","","","10","5","6","10","1.22","0.65","5.07","22.36375443","1.87","6.94","16","0.203333333","0.065","0.116875","3.2","1.6","1.2","0.6","0.374","0.187","1.014","0.507","37.5","26.94524496","50","0.418202208","5.422222222","10.84444444","8.311111111","16.62222222","22.53333333","45.06666667","1.858676479","3.717352959","30.84444444","61.68888889","","1"
