"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00031","","","","10","8","9","12","2.03","0.34","2.07","34.81684525","2.37","4.44","21","0.225555556","0.028333333","0.112857143","2.625","2.1","1.125","0.9","0.29625","0.237","0.25875","0.207","42.85714286","53.37837838","80","0.825159232","9.022222222","11.27777778","10.53333333","13.16666667","9.2","11.5","3.667374366","4.584217958","19.73333333","24.66666667","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00032","","","","10","7","9","7","1.36","0.2","2.43","31.55542312","1.56","3.99","16","0.151111111","0.028571429","0.0975","2.285714286","1.6","1.285714286","0.9","0.222857143","0.156","0.347142857","0.243","56.25","39.09774436","70","0.492264601","6.044444444","8.634920635","6.933333333","9.904761905","10.8","15.42857143","2.18784267","3.125489528","17.73333333","25.33333333","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00033","","","","10","8","6","22","1.1","0.78","5.6","25.6768908","1.88","7.48","28","0.183333333","0.035454545","0.067142857","3.5","2.8","0.75","0.6","0.235","0.188","0.7","0.56","21.42857143","25.13368984","80","0.482725547","4.888888889","6.111111111","8.355555556","10.44444444","24.88888889","31.11111111","2.145446876","2.681808595","33.24444444","41.55555556","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00034","","","","10","7","10","13","1.8","0.39","6.03","27.56579275","2.19","8.22","23","0.18","0.03","0.095217391","3.285714286","2.3","1.428571429","1","0.312857143","0.219","0.861428571","0.603","43.47826087","26.64233577","70","0.603690861","8","11.42857143","9.733333333","13.9047619","26.8","38.28571429","2.683070494","3.832957849","36.53333333","52.19047619","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00035","","","","10","7","13","14","2.19","0.47","2.61","27.46454342","2.66","5.27","27","0.168461538","0.033571429","0.098518519","3.857142857","2.7","1.857142857","1.3","0.38","0.266","0.372857143","0.261","48.14814815","50.4743833","70","0.730556855","9.733333333","13.9047619","11.82222222","16.88888889","11.6","16.57142857","3.246919355","4.638456222","23.42222222","33.46031746","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00036","","","","10","6","12","7","2.83","0.35","4.33","25.02748626","3.18","7.51","19","0.235833333","0.05","0.167368421","3.166666667","1.9","2","1.2","0.53","0.318","0.721666667","0.433","63.15789474","42.34354194","60","0.795874063","12.57777778","20.96296296","14.13333333","23.55555556","19.24444444","32.07407407","3.537218058","5.89536343","33.37777778","55.62962963","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00037","","","","10","10","24","65","3.38","1.88","3.78","20.17517667","5.26","9.04","89","0.140833333","0.028923077","0.059101124","8.9","8.9","2.4","2.4","0.526","0.526","0.378","0.378","26.96629213","58.18584071","100","1.061214293","15.02222222","15.02222222","23.37777778","23.37777778","16.8","16.8","4.716507968","4.716507968","40.17777778","40.17777778","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00038","","","","10","9","23","31","3.33","1.01","5.86","21.59944298","4.34","10.2","54","0.144782609","0.032580645","0.08037037","6","5.4","2.555555556","2.3","0.482222222","0.434","0.651111111","0.586","42.59259259","42.54901961","90","0.937415825","14.8","16.44444444","19.28888889","21.43209877","26.04444444","28.9382716","4.166292557","4.629213952","45.33333333","50.37037037","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00039","","","","10","8","41","20","4.66","0.4","3.32","21.62592722","5.06","8.38","61","0.113658537","0.02","0.08295082","7.625","6.1","5.125","4.1","0.6325","0.506","0.415","0.332","67.21311475","60.38186158","80","1.094271917","20.71111111","25.88888889","22.48888889","28.11111111","14.75555556","18.44444444","4.863430744","6.07928843","37.24444444","46.55555556","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00040","","","","10","10","47","19","7.89","0.42","3.41","20.66646742","8.31","11.72","66","0.16787234","0.022105263","0.125909091","6.6","6.6","4.7","4.7","0.831","0.831","0.341","0.341","71.21212121","70.90443686","100","1.717383443","35.06666667","35.06666667","36.93333333","36.93333333","15.15555556","15.15555556","7.6328153","7.6328153","52.08888889","52.08888889","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00041","","","","10","9","13","22","1.93","0.86","7.75","31.77783288","2.79","10.54","35","0.148461538","0.039090909","0.079714286","3.888888889","3.5","1.444444444","1.3","0.31","0.279","0.861111111","0.775","37.14285714","26.47058824","90","0.886601537","8.577777778","9.530864198","12.4","13.77777778","34.44444444","38.27160494","3.940451277","4.378279197","46.84444444","52.04938272","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00042","","","","10","7","11","10","1.8","0.5","6.5","29.07080968","2.3","8.8","21","0.163636364","0.05","0.10952381","3","2.1","1.571428571","1.1","0.328571429","0.23","0.928571429","0.65","52.38095238","26.13636364","70","0.668628623","8","11.42857143","10.22222222","14.6031746","28.88888889","41.26984127","2.971682767","4.245261096","39.11111111","55.87301587","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00043","","","","10","9","24","14","4.21","0.55","5.21","28.73781555","4.76","9.97","38","0.175416667","0.039285714","0.125263158","4.222222222","3.8","2.666666667","2.4","0.528888889","0.476","0.578888889","0.521","63.15789474","47.74322969","90","1.36792002","18.71111111","20.79012346","21.15555556","23.50617284","23.15555556","25.72839506","6.079644534","6.755160593","44.31111111","49.2345679","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00044","","","","10","7","31","12","5.81","0.28","4.89","31.91680383","6.09","10.98","43","0.187419355","0.023333333","0.141627907","6.142857143","4.3","4.428571429","3.1","0.87","0.609","0.698571429","0.489","72.09302326","55.46448087","70","1.943733353","25.82222222","36.88888889","27.06666667","38.66666667","21.73333333","31.04761905","8.638814903","12.34116415","48.8","69.71428571","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00045","","","","10","9","18","16","4.04","1.17","5.95","28.72483892","5.21","11.16","34","0.224444444","0.073125","0.153235294","3.777777778","3.4","2","1.8","0.578888889","0.521","0.661111111","0.595","52.94117647","46.68458781","90","1.496564108","17.95555556","19.95061728","23.15555556","25.72839506","26.44444444","29.38271605","6.651396034","7.390440038","49.6","55.11111111","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00046","","","","10","8","15","7","4.9","0.23","5.34","26.73459245","5.13","10.47","22","0.326666667","0.032857143","0.233181818","2.75","2.2","1.875","1.5","0.64125","0.513","0.6675","0.534","68.18181818","48.99713467","80","1.371484593","21.77777778","27.22222222","22.8","28.5","23.73333333","29.66666667","6.095487079","7.619358848","46.53333333","58.16666667","1",""
