"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00080","","","","30","2","9","2","98","206.7","9","1","2","5","1","0.12","304.7","32.16278307","108.8888889","229.6666667","338.5555556","3.266666667","6.89"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00081","","","","30","2","6","2","21.1","33.3","5","7","6","3","3","1.65","54.4","38.78676471","23.44444444","37","60.44444444","0.703333333","1.11"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00082","","","","30","2","7","2","30.2","23.3","5","3","1","8","3","1.65","53.5","56.44859813","33.55555556","25.88888889","59.44444444","1.006666667","0.776666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00083","","","","30","2","6","2","25.9","26","8","3","1","3","3","14.37","51.9","49.90366089","28.77777778","28.88888889","57.66666667","0.863333333","0.866666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00084","","","","30","5","5","2","5.8","4.4","8","4","2","9","7","7.23","10.2","56.8627451","6.444444444","4.888888889","11.33333333","0.193333333","0.146666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00085","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00086","","","","30","2","7","1","28.5","18.3","6","2","2","5","3","6.12","46.8","60.8974359","31.66666667","20.33333333","52","0.95","0.61"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00087","","","","30","3","6","2","0","50","","","","","","","50","0","0","55.55555556","55.55555556","0","1.666666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00088","","","","30","3","3","2","0.7","0.8","","6","2","2","7","","1.5","46.66666667","0.777777778","0.888888889","1.666666667","0.023333333","0.026666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00089","","","","30","2","9","2","43.3","110","8","1","1","5","1","0","153.3","28.24527071","48.11111111","122.2222222","170.3333333","1.443333333","3.666666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00090","","","","30","2","3","1","44.7","15","2","4","3","3","3","1.74","59.7","74.87437186","49.66666667","16.66666667","66.33333333","1.49","0.5"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00091","","","","30","7","3","2","35.7","35","2","3","5","4","3","1.65","70.7","50.4950495","39.66666667","38.88888889","78.55555556","1.19","1.166666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00092","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00093","","","","30","1","4","1","11.1","2.2","5","1","1","5","3","7.76","13.3","83.45864662","12.33333333","2.444444444","14.77777778","0.37","0.073333333"
