"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00031","","","","5","5","1","3","7","1","2","5","5","3","1.2","0.06","8","5","1","1","2","2","0","1.26","9.26","0.24","0.02","8","1.6","1.6","1","1","0.252","0.252","1.6","1.6","62.5","13.60691145","100","8","8.4","53.33333333","61.73333333","0.1575","8","8.4","53.33333333","61.73333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00032","","","","5","4","1","2","7","1","2","4","7","0","1.6","0","11","4","2","1","4","4","0.12","1.6","12.6","0.228571429","","7","1.75","1.4","1.75","1.4","0.4","0.32","2.75","2.2","100","12.6984127","80","10.66666667","10.66666667","73.33333333","84","0.228571429","13.33333333","13.33333333","91.66666667","105"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00033","","","","5","4","3","2","6","1","2","2","7","3","0.68","0.04","4","2","1","1","3","6","0","0.72","4.72","0.097142857","0.013333333","10","5","2","3.5","1.4","0.36","0.144","2","0.8","70","15.25423729","40","4.533333333","4.8","26.66666667","31.46666667","0.072","11.33333333","12","66.66666667","78.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00034","","","","5","2","2","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00035","","","","5","5","1","2","9","1","1","5","13","8","1","0.1","12","3","2","1","3","5","0","1.1","13.1","0.076923077","0.0125","21","4.2","4.2","2.6","2.6","0.22","0.22","2.4","2.4","61.9047619","8.396946565","100","6.666666667","7.333333333","80","87.33333333","0.052380952","6.666666667","7.333333333","80","87.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00036","","","","5","5","1","2","7","1","2","3","12","0","3","0","14","3","3","2","6","4","0","3","17","0.25","","12","4","2.4","4","2.4","1","0.6","4.666666667","2.8","100","17.64705882","60","20","20","93.33333333","113.3333333","0.25","33.33333333","33.33333333","155.5555556","188.8888889"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00037","","","","5","4","2","2","8","2","2","4","4","1","4","0.02","10","3","2","1","3","1","0","4.02","14.02","1","0.02","5","1.25","1","1","0.8","1.005","0.804","2.5","2","80","28.67332382","80","26.66666667","26.8","66.66666667","93.46666667","0.804","33.33333333","33.5","83.33333333","116.8333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00038","","","","5","3","1","2","6","1","2","1","0","0","0","0","6","","","","","","","0","6","","","0","0","0","0","0","0","0","6","1.2","","0","20","0","0","40","40","","0","0","200","200"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00039","","","","5","4","5","5","7","2","2","4","5","3","0.64","0.04","2","9","2","3","3","5","0","0.68","2.68","0.128","0.013333333","8","2","1.6","1.25","1","0.17","0.136","0.5","0.4","62.5","25.37313433","80","4.266666667","4.533333333","13.33333333","17.86666667","0.085","5.333333333","5.666666667","16.66666667","22.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00040","","","","5","5","2","3","7","1","2","3","9","14","1.28","0.24","3.5","5","3","7","2","5","14.37","1.52","5.02","0.142222222","0.017142857","23","7.666666667","4.6","3","1.8","0.506666667","0.304","1.166666667","0.7","39.13043478","30.27888446","60","8.533333333","10.13333333","23.33333333","33.46666667","0.066086957","14.22222222","16.88888889","38.88888889","55.77777778"
