"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00033","","","","16","8","2","2","9","2","2","7","43","10","8.6","0.15","25","2","1","1","2","1","0","8.75","33.75","53","0.2","0.015","0.16509434","7.571428571","3.3125","6.142857143","2.6875","1.25","0.546875","3.571428571","1.5625","81.13207547","25.92592593","43.75","17.91666667","18.22916667","52.08333333","70.3125","40.95238095","41.66666667","119.047619","160.7142857"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00034","","","","16","12","2","2","8","2","1","9","26","32","15","1.2","25.6","6","1","8","4","1","1.38","16.2","41.8","58","0.576923077","0.0375","0.279310345","6.444444444","3.625","2.888888889","1.625","1.8","1.0125","2.844444444","1.6","44.82758621","38.75598086","56.25","31.25","33.75","53.33333333","87.08333333","55.55555556","60","94.81481481","154.8148148"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00035","","","","16","15","3","4","7","2","2","15","48","18","15","0.7","24","6","1","1","3","1","0","15.7","39.7","66","0.3125","0.038888889","0.237878788","4.4","4.125","3.2","3","1.046666667","0.98125","1.6","1.5","72.72727273","39.5465995","93.75","31.25","32.70833333","50","82.70833333","33.33333333","34.88888889","53.33333333","88.22222222"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00036","","","","16","11","2","2","4","2","3","11","30","17","6.5","0.75","15","4","3","3","5","1","7.76","7.25","22.25","47","0.216666667","0.044117647","0.154255319","4.272727273","2.9375","2.727272727","1.875","0.659090909","0.453125","1.363636364","0.9375","63.82978723","32.58426966","68.75","13.54166667","15.10416667","31.25","46.35416667","19.6969697","21.96969697","45.45454545","67.42424242"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00037","","","","16","15","1","2","7","2","2","15","40","32","13","1.3","10","7","2","3","3","1","0.02","14.3","24.3","72","0.325","0.040625","0.198611111","4.8","4.5","2.666666667","2.5","0.953333333","0.89375","0.666666667","0.625","55.55555556","58.84773663","93.75","27.08333333","29.79166667","20.83333333","50.625","28.88888889","31.77777778","22.22222222","54"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00038","","","","16","11","2","3","6","2","2","9","47","47","12.5","2.4","8","2","2","8","2","1","0.02","14.9","22.9","94","0.265957447","0.05106383","0.158510638","10.44444444","5.875","5.222222222","2.9375","1.655555556","0.93125","0.888888889","0.5","50","65.06550218","56.25","26.04166667","31.04166667","16.66666667","47.70833333","46.2962963","55.18518519","29.62962963","84.81481481"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00039","","","","16","8","2","2","7","2","3","8","45","26","17.5","1","18","2","1","8","2","1","0.12","18.5","36.5","71","0.388888889","0.038461538","0.26056338","8.875","4.4375","5.625","2.8125","2.3125","1.15625","2.25","1.125","63.38028169","50.68493151","50","36.45833333","38.54166667","37.5","76.04166667","72.91666667","77.08333333","75","152.0833333"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00040","","","","16","15","3","4","6","2","2","13","22","15","11.5","1","18.2","7","2","2","3","1","3.96","12.5","30.7","37","0.522727273","0.066666667","0.337837838","2.846153846","2.3125","1.692307692","1.375","0.961538462","0.78125","1.4","1.1375","59.45945946","40.71661238","81.25","23.95833333","26.04166667","37.91666667","63.95833333","29.48717949","32.05128205","46.66666667","78.71794872"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00041","","","","16","15","1","2","6","2","2","10","35","33","12","1.5","9","4","2","2","3","1","12.39","13.5","22.5","68","0.342857143","0.045454545","0.198529412","6.8","4.25","3.5","2.1875","1.35","0.84375","0.9","0.5625","51.47058824","60","62.5","25","28.125","18.75","46.875","40","45","30","75"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00042","","","","16","10","2","4","7","2","2","8","27","44","9","1.8","24","6","3","8","3","1","0.15","10.8","34.8","71","0.333333333","0.040909091","0.152112676","8.875","4.4375","3.375","1.6875","1.35","0.675","3","1.5","38.02816901","31.03448276","50","18.75","22.5","50","72.5","37.5","45","100","145"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00043","","","","16","10","2","5","6","2","2","9","37","49","12","1.6","19","6","3","1","4","1","0.02","13.6","32.6","86","0.324324324","0.032653061","0.158139535","9.555555556","5.375","4.111111111","2.3125","1.511111111","0.85","2.111111111","1.1875","43.02325581","41.71779141","56.25","25","28.33333333","39.58333333","67.91666667","44.44444444","50.37037037","70.37037037","120.7407407"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00044","","","","16","12","1","2","5","2","2","12","40","32","12","2.3","10","5","2","8","3","1","14.37","14.3","24.3","72","0.3","0.071875","0.198611111","6","4.5","3.333333333","2.5","1.191666667","0.89375","0.833333333","0.625","55.55555556","58.84773663","75","25","29.79166667","20.83333333","50.625","33.33333333","39.72222222","27.77777778","67.5"
"","","UGP2017SER-PT03","","","","","","","","","UGP2017SER-PT03-00045","","","","16","7","2","3","6","2","1","6","19","14","7","0.5","6","7","4","3","4","1","4.92","7.5","13.5","33","0.368421053","0.035714286","0.227272727","5.5","2.0625","3.166666667","1.1875","1.25","0.46875","1","0.375","57.57575758","55.55555556","37.5","14.58333333","15.625","12.5","28.125","38.88888889","41.66666667","33.33333333","75"
