"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00031","","","","20","20","2","1","2","8","1","17","9","3","1.15","0.03","3.5","6","2","2","3","3","1","1.18","4.68","12","0.127777778","0.01","0.098333333","0.705882353","0.6","0.529411765","0.45","0.069411765","0.059","0.205882353","0.175","75","25.21367521","85","1.916666667","1.966666667","5.833333333","7.8","2.254901961","2.31372549","6.862745098","9.176470588"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00032","","","","20","20","2","1","2","9","2","18","15","4","4.15","0.02","8.65","6","7","4","3","2","3","4.17","12.82","19","0.276666667","0.005","0.219473684","1.055555556","0.95","0.833333333","0.75","0.231666667","0.2085","0.480555556","0.4325","78.94736842","32.52730109","90","6.916666667","6.95","14.41666667","21.36666667","7.685185185","7.722222222","16.01851852","23.74074074"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00033","","","","20","16","2","1","2","9","1","16","10","5","0.6","0.02","16.15","6","3","5","3","8","1","0.62","16.77","15","0.06","0.004","0.041333333","0.9375","0.75","0.625","0.5","0.03875","0.031","1.009375","0.8075","66.66666667","3.697078116","80","1","1.033333333","26.91666667","27.95","1.25","1.291666667","33.64583333","34.9375"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00034","","","","20","14","2","1","2","9","1","14","0","0","0","0","9.1","","","","","","","0","9.1","0","","","","0","0","0","0","0","0","0.65","0.455","","0","70","0","0","15.16666667","15.16666667","0","0","21.66666667","21.66666667"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00035","","","","20","20","1","1","1","9","1","20","","0","1.05","0","1.85","2","2","1","7","8","1","1.05","2.9","","","","","","","","","0.0525","0.0525","0.0925","0.0925","","36.20689655","100","1.75","1.75","3.083333333","4.833333333","1.75","1.75","3.083333333","4.833333333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00036","","","","20","20","2","1","2","8","1","18","15","0","3.15","0","6.5","2","6","5","3","5","3","3.15","9.65","15","0.21","","0.21","0.833333333","0.75","0.833333333","0.75","0.175","0.1575","0.361111111","0.325","100","32.64248705","90","5.25","5.25","10.83333333","16.08333333","5.833333333","5.833333333","12.03703704","17.87037037"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00037","","","","20","14","1","1","1","8","1","14","47","11","1.9","0.1","9.45","8","3","4","3","4","4","2","11.45","58","0.040425532","0.009090909","0.034482759","4.142857143","2.9","3.357142857","2.35","0.142857143","0.1","0.675","0.4725","81.03448276","17.46724891","70","3.166666667","3.333333333","15.75","19.08333333","4.523809524","4.761904762","22.5","27.26190476"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00038","","","","20","9","2","1","2","5","1","9","0","0","0","0","0.6","","","","","","","0","0.6","0","","","","0","0","0","0","0","0","0.066666667","0.03","","0","45","0","0","1","1","0","0","2.222222222","2.222222222"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00039","","","","20","20","1","1","1","9","1","18","22","0","0.35","0","4.45","8","2","6","3","3","3","0.35","4.8","22","0.015909091","","0.015909091","1.222222222","1.1","1.222222222","1.1","0.019444444","0.0175","0.247222222","0.2225","100","7.291666667","90","0.583333333","0.583333333","7.416666667","8","0.648148148","0.648148148","8.240740741","8.888888889"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00040","","","","20","20","1","1","1","9","2","20","20","0","4.8","0","6.15","6","2","2","3","2","1","4.8","10.95","20","0.24","","0.24","1","1","1","1","0.24","0.24","0.3075","0.3075","100","43.83561644","100","8","8","10.25","18.25","8","8","10.25","18.25"
