"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00047","","","","30","22","1","4","9","1","3","15","9","3","1.5","0.06","34","2","3","3","4","2","0.02","1.56","35.56","12","0.166666667","0.02","0.13","0.8","0.4","0.6","0.3","0.104","0.052","2.266666667","1.133333333","75","4.386951631","50","1.666666667","1.733333333","37.77777778","39.51111111","3.333333333","3.466666667","75.55555556","79.02222222"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00048","","","","30","9","1","3","7","1","2","9","3","0","1.3","0","7.5","8","3","1","2","2","0.12","1.3","8.8","3","0.433333333","","0.433333333","0.333333333","0.1","0.333333333","0.1","0.144444444","0.043333333","0.833333333","0.25","100","14.77272727","30","1.444444444","1.444444444","8.333333333","9.777777778","4.814814815","4.814814815","27.77777778","32.59259259"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00049","","","","30","18","2","4","6","1","2","7","4","1","1.5","0.02","2","2","3","6","3","2","0.12","1.52","3.52","5","0.375","0.02","0.304","0.714285714","0.166666667","0.571428571","0.133333333","0.217142857","0.050666667","0.285714286","0.066666667","80","43.18181818","23.33333333","1.666666667","1.688888889","2.222222222","3.911111111","7.142857143","7.238095238","9.523809524","16.76190476"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00050","","","","30","13","1","5","5","1","2","13","13","4","1.5","0.01","1","5","3","2","5","2","0","1.51","2.51","17","0.115384615","0.0025","0.088823529","1.307692308","0.566666667","1","0.433333333","0.116153846","0.050333333","0.076923077","0.033333333","76.47058824","60.15936255","43.33333333","1.666666667","1.677777778","1.111111111","2.788888889","3.846153846","3.871794872","2.564102564","6.435897436"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00051","","","","30","21","1","2","9","1","2","21","5","0","5.5","0","93.4","8","1","1","3","1","0","5.5","98.9","5","1.1","","1.1","0.238095238","0.166666667","0.238095238","0.166666667","0.261904762","0.183333333","4.447619048","3.113333333","100","5.561172902","70","6.111111111","6.111111111","103.7777778","109.8888889","8.73015873","8.73015873","148.2539683","156.984127"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00052","","","","30","12","2","2","6","1","2","8","10","5","2","0.12","1","9","3","2","1","1","0.12","2.12","3.12","15","0.2","0.024","0.141333333","1.875","0.5","1.25","0.333333333","0.265","0.070666667","0.125","0.033333333","66.66666667","67.94871795","26.66666667","2.222222222","2.355555556","1.111111111","3.466666667","8.333333333","8.833333333","4.166666667","13"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00053","","","","30","25","1","4","9","1","3","25","36","5","16.5","0.08","48","8","3","4","3","3","0.12","16.58","64.58","41","0.458333333","0.016","0.404390244","1.64","1.366666667","1.44","1.2","0.6632","0.552666667","1.92","1.6","87.80487805","25.67358315","83.33333333","18.33333333","18.42222222","53.33333333","71.75555556","22","22.10666667","64","86.10666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00054","","","","30","8","3","3","6","1","2","8","3","3","0.24","0.06","3","2","7","3","1","1","0.12","0.3","3.3","6","0.08","0.02","0.05","0.75","0.2","0.375","0.1","0.0375","0.01","0.375","0.1","50","9.090909091","26.66666667","0.266666667","0.333333333","3.333333333","3.666666667","1","1.25","12.5","13.75"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00055","","","","30","8","1","6","9","1","2","3","3","1","2","0.02","3.4","6","1","9","1","1","0.12","2.02","5.42","4","0.666666667","0.02","0.505","1.333333333","0.133333333","1","0.1","0.673333333","0.067333333","1.133333333","0.113333333","75","37.26937269","10","2.222222222","2.244444444","3.777777778","6.022222222","22.22222222","22.44444444","37.77777778","60.22222222"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00056","","","","30","6","1","6","7","1","5","6","3","1","0.26","0.01","3.5","6","7","3","3","5","0","0.27","3.77","4","0.086666667","0.01","0.0675","0.666666667","0.133333333","0.5","0.1","0.045","0.009","0.583333333","0.116666667","75","7.161803714","20","0.288888889","0.3","3.888888889","4.188888889","1.444444444","1.5","19.44444444","20.94444444"
