"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02011","","","","10","10","2","2","6","2","2","8","5","11","0.25","0.22","0.4","3","2","1","7","7","3","0.47","0.87","0.05","0.02","16","2","0.625","0.05875","0.05","31.25","54.02298851","0.029375","0.833333333","1.566666667","1.333333333","2.9","1.6","0.5","0.047","0.04","80","1.041666667","1.958333333","1.666666667","3.625"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02012","","","","10","10","3","1","6","2","2","10","0","1","0","0.02","0.75","3","7","1","3","8","1","0.02","0.77","","0.02","1","0.1","0","0.002","0.075","0","2.597402597","0.02","0","0.066666667","2.5","2.566666667","0.1","0","0.002","0.075","100","0","0.066666667","2.5","2.566666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02013","","","","10","10","2","2","7","2","1","9","12","2","1.79","0.04","1.35","9","6","1","3","3","1","1.83","3.18","0.149166667","0.02","14","1.555555556","1.333333333","0.203333333","0.15","85.71428571","57.54716981","0.130714286","5.966666667","6.1","4.5","10.6","1.4","1.2","0.183","0.135","90","6.62962963","6.777777778","5","11.77777778"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02014","","","","10","10","1","1","8","1","2","10","16","4","1.03","0.34","3.3","3","3","1","4","4","1","1.37","4.67","0.064375","0.085","20","2","1.6","0.137","0.33","80","29.33618844","0.0685","3.433333333","4.566666667","11","15.56666667","2","1.6","0.137","0.33","100","3.433333333","4.566666667","11","15.56666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02015","","","","10","10","2","2","6","2","1","8","13","4","0.81","0.13","0.65","5","6","1","2","5","1","0.94","1.59","0.062307692","0.0325","17","2.125","1.625","0.1175","0.08125","76.47058824","59.11949686","0.055294118","2.7","3.133333333","2.166666667","5.3","1.7","1.3","0.094","0.065","80","3.375","3.916666667","2.708333333","6.625"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02016","","","","10","10","2","2","8","2","2","7","12","8","1.3","0.27","2.6","8","2","1","3","1","","1.57","4.17","0.108333333","0.03375","20","2.857142857","1.714285714","0.224285714","0.371428571","60","37.6498801","0.0785","4.333333333","5.233333333","8.666666667","13.9","2","1.2","0.157","0.26","70","6.19047619","7.476190476","12.38095238","19.85714286"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02017","","","","10","10","2","2","7","2","3","8","18","7","1.07","0.27","1.35","8","3","2","3","6","1","1.34","2.69","0.059444444","0.038571429","25","3.125","2.25","0.1675","0.16875","72","49.81412639","0.0536","3.566666667","4.466666667","4.5","8.966666667","2.5","1.8","0.134","0.135","80","4.458333333","5.583333333","5.625","11.20833333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02018","","","","10","10","2","1","5","2","2","10","5","3","0.64","0.09","1.35","2","2","1","4","4","1","0.73","2.08","0.128","0.03","8","0.8","0.5","0.073","0.135","62.5","35.09615385","0.09125","2.133333333","2.433333333","4.5","6.933333333","0.8","0.5","0.073","0.135","100","2.133333333","2.433333333","4.5","6.933333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02019","","","","10","8","2","2","8","2","3","5","9","2","1.52","0.1","2.95","3","4","1","6","3","1","1.62","4.57","0.168888889","0.05","11","2.2","1.8","0.324","0.59","81.81818182","35.44857768","0.147272727","5.066666667","5.4","9.833333333","15.23333333","1.1","0.9","0.162","0.295","50","10.13333333","10.8","19.66666667","30.46666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02020","","","","10","10","2","2","6","2","2","10","8","3","1.16","0.85","3.85","8","6","2","4","4","3","2.01","5.86","0.145","0.283333333","11","1.1","0.8","0.201","0.385","72.72727273","34.3003413","0.182727273","3.866666667","6.7","12.83333333","19.53333333","1.1","0.8","0.201","0.385","100","3.866666667","6.7","12.83333333","19.53333333"
