"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00068","","","","5","2","2","3","3","1","2","2","2","0","0.4","0","0.4","","1","2","7","5","0","0.4","0.8","0.2","","2","1","0.4","1","0.4","0.2","0.08","0.2","0.08","100","50","40","0.2","2.666666667","2.666666667","2.666666667","5.333333333","6.666666667","6.666666667","6.666666667","13.33333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00070","","","","5","2","1","2","6","1","2","2","3","0","1.2","0","0.2","2","1","1","4","3","0","1.2","1.4","0.4","","3","1.5","0.6","1.5","0.6","0.6","0.24","0.1","0.04","100","85.71428571","40","0.4","8","8","1.333333333","9.333333333","20","20","3.333333333","23.33333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00071","","","","5","2","1","2","6","1","6","2","0","4","0","0.07","1","2","1","4","9","9","0","0.07","1.07","","0.0175","4","2","0.8","0","0","0.035","0.014","0.5","0.2","0","6.542056075","40","0.0175","0","0.466666667","6.666666667","7.133333333","0","1.166666667","16.66666667","17.83333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00074","","","","5","3","1","3","4","1","2","3","4","0","0.72","0","0.4","6","2","3","8","3","0.15","0.72","1.12","0.18","","4","1.333333333","0.8","1.333333333","0.8","0.24","0.144","0.133333333","0.08","100","64.28571429","60","0.18","4.8","4.8","2.666666667","7.466666667","8","8","4.444444444","12.44444444"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00075","","","","5","3","1","4","6","2","2","2","5","1","0.78","0.04","2.5","6","1","3","9","3","0.15","0.82","3.32","0.156","0.04","6","3","1.2","2.5","1","0.41","0.164","1.25","0.5","83.33333333","24.69879518","40","0.136666667","5.2","5.466666667","16.66666667","22.13333333","13","13.66666667","41.66666667","55.33333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00076","","","","5","3","2","3","6","1","2","3","4","3","1.44","0.02","2.9","2","1","2","7","3","0.15","1.46","4.36","0.36","0.006666667","7","2.333333333","1.4","1.333333333","0.8","0.486666667","0.292","0.966666667","0.58","57.14285714","33.48623853","60","0.208571429","9.6","9.733333333","19.33333333","29.06666667","16","16.22222222","32.22222222","48.44444444"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00078","","","","5","4","1","3","7","1","2","3","5","1","1","0.04","6.3","8","1","4","9","3","0","1.04","7.34","0.2","0.04","6","2","1.2","1.666666667","1","0.346666667","0.208","2.1","1.26","83.33333333","14.16893733","60","0.173333333","6.666666667","6.933333333","42","48.93333333","11.11111111","11.55555556","70","81.55555556"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00079","","","","5","1","1","2","6","2","1","1","0","2","0","0.1","5.6","2","1","1","9","7","0.15","0.1","5.7","","0.05","2","2","0.4","0","0","0.1","0.02","5.6","1.12","0","1.754385965","20","0.05","0","0.666666667","37.33333333","38","0","3.333333333","186.6666667","190"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00081","","","","5","2","2","2","4","1","2","1","0","1","0","0.04","1.6","8","1","1","9","9","1.38","0.04","1.64","","0.04","1","1","0.2","0","0","0.04","0.008","1.6","0.32","0","2.43902439","20","0.04","0","0.266666667","10.66666667","10.93333333","0","1.333333333","53.33333333","54.66666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00082","","","","5","3","1","2","7","1","2","1","3","0","0.68","0","1.5","8","1","3","7","3","0","0.68","2.18","0.226666667","","3","3","0.6","3","0.6","0.68","0.136","1.5","0.3","100","31.19266055","20","0.226666667","4.533333333","4.533333333","10","14.53333333","22.66666667","22.66666667","50","72.66666667"
