"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00031","","","","30","22","2","2","6","1","2","7","7","2","0.8","0.04","13.4","6","4","2","5","7","0.02","0.84","14.24","0.114285714","0.02","9","1.285714286","0.3","1","0.233333333","0.12","0.028","1.914285714","0.446666667","77.77777778","5.898876404","23.33333333","0.093333333","0.888888889","0.933333333","14.88888889","15.82222222","3.80952381","4","63.80952381","67.80952381"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00032","","","","30","26","2","2","6","1","2","14","7","0","0.88","0","10.7","8","7","2","1","5","0","0.88","11.58","0.125714286","","7","0.5","0.233333333","0.5","0.233333333","0.062857143","0.029333333","0.764285714","0.356666667","100","7.599309154","46.66666667","0.125714286","0.977777778","0.977777778","11.88888889","12.86666667","2.095238095","2.095238095","25.47619048","27.57142857"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00033","","","","30","27","2","2","8","1","2","27","16","0","3.2","0","18.8","2","4","5","5","1","0.12","3.2","22","0.2","","16","0.592592593","0.533333333","0.592592593","0.533333333","0.118518519","0.106666667","0.696296296","0.626666667","100","14.54545455","90","0.2","3.555555556","3.555555556","20.88888889","24.44444444","3.950617284","3.950617284","23.20987654","27.16049383"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00034","","","","30","29","2","4","7","2","3","27","10","3","1.2","0.08","29","6","3","2","2","7","0","1.28","30.28","0.12","0.026666667","13","0.481481481","0.433333333","0.37037037","0.333333333","0.047407407","0.042666667","1.074074074","0.966666667","76.92307692","4.227212682","90","0.098461538","1.333333333","1.422222222","32.22222222","33.64444444","1.481481481","1.580246914","35.80246914","37.38271605"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00035","","","","30","24","3","2","7","1","2","22","5","4","1.2","0.08","27.8","","","","","","","1.28","29.08","0.24","0.02","9","0.409090909","0.3","0.227272727","0.166666667","0.058181818","0.042666667","1.263636364","0.926666667","55.55555556","4.401650619","73.33333333","0.142222222","1.333333333","1.422222222","30.88888889","32.31111111","1.818181818","1.939393939","42.12121212","44.06060606"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00036","","","","30","20","5","7","5","2","3","11","0","1","0","0.04","4.4","2","6","4","1","7","0","0.04","4.44","","0.04","1","0.090909091","0.033333333","0","0","0.003636364","0.001333333","0.4","0.146666667","0","0.900900901","36.66666667","0.04","0","0.044444444","4.888888889","4.933333333","0","0.121212121","13.33333333","13.45454545"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00037","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00038","","","","30","28","4","6","7","2","3","22","2","0","0.28","0","45.7","2","3","2","2","7","0.12","0.28","45.98","0.14","","2","0.090909091","0.066666667","0.090909091","0.066666667","0.012727273","0.009333333","2.077272727","1.523333333","100","0.608960418","73.33333333","0.14","0.311111111","0.311111111","50.77777778","51.08888889","0.424242424","0.424242424","69.24242424","69.66666667"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00039","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00040","","","","30","2","1","4","7","1","2","2","0","0","0","0","11.2","","","","","","","0","11.2","","","0","0","0","0","0","0","0","5.6","0.373333333","","0","6.666666667","","0","0","12.44444444","12.44444444","0","0","186.6666667","186.6666667"
