"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00032","","","","5","5","2","3","5","1","2","5","11","3","3.6","0.08","2","8","3","3","8","3","","0","3.68","5.68","0.327272727","0.026666667","14","2.8","2.8","2.2","2.2","0.736","0.736","0.4","0.4","78.57142857","64.78873239","100","0.262857143","24","24.53333333","13.33333333","37.86666667","24","24.53333333","13.33333333","37.86666667"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00033","","","","5","4","1","3","8","1","2","3","7","0","2.7","0","7.2","2","1","1","3","1","","0.12","2.7","9.9","0.385714286","","7","2.333333333","1.4","2.333333333","1.4","0.9","0.54","2.4","1.44","100","27.27272727","60","0.385714286","18","18","48","66","30","30","80","110"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00034","","","","5","1","2","5","4","1","2","1","19","11","1.6","0.36","4","5","1","1","9","3","","14.37","1.96","5.96","0.084210526","0.032727273","30","30","6","19","3.8","1.96","0.392","4","0.8","63.33333333","32.88590604","20","0.065333333","10.66666667","13.06666667","26.66666667","39.73333333","53.33333333","65.33333333","133.3333333","198.6666667"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00035","","","","5","5","2","4","7","1","2","5","1","2","0.12","0.1","2.7","2","1","1","8","7","","1.5","0.22","2.92","0.12","0.05","3","0.6","0.6","0.2","0.2","0.044","0.044","0.54","0.54","33.33333333","7.534246575","100","0.073333333","0.8","1.466666667","18","19.46666667","0.8","1.466666667","18","19.46666667"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00036","","","","5","4","2","4","7","1","2","4","8","5","1.5","0.1","2.5","8","3","1","8","3","","0","1.6","4.1","0.1875","0.02","13","3.25","2.6","2","1.6","0.4","0.32","0.625","0.5","61.53846154","39.02439024","80","0.123076923","10","10.66666667","16.66666667","27.33333333","12.5","13.33333333","20.83333333","34.16666667"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00037","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00038","","","","5","3","1","2","7","2","3","3","2","9","0.2","0.36","2.4","2","1","1","8","3","","0","0.56","2.96","0.1","0.04","11","3.666666667","2.2","0.666666667","0.4","0.186666667","0.112","0.8","0.48","18.18181818","18.91891892","60","0.050909091","1.333333333","3.733333333","16","19.73333333","2.222222222","6.222222222","26.66666667","32.88888889"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00039","","","","5","4","2","5","7","1","3","3","2","3","0.72","0.08","3.3","2","1","1","8","3","","0.12","0.8","4.1","0.36","0.026666667","5","1.666666667","1","0.666666667","0.4","0.266666667","0.16","1.1","0.66","40","19.51219512","60","0.16","4.8","5.333333333","22","27.33333333","8","8.888888889","36.66666667","45.55555556"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00040","","","","5","3","1","2","6","1","2","3","1","8","0.1","0.16","2.6","2","1","1","2","7","","0.12","0.26","2.86","0.1","0.02","9","3","1.8","0.333333333","0.2","0.086666667","0.052","0.866666667","0.52","11.11111111","9.090909091","60","0.028888889","0.666666667","1.733333333","17.33333333","19.06666667","1.111111111","2.888888889","28.88888889","31.77777778"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00041","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
