"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00158","","","","16","13","4","3","6","1","1","13","21","12","4.8","0.35","1.8","6","4","1","3","3.96","5.15","6.95","33","0.228571429","0.029166667","0.156060606","2.538461538","2.0625","1.615384615","1.3125","0.396153846","0.321875","0.138461538","0.1125","63.63636364","74.10071942","81.25","10","10.72916667","3.75","14.47916667","12.30769231","13.20512821","4.615384615","17.82051282"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00159","","","","16","13","1","3","5","1","2","13","44","46","6","1","2","7","2","3","5","7.23","7","9","90","0.136363636","0.02173913","0.077777778","6.923076923","5.625","3.384615385","2.75","0.538461538","0.4375","0.153846154","0.125","48.88888889","77.77777778","81.25","12.5","14.58333333","4.166666667","18.75","15.38461538","17.94871795","5.128205128","23.07692308"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00160","","","","16","16","2","4","5","1","3","15","48","38","8","0.85","3","8","2","3","4","4.61","8.85","11.85","86","0.166666667","0.022368421","0.102906977","5.733333333","5.375","3.2","3","0.59","0.553125","0.2","0.1875","55.81395349","74.6835443","93.75","16.66666667","18.4375","6.25","24.6875","17.77777778","19.66666667","6.666666667","26.33333333"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00161","","","","16","14","1","3","7","1","1","14","38","58","5.8","1.2","3.4","6","3","3","4","1.17","7","10.4","96","0.152631579","0.020689655","0.072916667","6.857142857","6","2.714285714","2.375","0.5","0.4375","0.242857143","0.2125","39.58333333","67.30769231","87.5","12.08333333","14.58333333","7.083333333","21.66666667","13.80952381","16.66666667","8.095238095","24.76190476"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00162","","","","16","15","3","4","6","1","1","15","22","24","2.8","0.8","3","6","5","1","3","0","3.6","6.6","46","0.127272727","0.033333333","0.07826087","3.066666667","2.875","1.466666667","1.375","0.24","0.225","0.2","0.1875","47.82608696","54.54545455","93.75","5.833333333","7.5","6.25","13.75","6.222222222","8","6.666666667","14.66666667"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00163","","","","16","16","4","4","8","1","1","16","47","28","7","0.64","6","5","2","4","4","4.61","7.64","13.64","75","0.14893617","0.022857143","0.101866667","4.6875","4.6875","2.9375","2.9375","0.4775","0.4775","0.375","0.375","62.66666667","56.01173021","100","14.58333333","15.91666667","12.5","28.41666667","14.58333333","15.91666667","12.5","28.41666667"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00164","","","","16","13","1","4","6","1","2","13","40","47","5.2","1.2","2","7","3","3","6","14.37","6.4","8.4","87","0.13","0.025531915","0.073563218","6.692307692","5.4375","3.076923077","2.5","0.492307692","0.4","0.153846154","0.125","45.97701149","76.19047619","81.25","10.83333333","13.33333333","4.166666667","17.5","13.33333333","16.41025641","5.128205128","21.53846154"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00165","","","","16","13","1","3","7","1","1","12","51","29","8","0.62","4","6","3","6","3","1.04","8.62","12.62","80","0.156862745","0.02137931","0.10775","6.666666667","5","4.25","3.1875","0.718333333","0.53875","0.333333333","0.25","63.75","68.30427892","75","16.66666667","17.95833333","8.333333333","26.29166667","22.22222222","23.94444444","11.11111111","35.05555556"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00166","","","","16","12","1","3","5","1","1","11","24","50","3.2","1","0.8","4","3","8","5","12.39","4.2","5","74","0.133333333","0.02","0.056756757","6.727272727","4.625","2.181818182","1.5","0.381818182","0.2625","0.072727273","0.05","32.43243243","84","68.75","6.666666667","8.75","1.666666667","10.41666667","9.696969697","12.72727273","2.424242424","15.15151515"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00167","","","","16","14","3","4","8","1","1","13","32","42","3","0.8","9","2","5","3","3","0","3.8","12.8","74","0.09375","0.019047619","0.051351351","5.692307692","4.625","2.461538462","2","0.292307692","0.2375","0.692307692","0.5625","43.24324324","29.6875","81.25","6.25","7.916666667","18.75","26.66666667","7.692307692","9.743589744","23.07692308","32.82051282"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00168","","","","16","13","3","3","9","1","1","13","28","39","3.6","3.5","13","4","4","1","2","0","7.1","20.1","67","0.128571429","0.08974359","0.105970149","5.153846154","4.1875","2.153846154","1.75","0.546153846","0.44375","1","0.8125","41.79104478","35.32338308","81.25","7.5","14.79166667","27.08333333","41.875","9.230769231","18.20512821","33.33333333","51.53846154"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00169","","","","16","12","1","2","9","1","1","11","28","34","4.6","1","17","4","2","8","3","0.15","5.6","22.6","62","0.164285714","0.029411765","0.090322581","5.636363636","3.875","2.545454545","1.75","0.509090909","0.35","1.545454545","1.0625","45.16129032","24.77876106","68.75","9.583333333","11.66666667","35.41666667","47.08333333","13.93939394","16.96969697","51.51515152","68.48484848"
