"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00116","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00117","","","","30","21","1","2","8","1","2","21","","16","0","9.6","0","20","9","1","4","1","1","1.65","9.6","29.6","0.6","","16","0.761904762","0.533333333","0.761904762","0.533333333","0.457142857","0.32","0.952380952","0.666666667","100","32.43243243","70","0.6","10.66666667","10.66666667","22.22222222","32.88888889","15.23809524","15.23809524","31.74603175","46.98412698"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00118","","","","30","16","2","3","6","1","2","8","","2","0","0.36","0","3.2","9","3","3","1","2","0.02","0.36","3.56","0.18","","2","0.25","0.066666667","0.25","0.066666667","0.045","0.012","0.4","0.106666667","100","10.11235955","26.66666667","0.18","0.4","0.4","3.555555556","3.955555556","1.5","1.5","13.33333333","14.83333333"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00119","","","","30","8","2","2","","1","1","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00120","","","","30","22","1","2","9","1","2","22","","3","5","1.4","0.2","52","2","3","5","2","1","0.12","1.6","53.6","0.466666667","0.04","8","0.363636364","0.266666667","0.136363636","0.1","0.072727273","0.053333333","2.363636364","1.733333333","37.5","2.985074627","73.33333333","0.2","1.555555556","1.777777778","57.77777778","59.55555556","2.121212121","2.424242424","78.78787879","81.21212121"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00121","","","","30","10","1","2","5","1","2","10","","3","0","2.1","0","2.6","8","1","4","1","2","0.12","2.1","4.7","0.7","","3","0.3","0.1","0.3","0.1","0.21","0.07","0.26","0.086666667","100","44.68085106","33.33333333","0.7","2.333333333","2.333333333","2.888888889","5.222222222","7","7","8.666666667","15.66666667"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00122","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00123","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00124","","","","30","5","1","2","","1","1","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00125","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
