"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00053","","","","3","6.4","1.333333333","3.3240049","6.3211069","79.16666667","12.8759251","1","6","19","10","10","10","10","7","2","1","45.1255646","16.25246548","1","24","2.2","5","19.9792633","25","2.5","1.52","6","1","1","0.66","0.86","0.4","5.066666667","1.92","0.11","0.045263158","0.0608","2.5","0.6","0.6","0.152","0.152","0.04","0.04","100","0.247037475","2.2","5.066666667","1.333333333","0.823458251","0.823458251","6.4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00054","","","","1","14.46666667","2.133333333","1.820038","2.8230491","85.25345622","17.7137718","1","15","20","10","10","10","10","2","4","1","57.1275558","36.5035517","1","42.85714286","9.133333333","3","13.1803675","35","3.5","3.7","7","1","1","2.74","0.96","0.64","12.33333333","4.34","0.182666667","0.048","0.105714286","3.5","1.5","1.5","0.37","0.37","0.064","0.064","100","1.350631413","9.133333333","12.33333333","2.133333333","4.50210471","4.50210471","14.46666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00055","","","","5","10.13333333","2.333333333","3.1944921","6.3606672","76.97368421","13.6150475","3","9","35","10","10","10","10","5","2","3","46.4854317","17.98132327","1","20.45454545","3.266666667","3","17.5084457","44","4.4","2.34","7","1","1","0.98","1.36","0.7","7.8","3.04","0.108888889","0.038857143","0.053181818","4.4","0.9","0.9","0.234","0.234","0.07","0.07","100","0.420762965","3.266666667","7.8","2.333333333","1.402543215","1.402543215","10.13333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00056","","","","1","4.133333333","0.533333333","","","87.09677419","","1","4","21","10","10","10","10","","","1","","","1","16","1.533333333","7","","25","2.5","1.08","5","1","1","0.46","0.62","0.16","3.6","1.24","0.115","0.02952381","0.0432","2.5","0.4","0.4","0.108","0.108","0.016","0.016","100","","1.533333333","3.6","0.533333333","","","4.133333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00057","","","","5","2.733333333","0.533333333","","","80.48780488","","1","3","10","10","7","10","7","","","1","","","1","23.07692308","1.2","5","","13","1.857142857","0.66","6","1","1","0.36","0.3","0.16","2.2","0.82","0.12","0.03","0.050769231","1.3","0.428571429","0.3","0.094285714","0.066","0.022857143","0.016","70","","1.714285714","3.142857143","0.761904762","","","3.904761905"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00058","","","","5","9.866666667","1.666666667","2.9067631","6.3462558","83.10810811","7.7021518","3","18","21","10","6","10","6","7","6","","44.5057411","20.21403092","1","46.15384615","6.533333333","3","20.3124237","39","6.5","2.46","5","1","1","1.96","0.5","0.5","8.2","2.96","0.108888889","0.023809524","0.063076923","3.9","3","1.8","0.41","0.246","0.083333333","0.05","60","0.497265161","10.88888889","13.66666667","2.777777778","1.657550535","2.762584226","16.44444444"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00059","","","","1","4.266666667","1.4","1.160372","2.1910241","67.1875","14.022459","1","4","7","10","7","10","7","2","6","1","60.7653427","30.69247655","1","36.36363636","1.866666667","5","13.5183487","11","1.571428571","0.86","6","1","1","0.56","0.3","0.42","2.866666667","1.28","0.14","0.042857143","0.078181818","1.1","0.571428571","0.4","0.122857143","0.086","0.06","0.042","70","0.263955298","2.666666667","4.095238095","2","0.879850994","1.256929992","6.095238095"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00006","","","","3","7.333333333","1","1.155972","2.0285349","86.36363636","7.6578059","3","11","24","10","10","10","10","3","2","3","63.6545296","32.69420834","1","31.42857143","3.733333333","5","12.3945541","35","3.5","1.9","6","1","1","1.12","0.78","0.3","6.333333333","2.2","0.101818182","0.0325","0.054285714","3.5","1.1","1.1","0.19","0.19","0.03","0.03","100","0.621189958","3.733333333","6.333333333","1","2.070633195","2.070633195","7.333333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00060","","","","1","11.66666667","3.2","0.943592","0.951104","72.57142857","0.621002","1","21","14","10","10","10","10","4","6","1","70.2317276","39.39094325","1","60","6.533333333","3","11.8733673","35","3.5","2.54","7","1","1","1.96","0.58","0.96","8.466666667","3.5","0.093333333","0.041428571","0.072571429","3.5","2.1","2.1","0.254","0.254","0.096","0.096","100","1.000529959","6.533333333","8.466666667","3.2","3.335099862","3.335099862","11.66666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00061","","","","5","8","2.333333333","1.712927","4.9622931","70.83333333","11.0464821","5","7","17","10","10","10","9","7","8","","46.4947777","25.82624184","","29.16666667","4","","21.6917114","24","2.4","1.7","7","1","1","1.2","0.5","0.7","5.666666667","2.4","0.171428571","0.029411765","0.070833333","2.4","0.7","0.7","0.17","0.17","0.07","0.07","100","0.439046111","4","5.666666667","2.333333333","1.463487038","1.463487038","8"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00062","","","","1","9.666666667","3.133333333","2.567951","4.9412251","67.5862069","6.9491539","1","12","29","10","10","10","10","6","6","1","48.1201859","26.58","1","29.26829268","4.133333333","5","20.3770218","41","4.1","1.96","8","1","1","1.24","0.72","0.94","6.533333333","2.9","0.103333333","0.024827586","0.047804878","4.1","1.2","1.2","0.196","0.196","0.094","0.094","100","0.520968","4.133333333","6.533333333","3.133333333","1.73656","1.73656","9.666666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00063","","","","2","14.8","2.066666667","0.861795","1.9733239","86.03603604","18.7968063","5","21","21","10","10","10","10","2","6","5","57.890419","33.55784469","1","50","9.666666667","3","14.34478","42","4.2","3.82","7","1","1","2.9","0.92","0.62","12.73333333","4.44","0.138095238","0.043809524","0.090952381","4.2","2.1","2.1","0.382","0.382","0.062","0.062","100","1.281909667","9.666666667","12.73333333","2.066666667","4.273032224","4.273032224","14.8"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00064","","","","1","16.46666667","4.6","0","5.0169039","72.06477733","16.3761349","3","18","27","10","10","10","10","9","9","5","53.0474701","31.63650825","5","40","7","5","6.714211","45","4.5","3.56","8","1","1","2.1","1.46","1.38","11.86666667","4.94","0.116666667","0.054074074","0.079111111","4.5","1.8","1.8","0.356","0.356","0.138","0.138","100","1.126259694","7","11.86666667","4.6","3.754198979","3.754198979","16.46666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00007","","","","3","7.4","1.4","0.657393","1.582588","81.08108108","10.4803085","1","16","20","10","10","10","10","2","9","1","64.8557663","32.92172874","1","44.44444444","4.066666667","5","11.1989365","36","3.6","1.8","6","1","1","1.22","0.58","0.42","6","2.22","0.07625","0.029","0.05","3.6","1.6","1.6","0.18","0.18","0.042","0.042","100","0.592591117","4.066666667","6","1.4","1.975303724","1.975303724","7.4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00008","","","","7","8.4","2","1.792105","5.3968401","76.19047619","9.2151623","1","12","11","10","10","10","10","7","8","1","46.2311211","26.64414862","1","52.17391304","5","5","23.6229782","23","2.3","1.92","7","1","1","1.5","0.42","0.6","6.4","2.52","0.125","0.038181818","0.083478261","2.3","1.2","1.2","0.192","0.192","0.06","0.06","100","0.511567654","5","6.4","2","1.705225512","1.705225512","8.4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00009","","","","5","4","1.333333333","0","3.3311789","66.66666667","8.2558594","1","7","3","7","6","10","6","9","9","1","62.660305","25.92079208","1","70","2.2","7","4.4829178","10","1.666666667","0.8","7","1","1","0.66","0.14","0.4","2.666666667","1.2","0.094285714","0.046666667","0.08","1","1.166666667","0.7","0.133333333","0.08","0.066666667","0.04","60","0.207366337","3.666666667","4.444444444","2.222222222","0.691221122","1.152035204","6.666666667"
