"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00131","","","","3","","","","","","","","","1","30","22","22","31","23","","","","1","","","","1","3","","","4","6.7","1.2","10.7","7.9","18.6","54","0.216129032","0.052173913","0.146296296","2.454545455","1.8","1.409090909","1.033333333","0.359090909","0.263333333","0.486363636","0.356666667","57.40740741","42.47311828","73.33333333","","7.444444444","10.15151515","8.777777778","11.96969697","11.88888889","16.21212121","","","20.66666667","28.18181818"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00132","","","","1","5.3457699","1.889022","0.940003","1.130833","2.1050651","3.4701071","3.91415","14.872385","1","30","22","22","28","17","5","2","2.8557661","1","53.9151421","61.8021355","32.32022249","4","3","19.5982895","18.9507923","4","4.4","0.7","8.4","5.1","13.5","45","0.157142857","0.041176471","0.113333333","2.045454545","1.5","1.272727273","0.933333333","0.231818182","0.17","0.381818182","0.28","62.22222222","37.77777778","73.33333333","1.648331347","4.888888889","6.666666667","5.666666667","7.727272727","9.333333333","12.72727273","1.831479274","2.497471738","15","20.45454545"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00133","","","","1","2.9022961","2.1582069","0.974051","0","0.894862","1.8593","2.310081","5.8541451","1","30","14","14","29","3","3","8","2.291409","1","62.5653915","68.8056793","35.45110536","3","3","17.1860962","17.7619247","4","8.1","0.2","12.1","8.3","20.4","32","0.279310345","0.066666667","0.259375","2.285714286","1.066666667","2.071428571","0.966666667","0.592857143","0.276666667","0.864285714","0.403333333","90.625","40.68627451","46.66666667","2.942441745","9","19.28571429","9.222222222","19.76190476","13.44444444","28.80952381","3.269379717","7.005813678","22.66666667","48.57142857"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00134","","","","1","0","1.784224","0.905771","0.584482","1.02798","2.5951641","2.860661","19.3338528","1","30","19","19","31","19","4","6","2.084717","1","57.0389595","72.1330109","34.51466824","3","3","19.7261353","12.0673876","5","4.6","1.1","9.6","5.7","15.3","50","0.148387097","0.057894737","0.114","2.631578947","1.666666667","1.631578947","1.033333333","0.3","0.19","0.505263158","0.32","62","37.25490196","63.33333333","1.96733609","5.111111111","8.070175439","6.333333333","10","10.66666667","16.84210526","2.185928989","3.451466824","17","26.84210526"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00135","","","","1","","","","","","","","","1","30","9","9","21","17","","","","1","","","","3","3","","","5","3.7","0.8","8.7","4.5","13.2","38","0.176190476","0.047058824","0.118421053","4.222222222","1.266666667","2.333333333","0.7","0.5","0.15","0.966666667","0.29","55.26315789","34.09090909","30","","4.111111111","13.7037037","5","16.66666667","9.666666667","32.22222222","","","14.66666667","48.88888889"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00136","","","","1","2.306881","1.907671","0.877223","0.321712","1.012012","2.0499771","2.3122759","1.026695","1","30","29","29","37","17","6","6","2.3183229","1","64.2583084","68.2755661","35.24018338","2","3","14.8033295","15.2024565","5","8.2","0.8","13.2","9","22.2","54","0.221621622","0.047058824","0.166666667","1.862068966","1.8","1.275862069","1.233333333","0.310344828","0.3","0.455172414","0.44","68.51851852","40.54054054","96.66666667","3.171616504","9.111111111","9.425287356","10","10.34482759","14.66666667","15.17241379","3.524018338","3.645536212","24.66666667","25.51724138"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00138","","","","1","0","2.0997429","0.860989","0","1.302614","1.080783","2.3521581","10.4155807","1","30","25","19","31","20","3","8","2.3411181","1","63.2565269","73.2049484","46.52736318","3","3","17.1984863","15.2088747","4","3.6","1","7.6","4.6","12.2","51","0.116129032","0.05","0.090196078","2.04","1.7","1.24","1.033333333","0.184","0.153333333","0.304","0.253333333","60.78431373","37.70491803","83.33333333","2.140258706","4","4.8","5.111111111","6.133333333","8.444444444","10.13333333","2.378065229","2.853678275","13.55555556","16.26666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00014","","","","1","","","","","","","","","1","30","3","3","4","1","","","","1","","","","3","7","","","4","0.3","0.1","6.3","0.4","6.7","5","0.075","0.1","0.08","1.666666667","0.166666667","1.333333333","0.133333333","0.133333333","0.013333333","2.1","0.21","80","5.970149254","10","","0.333333333","3.333333333","0.444444444","4.444444444","7","70","","","7.444444444","74.44444444"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00015","","","","3","0","1.631373","0.801036","1.077112","0.798454","2.300025","2.1554091","3.1840589","3","30","26","26","48","27","5","2","2.894016","3","61.2040215","68.6820679","34.25632911","3","3","15.1643219","16.3498516","8","10.1","1.2","14.1","11.3","25.4","75","0.210416667","0.044444444","0.150666667","2.884615385","2.5","1.846153846","1.6","0.434615385","0.376666667","0.542307692","0.47","64","44.48818898","86.66666667","3.870965189","11.22222222","12.94871795","12.55555556","14.48717949","15.66666667","18.07692308","4.301072433","4.962775884","28.22222222","32.56410256"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00016","","","","3","0","1.781805","0.84787","0.637321","1.329784","1.545505","2.6100321","0.228859","1","30","18","18","30","13","5","6","2.184195","1","65.3933105","71.6390839","37.73175542","3","3","15.2637329","12.1852016","6","3.2","0.4","8.2","3.6","11.8","43","0.106666667","0.030769231","0.08372093","2.388888889","1.433333333","1.666666667","1","0.2","0.12","0.455555556","0.273333333","69.76744186","30.50847458","60","1.358343195","3.555555556","5.925925926","4","6.666666667","9.111111111","15.18518519","1.509270217","2.515450361","13.11111111","21.85185185"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00017","","","","1","0","1.510216","0.791385","0.278744","0.619294","1.858285","1.687061","16.1828842","1","30","30","30","55","33","4","2","2.5068779","1","62.4049416","77.0679474","46.91333597","3","3","16.3786087","12.1144295","7","6.7","0.8","11.7","7.5","19.2","88","0.121818182","0.024242424","0.085227273","2.933333333","2.933333333","1.833333333","1.833333333","0.25","0.25","0.39","0.39","62.5","39.0625","100","3.518500198","7.444444444","7.444444444","8.333333333","8.333333333","13","13","3.909444664","3.909444664","21.33333333","21.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00018","","","","1","0.1243706","1.60762","0.857387","0.840588","1.136337","2.509841","2.7103519","16.8887024","1","30","22","22","30","33","4","6","1.904217","1","58.536274","73.0129166","34.32983568","3","3","18.6025085","11.6832466","7","3.6","1","8.6","4.6","13.2","63","0.12","0.03030303","0.073015873","2.863636364","2.1","1.363636364","1","0.209090909","0.153333333","0.390909091","0.286666667","47.61904762","34.84848485","73.33333333","1.579172441","4","5.454545455","5.111111111","6.96969697","9.555555556","13.03030303","1.754636046","2.392685517","14.66666667","20"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00019","","","","1","0","1.708204","0.952585","0.118006","0.538489","1.309086","2.0002611","4.0885658","1","30","21","11","15","12","5","2","3.139997","1","67.7861099","75.4665451","43.92616118","3","3","15.3853302","11.5325279","7","2.1","0.2","7.1","2.3","9.4","27","0.14","0.016666667","0.085185185","1.285714286","0.9","0.714285714","0.5","0.10952381","0.076666667","0.338095238","0.236666667","55.55555556","24.46808511","70","1.010301707","2.333333333","3.333333333","2.555555556","3.650793651","7.888888889","11.26984127","1.122557452","1.603653503","10.44444444","14.92063492"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00002","","","","3","0","1.515925","0.85181","0.860624","2.075212","2.3499019","3.982522","16.6393452","1","30","20","20","73","19","2","8","1.9843791","1","58.2620697","64.728508","35.26962728","2","1","18.6560593","19.2897682","7","14.6","0.6","18.6","15.2","33.8","92","0.2","0.031578947","0.165217391","4.6","3.066666667","3.65","2.433333333","0.76","0.506666667","0.93","0.62","79.34782609","44.9704142","66.66666667","5.360983347","16.22222222","24.33333333","16.88888889","25.33333333","20.66666667","31","5.956648163","8.934972244","37.55555556","56.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00020","","","","3","","","","","","","","","1","30","5","1","0","4","","","","1","","","","5","7","","","4","0","0.2","0.2","0.2","0.4","4","","0.05","0.05","0.8","0.133333333","0","0","0.04","0.006666667","0.04","0.006666667","0","50","16.66666667","","0","0","0.222222222","1.333333333","0.222222222","1.333333333","","","0.444444444","2.666666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00021","","","","1","17.4268837","1.7554491","0.835769","1.3516639","3.5443161","5.085072","5.8334608","16.1585083","1","30","30","30","80","40","7","6","2.8484099","1","48.235363","67.7420502","34.89016426","4","1","23.9386444","10.7172232","7","24.4","2.1","28.4","26.5","54.9","120","0.305","0.0525","0.220833333","4","4","2.666666667","2.666666667","0.883333333","0.883333333","0.946666667","0.946666667","66.66666667","48.26958106","100","9.245893529","27.11111111","27.11111111","29.44444444","29.44444444","31.55555556","31.55555556","10.27321503","10.27321503","61","61"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00022","","","","3","5.1296253","1.754923","1.00376","0.73139","1.335898","2.7625589","2.8945999","17.8114471","1","30","20","20","36","35","5","2","2.1032641","1","54.9801445","65.0640182","30.39157225","4","3","19.1612015","18.9892635","8","7.3","2","11.3","9.3","20.6","71","0.202777778","0.057142857","0.130985915","3.55","2.366666667","1.8","1.2","0.465","0.31","0.565","0.376666667","50.70422535","45.14563107","66.66666667","2.826416219","8.111111111","12.16666667","10.33333333","15.5","12.55555556","18.83333333","3.140462466","4.710693699","22.88888889","34.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00023","","","","3","0","1.737813","0.91033","0.951694","1.136411","1.8313299","2.781204","0","1","30","25","25","52","47","4","6","2.332926","1","66.3633652","74.1621933","37.45541023","3","3","15.3831482","12.4104567","8","8.4","1.8","12.4","10.2","22.6","99","0.161538462","0.038297872","0.103030303","3.96","3.3","2.08","1.733333333","0.408","0.34","0.496","0.413333333","52.52525253","45.13274336","83.33333333","3.820451843","9.333333333","11.2","11.33333333","13.6","13.77777778","16.53333333","4.244946493","5.093935791","25.11111111","30.13333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00024","","","","3","0","1.5408241","0.606133","0","0.736659","0.933767","1.699289","2.9351499","1","30","15","15","22","14","3","6","2.0234151","1","69.343338","79.3254089","50.34756703","2","3","14.1562729","10.9187956","7","3.6","0.7","8.6","4.3","12.9","36","0.163636364","0.05","0.119444444","2.4","1.2","1.466666667","0.733333333","0.286666667","0.143333333","0.573333333","0.286666667","61.11111111","33.33333333","50","2.164945382","4","8","4.777777778","9.555555556","9.555555556","19.11111111","2.405494869","4.810989738","14.33333333","28.66666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00025","","","","3","1.6772213","1.9948649","1.089608","0.305477","1.359832","1.395622","2.961627","6.1031189","1","30","17","17","22","15","4","8","3.222868","1","65.8432388","65.9251938","34.57011769","3","3","16.5108566","15.4056587","7","4.7","0.8","8.7","5.5","14.2","37","0.213636364","0.053333333","0.148648649","2.176470588","1.233333333","1.294117647","0.733333333","0.323529412","0.183333333","0.511764706","0.29","59.45945946","38.73239437","56.66666667","1.901356473","5.222222222","9.215686275","6.111111111","10.78431373","9.666666667","17.05882353","2.112618303","3.728149947","15.77777778","27.84313725"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00026","","","","3","","","","","","","","","1","30","20","7","11","9","","","","1","","","","4","3","","","6","2.1","0.4","6.1","2.5","8.6","20","0.190909091","0.044444444","0.125","1","0.666666667","0.55","0.366666667","0.125","0.083333333","0.305","0.203333333","55","29.06976744","66.66666667","","2.333333333","3.5","2.777777778","4.166666667","6.777777778","10.16666667","","","9.555555556","14.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00027","","","","1","0","1.827275","0.883781","0.394405","1.771852","1.296041","3.752815","7.5122828","1","30","14","14","28","12","3","6","2.2507839","1","66.2768021","70.3110123","41.03125622","3","3","14.7958755","11.6943684","7","6.3","1","11.3","7.3","18.6","40","0.225","0.083333333","0.1825","2.857142857","1.333333333","2","0.933333333","0.521428571","0.243333333","0.807142857","0.376666667","70","39.24731183","46.66666667","2.995281704","7","15","8.111111111","17.38095238","12.55555556","26.9047619","3.328090782","7.131623105","20.66666667","44.28571429"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00028","","","","3","0","1.711363","0.887953","0.419912","0.617244","1.755589","2.129194","7.2835121","1","30","29","29","32","50","5","2","3.0962541","1","61.5524406","69.4492874","34.90435811","4","3","15.8939133","18.073658","8","4.6","2.4","8.6","7","15.6","82","0.14375","0.048","0.085365854","2.827586207","2.733333333","1.103448276","1.066666667","0.24137931","0.233333333","0.296551724","0.286666667","39.02439024","44.87179487","96.66666667","2.443305068","5.111111111","5.287356322","7.777777778","8.045977011","9.555555556","9.885057471","2.714783409","2.80839663","17.33333333","17.93103448"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00029","","","","3","","","","","","","","","1","30","17","6","5","6","","","","1","","","","3","3","","","8","0.6","0.3","4.6","0.9","5.5","11","0.12","0.05","0.081818182","0.647058824","0.366666667","0.294117647","0.166666667","0.052941176","0.03","0.270588235","0.153333333","45.45454545","16.36363636","56.66666667","","0.666666667","1.176470588","1","1.764705882","5.111111111","9.019607843","","","6.111111111","10.78431373"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00003","","","","1","22.0581436","2.1385369","1.056569","0.978037","0.729615","4.2047362","2.3569751","15.1537628","1","30","10","10","13","20","7","3","5.1641312","1","48.053875","64.1539993","31.30486832","2","3","23.2525024","18.7110291","6","3.1","0.8","8.1","3.9","12","33","0.238461538","0.04","0.118181818","3.3","1.1","1.3","0.433333333","0.39","0.13","0.81","0.27","39.39393939","32.5","33.33333333","1.220889864","3.444444444","10.33333333","4.333333333","13","9","27","1.356544294","4.069632882","13.33333333","40"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00030","","","","1","0","1.553774","0.992989","0.499378","0.270036","1.900964","1.8239909","18.165102","1","30","30","30","100","24","2","8","3.1598279","1","59.5064545","74.3829422","39.46223804","2","1","17.8444595","11.9657574","9","22.8","1.3","25.8","24.1","49.9","124","0.228","0.054166667","0.194354839","4.133333333","4.133333333","3.333333333","3.333333333","0.803333333","0.803333333","0.86","0.86","80.64516129","48.29659319","100","9.510399368","25.33333333","25.33333333","26.77777778","26.77777778","28.66666667","28.66666667","10.56711041","10.56711041","55.44444444","55.44444444"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00031","","","","3","0","1.310133","0.727042","0.89229","1.119254","2.1699531","2.8652101","9.7407398","1","30","27","27","85","19","4","6","2.3568439","1","62.8411255","76.0738831","40.23809524","3","1","16.9999542","13.0989532","7","25.9","1.1","29.9","27","56.9","104","0.304705882","0.057894737","0.259615385","3.851851852","3.466666667","3.148148148","2.833333333","1","0.9","1.107407407","0.996666667","81.73076923","47.4516696","90","10.86428571","28.77777778","31.97530864","30","33.33333333","33.22222222","36.91358025","12.07142857","13.41269841","63.22222222","70.24691358"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00032","","","","3","0","1.7096159","0.935607","0.683872","0.918777","2.6148641","2.2854021","15.7274876","1","30","15","10","24","8","5","2","3.0562439","1","59.3214149","75.8354492","43.60798261","4","3","17.4560089","11.1691933","7","4.1","0.4","9.1","4.5","13.6","32","0.170833333","0.05","0.140625","2.133333333","1.066666667","1.6","0.8","0.3","0.15","0.606666667","0.303333333","75","33.08823529","50","1.962359217","4.555555556","9.111111111","5","10","10.11111111","20.22222222","2.180399131","4.360798261","15.11111111","30.22222222"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00033","","","","3","1.3278465","1.976429","0.980861","0.435764","1.101658","1.594751","2.44415","8.2324066","1","30","19","19","22","23","6","6","2.4566441","1","63.4932518","74.4588623","42.64879779","4","3","15.2818222","10.5362511","6","4.3","1","9.3","5.3","14.6","45","0.195454545","0.043478261","0.117777778","2.368421053","1.5","1.157894737","0.733333333","0.278947368","0.176666667","0.489473684","0.31","48.88888889","36.30136986","63.33333333","2.260386283","4.777777778","7.543859649","5.888888889","9.298245614","10.33333333","16.31578947","2.511540314","3.96558997","16.22222222","25.61403509"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00034","","","","1","34.0434723","1.820118","0.922249","0.960073","5.3485379","3.800113","8.1732473","5.4707179","1","30","30","30","79","49","7","6","1.900866","1","55.3695641","58.5576172","24.46257962","3","3","18.9637833","16.2755623","6","9.2","1.7","14.2","10.9","25.1","128","0.116455696","0.034693878","0.08515625","4.266666667","4.266666667","2.633333333","2.633333333","0.363333333","0.363333333","0.473333333","0.473333333","61.71875","43.42629482","100","2.666421179","10.22222222","10.22222222","12.11111111","12.11111111","15.77777778","15.77777778","2.962690198","2.962690198","27.88888889","27.88888889"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00035","","","","3","0","1.556306","0.87394","0.804773","0.853141","2.2296791","2.2835209","12.8154621","1","30","26","26","58","34","5","2","2.9212699","1","58.8058777","73.9627609","36.63366337","4","3","16.3694077","12.301878","8","9.1","1.6","13.1","10.7","23.8","92","0.156896552","0.047058824","0.116304348","3.538461538","3.066666667","2.230769231","1.933333333","0.411538462","0.356666667","0.503846154","0.436666667","63.04347826","44.95798319","86.66666667","3.919801981","10.11111111","11.66666667","11.88888889","13.71794872","14.55555556","16.79487179","4.355335534","5.025387155","26.44444444","30.51282051"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00036","","","","3","0","1.711604","1.030417","0.247252","0.341819","1.828537","2.1374271","19.9162998","1","30","25","25","33","21","3","7","3.1193659","1","59.8548203","72.4290771","39.14171657","4","3","18.679451","13.2558498","8","6.1","1","9.1","7.1","16.2","54","0.184848485","0.047619048","0.131481481","2.16","1.8","1.32","1.1","0.284","0.236666667","0.364","0.303333333","61.11111111","43.82716049","83.33333333","2.779061876","6.777777778","8.133333333","7.888888889","9.466666667","10.11111111","12.13333333","3.087846529","3.705415835","18","21.6"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00037","","","","3","48.1882744","1.633235","0.68344","0","1.5045609","3.6689789","3.5283661","17.4085979","1","30","21","21","55","27","9","9","2.0767441","1","58.5989609","69.7279739","37.7388535","2","3","8.185379","15.4172544","7","10.3","1.4","15.3","11.7","27","82","0.187272727","0.051851852","0.142682927","3.904761905","2.733333333","2.619047619","1.833333333","0.557142857","0.39","0.728571429","0.51","67.07317073","43.33333333","70","4.41544586","11.44444444","16.34920635","13","18.57142857","17","24.28571429","4.906050955","7.008644221","30","42.85714286"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00038","","","","3","0","1.473965","0.81098","0.018799","0.819902","1.417878","2.17836","14.9482956","1","30","22","22","52","16","5","8","2.8429639","1","63.3218193","76.5798111","43.55546688","4","3","16.6432724","12.6481476","7","13.7","0.7","18.7","14.4","33.1","68","0.263461538","0.04375","0.211764706","3.090909091","2.266666667","2.363636364","1.733333333","0.654545455","0.48","0.85","0.623333333","76.47058824","43.50453172","73.33333333","6.271987231","15.22222222","20.75757576","16","21.81818182","20.77777778","28.33333333","6.968874701","9.503010956","36.77777778","50.15151515"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00039","","","","1","4.3207474","2.147748","1.020469","0.401194","0.762587","2.1969571","2.476887","9.8795376","1","30","13","9","10","9","7","8","3.827101","1","57.9061432","65.4394302","38.83127244","5","3","17.0093918","15.2241964","5","2.1","0.3","8.1","2.4","10.5","19","0.21","0.033333333","0.126315789","1.461538462","0.633333333","0.769230769","0.333333333","0.184615385","0.08","0.623076923","0.27","52.63157895","22.85714286","43.33333333","0.931950539","2.333333333","5.384615385","2.666666667","6.153846154","9","20.76923077","1.035500598","2.389616766","11.66666667","26.92307692"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00004","","","","1","0","2.070338","1.156267","0","0.465459","1.353018","2.1215","25.4177513","1","30","20","19","38","27","3","8","5.299335","1","57.0898705","75.146431","39.11917098","2","1","18.4200211","10.6838598","5","9.1","1","14.1","10.1","24.2","65","0.239473684","0.037037037","0.155384615","3.25","2.166666667","1.9","1.266666667","0.505","0.336666667","0.705","0.47","58.46153846","41.73553719","66.66666667","3.951036269","10.11111111","15.16666667","11.22222222","16.83333333","15.66666667","23.5","4.390040299","6.585060448","26.88888889","40.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00040","","","","1","","","","","","","","","1","30","7","2","0","5","","","","1","","","","5","7","","","5","0","0.6","0.3","0.6","0.9","5","","0.12","0.12","0.714285714","0.166666667","0","0","0.085714286","0.02","0.042857143","0.01","0","66.66666667","23.33333333","","0","0","0.666666667","2.857142857","0.333333333","1.428571429","","","1","4.285714286"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00041","","","","3","","","","","","","","","1","30","21","21","19","16","","","","1","","","","3","3","","","5","2.8","0.8","7.8","3.6","11.4","35","0.147368421","0.05","0.102857143","1.666666667","1.166666667","0.904761905","0.633333333","0.171428571","0.12","0.371428571","0.26","54.28571429","31.57894737","70","","3.111111111","4.444444444","4","5.714285714","8.666666667","12.38095238","","","12.66666667","18.0952381"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00042","","","","3","","","","","","","","","1","30","22","7","7","4","","","","1","","","","6","5","","","7","0.6","0.2","4.6","0.8","5.4","11","0.085714286","0.05","0.072727273","0.5","0.366666667","0.318181818","0.233333333","0.036363636","0.026666667","0.209090909","0.153333333","63.63636364","14.81481481","73.33333333","","0.666666667","0.909090909","0.888888889","1.212121212","5.111111111","6.96969697","","","6","8.181818182"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00043","","","","3","32.2541389","1.794885","0.967454","1.318903","1.646733","4.2648602","3.6894939","7.9086571","1","30","27","27","23","67","7","6","2.29565","1","52.5349007","63.7408295","32.32947746","4","3","21.0814362","19.8062649","6","2.4","2.7","6.4","5.1","11.5","90","0.104347826","0.040298507","0.056666667","3.333333333","3","0.851851852","0.766666667","0.188888889","0.17","0.237037037","0.213333333","25.55555556","44.34782609","90","1.64880335","2.666666667","2.962962963","5.666666667","6.296296296","7.111111111","7.901234568","1.832003723","2.035559692","12.77777778","14.19753086"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00044","","","","1","41.0108261","2.5063169","1.629508","0.541483","1.917961","4.581356","4.8461752","7.3496928","1","30","20","20","69","29","7","6","4.2033329","1","52.3384247","57.180439","24.51523546","3","1","22.697258","21.9035378","7","18.7","1.3","22.7","20","42.7","98","0.271014493","0.044827586","0.204081633","4.9","3.266666667","3.45","2.3","1","0.666666667","1.135","0.756666667","70.40816327","46.83840749","66.66666667","4.903047092","20.77777778","31.16666667","22.22222222","33.33333333","25.22222222","37.83333333","5.447830102","8.171745153","47.44444444","71.16666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00045","","","","3","4.0014267","1.804846","0.915842","0","1.89502","1.184212","3.5158451","11.6089973","3","30","15","15","15","9","5","7","2.413605","1","64.752327","69.3655472","39.79266348","4","3","15.0027466","13.5891333","7","2","0.4","6","2.4","8.4","24","0.133333333","0.044444444","0.1","1.6","0.8","1","0.5","0.16","0.08","0.4","0.2","62.5","28.57142857","50","0.955023924","2.222222222","4.444444444","2.666666667","5.333333333","6.666666667","13.33333333","1.061137693","2.122275386","9.333333333","18.66666667"
