"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00038","","","","3","","","1","10","10","10","2","3","4","1","2","2","7","1","1","0.8","0.7","7.75","1.5","9.25","7","0.266666667","0.175","0.214285714","0.7","0.7","0.3","0.3","0.15","0.15","0.775","0.775","42.85714286","16.21621622","100","","","2.666666667","2.666666667","5","5","25.83333333","25.83333333","","","30.83333333","30.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00039","","","","2","","","1","10","10","10","5","5","10","1","2","3","6","2","1","2","1","3.75","3","6.75","15","0.4","0.1","0.2","1.5","1.5","0.5","0.5","0.3","0.3","0.375","0.375","33.33333333","44.44444444","100","","","6.666666667","6.666666667","10","10","12.5","12.5","","","22.5","22.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00004","","","","2","22.4","50.5","1","10","10","10","10","14","23","1","4","5","3","3","4","2.2","1","1.8","3.2","5","37","0.157142857","0.043478261","0.086486486","3.7","3.7","1.4","1.4","0.32","0.32","0.18","0.18","37.83783784","64","100","44.35643564","1.419405941","7.333333333","7.333333333","10.66666667","10.66666667","6","6","4.731353135","4.731353135","16.66666667","16.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00040","","","","3","","","1","10","10","10","5","9","2","1","4","6","7","1","1","1.1","0.8","5.75","1.9","7.65","11","0.122222222","0.4","0.172727273","1.1","1.1","0.9","0.9","0.19","0.19","0.575","0.575","81.81818182","24.83660131","100","","","3.666666667","3.666666667","6.333333333","6.333333333","19.16666667","19.16666667","","","25.5","25.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00041","","","","3","23.43","50.29","1","10","10","10","5","5","8","1","4","5","6","2","1","1.2","0.6","2.7","1.8","4.5","13","0.24","0.075","0.138461538","1.3","1.3","0.5","0.5","0.18","0.18","0.27","0.27","38.46153846","40","100","46.58977928","0.838616027","4","4","6","6","9","9","2.795386757","2.795386757","15","15"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00042","","","","","","","","10","6","6","0","0","0","","","","4","1","1","0","0","0.95","0","0.95","0","","","","0","0","0","0","0","0","0.158333333","0.095","","0","60","","","0","0","0","0","3.166666667","5.277777778","","","3.166666667","5.277777778"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00043","","","","2","","","1","10","10","10","7","1","14","1","2","3","4","3","2","0.6","0.8","1.8","1.4","3.2","15","0.6","0.057142857","0.093333333","1.5","1.5","0.1","0.1","0.14","0.14","0.18","0.18","6.666666667","43.75","100","","","2","2","4.666666667","4.666666667","6","6","","","10.66666667","10.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00044","","","","3","15.69","50.48","1","10","9","9","9","15","25","4","7","8","4","3","1","2","0.4","1.85","2.4","4.25","40","0.133333333","0.016","0.06","4.444444444","4","1.666666667","1.5","0.266666667","0.24","0.205555556","0.185","37.5","56.47058824","90","31.08161648","0.745958796","6.666666667","7.407407407","8","8.888888889","6.166666667","6.851851852","2.486529319","2.762810354","14.16666667","15.74074074"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00045","","","","3","23.64","50.52","1","10","10","10","8","10","2","1","5","5","4","2","2","0.7","0.6","1.65","1.3","2.95","12","0.07","0.3","0.108333333","1.2","1.2","1","1","0.13","0.13","0.165","0.165","83.33333333","44.06779661","100","46.79334917","0.608313539","2.333333333","2.333333333","4.333333333","4.333333333","5.5","5.5","2.027711797","2.027711797","9.833333333","9.833333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00046","","","","3","","","1","10","10","10","5","2","10","1","5","5","6","1","1","0.6","0.4","1.65","1","2.65","12","0.3","0.04","0.083333333","1.2","1.2","0.2","0.2","0.1","0.1","0.165","0.165","16.66666667","37.73584906","100","","","2","2","3.333333333","3.333333333","5.5","5.5","","","8.833333333","8.833333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00047","","","","1","20.82","50.8","","10","10","10","1","0","3","","","","6","1","1","0","0.4","3.2","0.4","3.6","3","","0.133333333","0.133333333","0.3","0.3","0","0","0.04","0.04","0.32","0.32","0","11.11111111","100","40.98425197","0.163937008","0","0","1.333333333","1.333333333","10.66666667","10.66666667","0.546456693","0.546456693","12","12"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00048","","","","2","","","","10","10","10","3","2","2","","","","7","1","1","2.2","0.8","2.5","3","5.5","4","1.1","0.4","0.75","0.4","0.4","0.2","0.2","0.3","0.3","0.25","0.25","50","54.54545455","100","","","7.333333333","7.333333333","10","10","8.333333333","8.333333333","","","18.33333333","18.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00049","","","","1","21.9","47.11","1","10","10","10","9","16","16","1","6","5","8","1","1","1.2","0.5","5.1","1.7","6.8","32","0.075","0.03125","0.053125","3.2","3.2","1.6","1.6","0.17","0.17","0.51","0.51","50","25","100","46.48694545","0.790278073","4","4","5.666666667","5.666666667","17","17","2.634260242","2.634260242","22.66666667","22.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00005","","","","3","","","1","10","10","10","8","8","5","1","2","3","7","1","1","1","0.6","1.5","1.6","3.1","13","0.125","0.12","0.123076923","1.3","1.3","0.8","0.8","0.16","0.16","0.15","0.15","61.53846154","51.61290323","100","","","3.333333333","3.333333333","5.333333333","5.333333333","5","5","","","10.33333333","10.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00050","","","","1","","","1","10","10","10","8","7","5","1","5","5","7","1","1","2","0.9","1.15","2.9","4.05","12","0.285714286","0.18","0.241666667","1.2","1.2","0.7","0.7","0.29","0.29","0.115","0.115","58.33333333","71.60493827","100","","","6.666666667","6.666666667","9.666666667","9.666666667","3.833333333","3.833333333","","","13.5","13.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00051","","","","2","","","1","10","10","10","10","11","18","2","4","5","6","1","2","0.9","0.4","2.15","1.3","3.45","29","0.081818182","0.022222222","0.044827586","2.9","2.9","1.1","1.1","0.13","0.13","0.215","0.215","37.93103448","37.68115942","100","","","3","3","4.333333333","4.333333333","7.166666667","7.166666667","","","11.5","11.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00052","","","","3","24.72","50","1","10","10","10","7","4","6","1","4","4","5","2","1","3.3","0.5","1.25","3.8","5.05","10","0.825","0.083333333","0.38","1","1","0.4","0.4","0.38","0.38","0.125","0.125","40","75.24752475","100","49.44","1.87872","11","11","12.66666667","12.66666667","4.166666667","4.166666667","6.2624","6.2624","16.83333333","16.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00053","","","","1","21.41","50.34","1","10","10","10","10","15","2","1","5","7","5","3","3","0.9","0.4","1.8","1.3","3.1","17","0.06","0.2","0.076470588","1.7","1.7","1.5","1.5","0.13","0.13","0.18","0.18","88.23529412","41.93548387","100","42.53079062","0.552900278","3","3","4.333333333","4.333333333","6","6","1.843000927","1.843000927","10.33333333","10.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00054","","","","2","","","1","10","10","10","6","4","6","1","4","5","6","2","1","2.1","1.1","1.2","3.2","4.4","10","0.525","0.183333333","0.32","1","1","0.4","0.4","0.32","0.32","0.12","0.12","40","72.72727273","100","","","7","7","10.66666667","10.66666667","4","4","","","14.66666667","14.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00055","","","","1","21.81","46.89","1","10","10","10","10","15","22","1","3","5","8","1","1","0.6","0.4","3.85","1","4.85","37","0.04","0.018181818","0.027027027","3.7","3.7","1.5","1.5","0.1","0.1","0.385","0.385","40.54054054","20.6185567","100","46.5131158","0.465131158","2","2","3.333333333","3.333333333","12.83333333","12.83333333","1.550437193","1.550437193","16.16666667","16.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00056","","","","2","19.1","46.6","1","10","10","10","2","2","2","1","2","3","8","1","1","0.2","0.1","4.95","0.3","5.25","4","0.1","0.05","0.075","0.4","0.4","0.2","0.2","0.03","0.03","0.495","0.495","50","5.714285714","100","40.98712446","0.122961373","0.666666667","0.666666667","1","1","16.5","16.5","0.409871245","0.409871245","17.5","17.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00057","","","","","","","","10","10","10","0","0","0","","","","9","1","1","0","0","9.85","0","9.85","0","","","","0","0","0","0","0","0","0.985","0.985","","0","100","","","0","0","0","0","32.83333333","32.83333333","","","32.83333333","32.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00058","","","","","","","","10","10","10","0","0","0","","","","8","1","1","0","0","5.5","0","5.5","0","","","","0","0","0","0","0","0","0.55","0.55","","0","100","","","0","0","0","0","18.33333333","18.33333333","","","18.33333333","18.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00059","","","","2","","","1","10","9","9","4","1","5","1","3","3","7","3","3","1.2","0.4","6.1","1.6","7.7","6","1.2","0.08","0.266666667","0.666666667","0.6","0.111111111","0.1","0.177777778","0.16","0.677777778","0.61","16.66666667","20.77922078","90","","","4","4.444444444","5.333333333","5.925925926","20.33333333","22.59259259","","","25.66666667","28.51851852"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00006","","","","3","","","1","10","10","10","1","1","2","1","2","1","6","1","3","0.4","0.5","9.4","0.9","10.3","3","0.4","0.25","0.3","0.3","0.3","0.1","0.1","0.09","0.09","0.94","0.94","33.33333333","8.737864078","100","","","1.333333333","1.333333333","3","3","31.33333333","31.33333333","","","34.33333333","34.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00060","","","","2","","","1","10","10","10","6","6","3","1","5","5","8","1","1","0.4","0.4","8.45","0.8","9.25","9","0.066666667","0.133333333","0.088888889","0.9","0.9","0.6","0.6","0.08","0.08","0.845","0.845","66.66666667","8.648648649","100","","","1.333333333","1.333333333","2.666666667","2.666666667","28.16666667","28.16666667","","","30.83333333","30.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00061","","","","3","","","1","10","10","10","3","0","4","","2","3","8","1","1","0","0.3","5.9","0.3","6.2","4","","0.075","0.075","0.4","0.4","0","0","0.03","0.03","0.59","0.59","0","4.838709677","100","","","0","0","1","1","19.66666667","19.66666667","","","20.66666667","20.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00062","","","","","","","","10","10","10","0","0","0","","","","9","1","1","0","0","7.95","0","7.95","0","","","","0","0","0","0","0","0","0.795","0.795","","0","100","","","0","0","0","0","26.5","26.5","","","26.5","26.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00063","","","","2","","","1","10","10","10","7","7","17","1","3","3","8","1","1","0.5","0.6","4.4","1.1","5.5","24","0.071428571","0.035294118","0.045833333","2.4","2.4","0.7","0.7","0.11","0.11","0.44","0.44","29.16666667","20","100","","","1.666666667","1.666666667","3.666666667","3.666666667","14.66666667","14.66666667","","","18.33333333","18.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00064","","","","1","20.89","50.57","1","10","10","10","10","20","20","1","6","6","5","2","3","2.8","1","3.6","3.8","7.4","40","0.14","0.05","0.095","4","4","2","2","0.38","0.38","0.36","0.36","50","51.35135135","100","41.30907653","1.569744908","9.333333333","9.333333333","12.66666667","12.66666667","12","12","5.232483027","5.232483027","24.66666667","24.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00065","","","","1","22.56","50.64","1","10","10","10","8","9","14","1","5","4","6","1","1","0.7","0.5","4.7","1.2","5.9","23","0.077777778","0.035714286","0.052173913","2.3","2.3","0.9","0.9","0.12","0.12","0.47","0.47","39.13043478","20.33898305","100","44.54976303","0.534597156","2.333333333","2.333333333","4","4","15.66666667","15.66666667","1.781990521","1.781990521","19.66666667","19.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00066","","","","1","14.53","50.49","1","10","10","10","10","18","13","1","8","8","7","3","1","4.4","0.8","2.95","5.2","8.15","31","0.244444444","0.061538462","0.167741935","3.1","3.1","1.8","1.8","0.52","0.52","0.295","0.295","58.06451613","63.80368098","100","28.77797584","1.496454744","14.66666667","14.66666667","17.33333333","17.33333333","9.833333333","9.833333333","4.988182478","4.988182478","27.16666667","27.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00067","","","","","","","","10","9","9","0","0","0","","","","6","1","1","0","0","6.55","0","6.55","0","","","","0","0","0","0","0","0","0.727777778","0.655","","0","90","","","0","0","0","0","21.83333333","24.25925926","","","21.83333333","24.25925926"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00068","","","","3","","","1","10","10","9","3","1","13","1","2","2","6","3","1","0.15","0.3","6.35","0.45","6.8","14","0.15","0.023076923","0.032142857","1.555555556","1.4","0.111111111","0.1","0.05","0.045","0.705555556","0.635","7.142857143","6.617647059","90","","","0.5","0.555555556","1.5","1.666666667","21.16666667","23.51851852","","","22.66666667","25.18518519"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00069","","","","2","","","1","10","10","10","5","3","11","1","2","2","3","2","3","0.3","0.2","1.6","0.5","2.1","14","0.1","0.018181818","0.035714286","1.4","1.4","0.3","0.3","0.05","0.05","0.16","0.16","21.42857143","23.80952381","100","","","1","1","1.666666667","1.666666667","5.333333333","5.333333333","","","7","7"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00007","","","","4","22.1","50.8","1","10","10","10","9","16","9","1","6","6","6","1","2","2.1","0.8","5","2.9","7.9","25","0.13125","0.088888889","0.116","2.5","2.5","1.6","1.6","0.29","0.29","0.5","0.5","64","36.70886076","100","43.50393701","1.261614173","7","7","9.666666667","9.666666667","16.66666667","16.66666667","4.205380577","4.205380577","26.33333333","26.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00070","","","","2","24.14","50.17","1","10","10","10","8","10","16","1","4","4","5","1","1","1.1","0.6","5.45","1.7","7.15","26","0.11","0.0375","0.065384615","2.6","2.6","1","1","0.17","0.17","0.545","0.545","38.46153846","23.77622378","100","48.11640423","0.817978872","3.666666667","3.666666667","5.666666667","5.666666667","18.16666667","18.16666667","2.726596239","2.726596239","23.83333333","23.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00071","","","","1","","","1","10","8","7","4","4","2","1","4","3","4","2","1","0.4","0.1","2.05","0.5","2.55","6","0.1","0.05","0.083333333","0.857142857","0.6","0.571428571","0.4","0.071428571","0.05","0.292857143","0.205","66.66666667","19.60784314","70","","","1.333333333","1.904761905","1.666666667","2.380952381","6.833333333","9.761904762","","","8.5","12.14285714"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00072","","","","2","","","1","10","10","10","5","3","6","1","2","4","8","1","1","0.7","0.3","8.1","1","9.1","9","0.233333333","0.05","0.111111111","0.9","0.9","0.3","0.3","0.1","0.1","0.81","0.81","33.33333333","10.98901099","100","","","2.333333333","2.333333333","3.333333333","3.333333333","27","27","","","30.33333333","30.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00073","","","","","","","","10","10","0","0","0","0","","","","3","1","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00074","","","","2","21.77","50.09","1","10","10","10","10","9","22","1","5","6","9","1","1","1.6","1.1","6.25","2.7","8.95","31","0.177777778","0.05","0.087096774","3.1","3.1","0.9","0.9","0.27","0.27","0.625","0.625","29.03225806","30.16759777","100","43.46176882","1.173467758","5.333333333","5.333333333","9","9","20.83333333","20.83333333","3.911559193","3.911559193","29.83333333","29.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00075","","","","3","","","1","10","10","10","10","6","16","1","6","5","8","2","1","1","0.8","3.45","1.8","5.25","22","0.166666667","0.05","0.081818182","2.2","2.2","0.6","0.6","0.18","0.18","0.345","0.345","27.27272727","34.28571429","100","","","3.333333333","3.333333333","6","6","11.5","11.5","","","17.5","17.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00076","","","","2","20.61","50.16","1","10","10","10","10","12","16","2","8","9","9","1","1","5.2","0.8","4.3","6","10.3","28","0.433333333","0.05","0.214285714","2.8","2.8","1.2","1.2","0.6","0.6","0.43","0.43","42.85714286","58.25242718","100","41.08851675","2.465311005","17.33333333","17.33333333","20","20","14.33333333","14.33333333","8.217703349","8.217703349","34.33333333","34.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00077","","","","","","","","10","10","10","0","0","0","","","","5","1","1","0","0","5.25","0","5.25","0","","","","0","0","0","0","0","0","0.525","0.525","","0","100","","","0","0","0","0","17.5","17.5","","","17.5","17.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00078","","","","","","","","10","10","10","0","0","0","","","","7","3","3","0","0","8.2","0","8.2","0","","","","0","0","0","0","0","0","0.82","0.82","","0","100","","","0","0","0","0","27.33333333","27.33333333","","","27.33333333","27.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00079","","","","2","","","1","10","10","10","7","7","9","1","4","4","7","7","1","0.4","0.1","2.85","0.5","3.35","16","0.057142857","0.011111111","0.03125","1.6","1.6","0.7","0.7","0.05","0.05","0.285","0.285","43.75","14.92537313","100","","","1.333333333","1.333333333","1.666666667","1.666666667","9.5","9.5","","","11.16666667","11.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00008","","","","2","23.1","50.7","1","10","10","10","7","8","6","1","5","7","7","1","1","1.7","0.5","5.4","2.2","7.6","14","0.2125","0.083333333","0.157142857","1.4","1.4","0.8","0.8","0.22","0.22","0.54","0.54","57.14285714","28.94736842","100","45.56213018","1.002366864","5.666666667","5.666666667","7.333333333","7.333333333","18","18","3.34122288","3.34122288","25.33333333","25.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00080","","","","3","","","1","10","10","10","4","2","7","1","3","4","6","5","4","0.3","0.1","4.05","0.4","4.45","9","0.15","0.014285714","0.044444444","0.9","0.9","0.2","0.2","0.04","0.04","0.405","0.405","22.22222222","8.988764045","100","","","1","1","1.333333333","1.333333333","13.5","13.5","","","14.83333333","14.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00081","","","","","","","","10","10","10","0","0","0","","","","7","1","1","0","0","3.5","0","3.5","0","","","","0","0","0","0","0","0","0.35","0.35","","0","100","","","0","0","0","0","11.66666667","11.66666667","","","11.66666667","11.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00082","","","","3","21.12","50.42","1","10","10","10","4","4","6","1","5","6","6","4","3","2.1","0.2","3.55","2.3","5.85","10","0.525","0.033333333","0.23","1","1","0.4","0.4","0.23","0.23","0.355","0.355","40","39.31623932","100","41.88813963","0.963427211","7","7","7.666666667","7.666666667","11.83333333","11.83333333","3.211424038","3.211424038","19.5","19.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00083","","","","2","23.7","50.93","1","10","10","9","4","5","7","1","5","5","6","1","1","0.8","0.3","3.15","1.1","4.25","12","0.16","0.042857143","0.091666667","1.333333333","1.2","0.555555556","0.5","0.122222222","0.11","0.35","0.315","41.66666667","25.88235294","90","46.53445906","0.51187905","2.666666667","2.962962963","3.666666667","4.074074074","10.5","11.66666667","1.706263499","1.895848332","14.16666667","15.74074074"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00084","","","","2","22.04","50.36","1","10","10","10","6","10","6","1","4","4","6","1","2","2","0.3","5.15","2.3","7.45","16","0.2","0.05","0.14375","1.6","1.6","1","1","0.23","0.23","0.515","0.515","62.5","30.87248322","100","43.76489277","1.006592534","6.666666667","6.666666667","7.666666667","7.666666667","17.16666667","17.16666667","3.355308446","3.355308446","24.83333333","24.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00085","","","","1","","","1","10","10","10","7","2","9","1","3","3","9","3","1","0.3","0.4","15.85","0.7","16.55","11","0.15","0.044444444","0.063636364","1.1","1.1","0.2","0.2","0.07","0.07","1.585","1.585","18.18181818","4.229607251","100","","","1","1","2.333333333","2.333333333","52.83333333","52.83333333","","","55.16666667","55.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00086","","","","2","23.77","48.29","1","10","10","9","6","5","2","1","6","6","6","2","1","1.2","0.2","4.7","1.4","6.1","7","0.24","0.1","0.2","0.777777778","0.7","0.555555556","0.5","0.155555556","0.14","0.522222222","0.47","71.42857143","22.95081967","90","49.22344171","0.689128184","4","4.444444444","4.666666667","5.185185185","15.66666667","17.40740741","2.297093946","2.552326607","20.33333333","22.59259259"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00087","","","","2","20.49","50.73","1","10","10","10","7","5","5","1","4","5","7","1","1","1.2","0.3","4.75","1.5","6.25","10","0.24","0.06","0.15","1","1","0.5","0.5","0.15","0.15","0.475","0.475","50","24","100","40.3903016","0.605854524","4","4","5","5","15.83333333","15.83333333","2.01951508","2.01951508","20.83333333","20.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00088","","","","1","21.23","50.61","1","10","10","9","9","6","7","1","6","6","6","1","1","1.2","0.3","2.15","1.5","3.65","13","0.2","0.042857143","0.115384615","1.444444444","1.3","0.666666667","0.6","0.166666667","0.15","0.238888889","0.215","46.15384615","41.09589041","90","41.94823157","0.629223474","4","4.444444444","5","5.555555556","7.166666667","7.962962963","2.097411579","2.33045731","12.16666667","13.51851852"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00089","","","","1","","","1","10","10","10","9","7","5","1","5","7","9","1","1","2.4","0.3","12.88","2.7","15.58","12","0.342857143","0.06","0.225","1.2","1.2","0.7","0.7","0.27","0.27","1.288","1.288","58.33333333","17.32991014","100","","","8","8","9","9","42.93333333","42.93333333","","","51.93333333","51.93333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00009","","","","3","","","1","10","10","10","5","4","12","1","4","4","3","7","5","2.2","0.6","2.6","2.8","5.4","16","0.55","0.05","0.175","1.6","1.6","0.4","0.4","0.28","0.28","0.26","0.26","25","51.85185185","100","","","7.333333333","7.333333333","9.333333333","9.333333333","8.666666667","8.666666667","","","18","18"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00090","","","","1","21.27","50.11","1","10","10","10","9","9","6","1","4","4","5","2","2","1.3","0.4","2.75","1.7","4.45","15","0.144444444","0.066666667","0.113333333","1.5","1.5","0.9","0.9","0.17","0.17","0.275","0.275","60","38.20224719","100","42.44661744","0.721592497","4.333333333","4.333333333","5.666666667","5.666666667","9.166666667","9.166666667","2.405308322","2.405308322","14.83333333","14.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00091","","","","1","","","1","10","10","10","3","","4","1","2","2","6","1","1","","0.2","10.95","","","","","0.05","","","","","","","","1.095","1.095","","","100","","","","","","","36.5","36.5","","","",""
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00092","","","","2","","","1","10","10","10","6","5","11","1","4","3","5","4","2","0.5","0.4","1.45","0.9","2.35","16","0.1","0.036363636","0.05625","1.6","1.6","0.5","0.5","0.09","0.09","0.145","0.145","31.25","38.29787234","100","","","1.666666667","1.666666667","3","3","4.833333333","4.833333333","","","7.833333333","7.833333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00093","","","","2","","","1","10","10","10","9","3","23","1","5","7","5","1","2","0.4","2.3","3.55","2.7","6.25","26","0.133333333","0.1","0.103846154","2.6","2.6","0.3","0.3","0.27","0.27","0.355","0.355","11.53846154","43.2","100","","","1.333333333","1.333333333","9","9","11.83333333","11.83333333","","","20.83333333","20.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00094","","","","2","","","1","10","10","10","3","0","7","1","2","2","5","2","1","0","0.2","3.75","0.2","3.95","7","","0.028571429","0.028571429","0.7","0.7","0","0","0.02","0.02","0.375","0.375","0","5.063291139","100","","","0","0","0.666666667","0.666666667","12.5","12.5","","","13.16666667","13.16666667"
