"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00017","","","","1","","1.277766943","2.825354099","4","10","10","10","2","0","","1","72.15026093","3","2","7","3","4","0","","7.4","","","","","","","","","0","0","","","0.74","0.74","","","100","0","0","","","24.66666667","24.66666667","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00018","","","","1","","","","4","10","10","9","1","0","","3","","3","2","6","1","5","0","","6.2","","","","","","","","","0","0","","","0.688888889","0.62","","","90","0","0","","","20.66666667","22.96296296","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00019","","","","1","","","","3","10","10","10","4","2","7","4","","4","4","5","2","6","0.3","0.3","3.4","0.6","4","9","0.15","0.042857143","0.066666667","0.9","0.9","0.2","0.2","0.06","0.06","0.34","0.34","22.22222222","15","100","1","1","2","2","11.33333333","11.33333333","13.33333333","13.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00002","","","","","","","","3","10","10","9","3","0","","","","","","7","1","6","0","","6.2","","","","","","","","","0","0","","","0.688888889","0.62","","","90","0","0","","","20.66666667","22.96296296","",""
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00020","","","","1","2","","","3","10","9","9","5","0","6","3","","4","4","6","5","6","0","0.4","3.7","0.4","4.1","6","","0.066666667","0.066666667","0.666666667","0.6","0","0","0.044444444","0.04","0.411111111","0.37","0","9.756097561","90","0","0","1.333333333","1.481481481","12.33333333","13.7037037","13.66666667","15.18518519"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00021","","","","3","","1.113299012","2.189217091","4","10","10","10","9","11","8","4","70.77489471","5","4","6","1","6","2","0.5","4.4","2.5","6.9","19","0.181818182","0.0625","0.131578947","1.9","1.9","1.1","1.1","0.25","0.25","0.44","0.44","57.89473684","36.23188406","100","6.666666667","6.666666667","8.333333333","8.333333333","14.66666667","14.66666667","23","23"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00022","","","","3","","","","4","10","10","10","10","8","11","4","","4","4","6","3","6","1","0.6","2.2","1.6","3.8","19","0.125","0.054545455","0.084210526","1.9","1.9","0.8","0.8","0.16","0.16","0.22","0.22","42.10526316","42.10526316","100","3.333333333","3.333333333","5.333333333","5.333333333","7.333333333","7.333333333","12.66666667","12.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00023","","","","1","","","","3","10","9","9","4","0","11","2","","3","3","4","5","6","0","0.5","1.4","0.5","1.9","11","","0.045454545","0.045454545","1.222222222","1.1","0","0","0.055555556","0.05","0.155555556","0.14","0","26.31578947","90","0","0","1.666666667","1.851851852","4.666666667","5.185185185","6.333333333","7.037037037"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00024","","","","1","4","","","3","10","10","10","10","15","12","3","","6","5","5","3","6","2.2","0.5","3.8","2.7","6.5","27","0.146666667","0.041666667","0.1","2.7","2.7","1.5","1.5","0.27","0.27","0.38","0.38","55.55555556","41.53846154","100","7.333333333","7.333333333","9","9","12.66666667","12.66666667","21.66666667","21.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00025","","","","","","","","","10","10","10","0","0","0","","","","","6","3","5","0","0","12.8","0","12.8","0","","","","0","0","0","0","0","0","1.28","1.28","","0","100","0","0","0","0","42.66666667","42.66666667","42.66666667","42.66666667"
