"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00210","","","","3","2","2","1","1","0.14","0.02","1","5","0.16","1.16","2","0.14","0.02","0.08","1","0.5","0.08","0.5","50","13.79310345","2.333333333","2.666666667","16.66666667","19.33333333","0.666666667","0.333333333","0.053333333","0.333333333","66.66666667","1.555555556","1.777777778","11.11111111","12.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00211","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00212","","","","3","2","2","1","6","0.14","0.12","4.5","3","0.26","4.76","7","0.14","0.02","0.037142857","3.5","0.5","0.13","2.25","14.28571429","5.462184874","2.333333333","4.333333333","75","79.33333333","2.333333333","0.333333333","0.086666667","1.5","66.66666667","1.555555556","2.888888889","50","52.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00213","","","","3","2","2","0","3","0","0.06","1","6","0.06","1.06","3","","0.02","0.02","1.5","0","0.03","0.5","0","5.660377358","0","1","16.66666667","17.66666667","1","0","0.02","0.333333333","66.66666667","0","0.666666667","11.11111111","11.77777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00214","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00215","","","","3","3","3","6","2","1.38","0.08","4","4","1.46","5.46","8","0.23","0.04","0.1825","2.666666667","2","0.486666667","1.333333333","75","26.73992674","15.33333333","16.22222222","44.44444444","60.66666667","2.666666667","2","0.486666667","1.333333333","100","15.33333333","16.22222222","44.44444444","60.66666667"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00216","","","","3","2","2","0","","0","","1","3","","","","","","","","0","","0.5","","","0","","16.66666667","","","0","","0.333333333","66.66666667","0","","11.11111111",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00217","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00218","","","","3","1","0","0","0","0","0","","5","0","","0","","","","0","0","0","","","","0","0","","","0","0","0","","33.33333333","0","0","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00219","","","","3","1","1","0","1","0","0.1","0.5","4","0.1","0.6","1","","0.1","0.1","1","0","0.1","0.5","0","16.66666667","0","3.333333333","16.66666667","20","0.333333333","0","0.033333333","0.166666667","33.33333333","0","1.111111111","5.555555556","6.666666667"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00220","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00221","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00222","","","","3","2","2","5","0","1.04","0","2","4","1.04","3.04","5","0.208","","0.208","2.5","2.5","0.52","1","100","34.21052632","17.33333333","17.33333333","33.33333333","50.66666667","1.666666667","1.666666667","0.346666667","0.666666667","66.66666667","11.55555556","11.55555556","22.22222222","33.77777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00223","","","","3","1","1","1","0","0.14","0","0.5","5","0.14","0.64","1","0.14","","0.14","1","1","0.14","0.5","100","21.875","4.666666667","4.666666667","16.66666667","21.33333333","0.333333333","0.333333333","0.046666667","0.166666667","33.33333333","1.555555556","1.555555556","5.555555556","7.111111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00224","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00225","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00226","","","","3","2","2","4","4","0.64","0.16","1.5","4","0.8","2.3","8","0.16","0.04","0.1","4","2","0.4","0.75","50","34.7826087","10.66666667","13.33333333","25","38.33333333","2.666666667","1.333333333","0.266666667","0.5","66.66666667","7.111111111","8.888888889","16.66666667","25.55555556"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00227","","","","3","1","1","1","0","0.14","0","0.5","5","0.14","0.64","1","0.14","","0.14","1","1","0.14","0.5","100","21.875","4.666666667","4.666666667","16.66666667","21.33333333","0.333333333","0.333333333","0.046666667","0.166666667","33.33333333","1.555555556","1.555555556","5.555555556","7.111111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00228","","","","3","1","1","2","1","0.5","0.06","1","5","0.56","1.56","3","0.25","0.06","0.186666667","3","2","0.56","1","66.66666667","35.8974359","16.66666667","18.66666667","33.33333333","52","1","0.666666667","0.186666667","0.333333333","33.33333333","5.555555556","6.222222222","11.11111111","17.33333333"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00229","","","","3","2","2","0","6","0","0.28","0.5","5","0.28","0.78","6","","0.046666667","0.046666667","3","0","0.14","0.25","0","35.8974359","0","4.666666667","8.333333333","13","2","0","0.093333333","0.166666667","66.66666667","0","3.111111111","5.555555556","8.666666667"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00230","","","","3","2","2","7","1","1.14","0.06","1","5","1.2","2.2","8","0.162857143","0.06","0.15","4","3.5","0.6","0.5","87.5","54.54545455","19","20","16.66666667","36.66666667","2.666666667","2.333333333","0.4","0.333333333","66.66666667","12.66666667","13.33333333","11.11111111","24.44444444"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00231","","","","3","3","3","8","6","2.7","0.3","2.5","3","3","5.5","14","0.3375","0.05","0.214285714","4.666666667","2.666666667","1","0.833333333","57.14285714","54.54545455","30","33.33333333","27.77777778","61.11111111","4.666666667","2.666666667","1","0.833333333","100","30","33.33333333","27.77777778","61.11111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00232","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00233","","","","3","1","1","0","1","0","0.06","0.5","5","0.06","0.56","1","","0.06","0.06","1","0","0.06","0.5","0","10.71428571","0","2","16.66666667","18.66666667","0.333333333","0","0.02","0.166666667","33.33333333","0","0.666666667","5.555555556","6.222222222"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00234","","","","3","1","1","0","","0","","1","3","","","","","","","","0","","1","","","0","","33.33333333","","","0","","0.333333333","33.33333333","0","","11.11111111",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00301","","","","3","3","2","0","2","0","0.12","0.5","6","0.12","0.62","2","","0.06","0.06","0.666666667","0","0.04","0.166666667","0","19.35483871","0","1.333333333","5.555555556","6.888888889","0.666666667","0","0.04","0.166666667","100","0","1.333333333","5.555555556","6.888888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00302","","","","3","3","2","0","3","0","0.14","7","3","0.14","7.14","3","","0.046666667","0.046666667","1","0","0.046666667","2.333333333","0","1.960784314","0","1.555555556","77.77777778","79.33333333","1","0","0.046666667","2.333333333","100","0","1.555555556","77.77777778","79.33333333"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00303","","","","3","3","3","8","12","0.8","0.3","0.5","5","1.1","1.6","20","0.1","0.025","0.055","6.666666667","2.666666667","0.366666667","0.166666667","40","68.75","8.888888889","12.22222222","5.555555556","17.77777778","6.666666667","2.666666667","0.366666667","0.166666667","100","8.888888889","12.22222222","5.555555556","17.77777778"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00304","","","","3","3","2","3","1","0.36","0.06","0.5","4","0.42","0.92","4","0.12","0.06","0.105","1.333333333","1","0.14","0.166666667","75","45.65217391","4","4.666666667","5.555555556","10.22222222","1.333333333","1","0.14","0.166666667","100","4","4.666666667","5.555555556","10.22222222"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00305","","","","3","3","3","3","2","0.84","0.1","1","5","0.94","1.94","5","0.28","0.05","0.188","1.666666667","1","0.313333333","0.333333333","60","48.45360825","9.333333333","10.44444444","11.11111111","21.55555556","1.666666667","1","0.313333333","0.333333333","100","9.333333333","10.44444444","11.11111111","21.55555556"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00306","","","","3","1","1","0","1","0","0.12","0.5","6","0.12","0.62","1","","0.12","0.12","1","0","0.12","0.5","0","19.35483871","0","4","16.66666667","20.66666667","0.333333333","0","0.04","0.166666667","33.33333333","0","1.333333333","5.555555556","6.888888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00307","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00308","","","","3","2","2","0","3","0","0.12","0.5","5","0.12","0.62","3","","0.04","0.04","1.5","0","0.06","0.25","0","19.35483871","0","2","8.333333333","10.33333333","1","0","0.04","0.166666667","66.66666667","0","1.333333333","5.555555556","6.888888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00309","","","","3","3","3","3","0","0.4","0","0.5","6","0.4","0.9","3","0.133333333","","0.133333333","1","1","0.133333333","0.166666667","100","44.44444444","4.444444444","4.444444444","5.555555556","10","1","1","0.133333333","0.166666667","100","4.444444444","4.444444444","5.555555556","10"
