"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00037","","","","2","2","10","10","13","8","14","8","6","4","8","7","2","6","1.5","3.5","7.5","11","20","0.6","0.15","0.375","2.5","1.428571429","1.25","0.714285714","0.9375","0.535714286","0.4375","0.25","50","68.18181818","57.14285714","14.28571429","25","17.85714286","31.25","8.333333333","14.58333333","26.19047619","45.83333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00038","","","","1","2","9","14","14","10","14","7","3","4","5","7","3","2.5","0.5","6.5","3","9.5","23","0.277777778","0.035714286","0.130434783","2.3","1.642857143","0.9","0.642857143","0.3","0.214285714","0.65","0.464285714","39.13043478","31.57894737","71.42857143","5.952380952","8.333333333","7.142857143","10","15.47619048","21.66666667","22.61904762","31.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00039","","","","3","2","21","27","14","10","14","9","4","5","7","7","3","5.5","2","1.6","7.5","9.1","48","0.261904762","0.074074074","0.15625","4.8","3.428571429","2.1","1.5","0.75","0.535714286","0.16","0.114285714","43.75","82.41758242","71.42857143","13.0952381","18.33333333","17.85714286","25","3.80952381","5.333333333","21.66666667","30.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00004","","","","2","1","6","30","14","10","14","10","2","3","3","8","4","2","2.5","3","4.5","7.5","36","0.333333333","0.083333333","0.125","3.6","2.571428571","0.6","0.428571429","0.45","0.321428571","0.3","0.214285714","16.66666667","60","71.42857143","4.761904762","6.666666667","10.71428571","15","7.142857143","10","17.85714286","25"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00040","","","","2","2","11","7","6","3","14","3","5","5","6","7","2","2.5","0.5","4.8","3","7.8","18","0.227272727","0.071428571","0.166666667","6","1.285714286","3.666666667","0.785714286","1","0.214285714","1.6","0.342857143","61.11111111","38.46153846","21.42857143","5.952380952","27.77777778","7.142857143","33.33333333","11.42857143","53.33333333","18.57142857","86.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00041","","","","3","2","12","21","14","10","14","10","2","5","6","7","4","2","1","7.2","3","10.2","33","0.166666667","0.047619048","0.090909091","3.3","2.357142857","1.2","0.857142857","0.3","0.214285714","0.72","0.514285714","36.36363636","29.41176471","71.42857143","4.761904762","6.666666667","7.142857143","10","17.14285714","24","24.28571429","34"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00042","","","","2","3","15","11","14","8","14","8","5","4","6","6","2","3.5","0.5","2.3","4","6.3","26","0.233333333","0.045454545","0.153846154","3.25","1.857142857","1.875","1.071428571","0.5","0.285714286","0.2875","0.164285714","57.69230769","63.49206349","57.14285714","8.333333333","14.58333333","9.523809524","16.66666667","5.476190476","9.583333333","15","26.25"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00043","","","","2","5","30","19","14","10","14","10","7","5","9","7","3","13.5","2","5.1","15.5","20.6","49","0.45","0.105263158","0.316326531","4.9","3.5","3","2.142857143","1.55","1.107142857","0.51","0.364285714","61.2244898","75.24271845","71.42857143","32.14285714","45","36.9047619","51.66666667","12.14285714","17","49.04761905","68.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00044","","","","5","4","13","24","14","10","14","8","5","3","4","6","3","1.5","1","4","2.5","6.5","37","0.115384615","0.041666667","0.067567568","3.7","2.642857143","1.3","0.928571429","0.25","0.178571429","0.4","0.285714286","35.13513514","38.46153846","71.42857143","3.571428571","5","5.952380952","8.333333333","9.523809524","13.33333333","15.47619048","21.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00045","","","","3","4","14","9","10","7","14","6","5","6","7","7","4","5","0.5","5.4","5.5","10.9","23","0.357142857","0.055555556","0.239130435","3.285714286","1.642857143","2","1","0.785714286","0.392857143","0.771428571","0.385714286","60.86956522","50.4587156","50","11.9047619","23.80952381","13.0952381","26.19047619","12.85714286","25.71428571","25.95238095","51.9047619"
