"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00601","","","","4","4","4","4","8","12","0.78","0.34","1.76","1.12","2.88","20","0.0975","0.028333333","0.056","5","2","0.28","0.44","40","38.88888889","6.5","9.333333333","14.66666667","24","5","2","0.28","0.44","100","6.5","9.333333333","14.66666667","24"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00610","","","","4","4","4","","0","4","0","0.08","1.6","0.08","1.68","4","","0.02","0.02","1","0","0.02","0.4","0","4.761904762","0","0.666666667","13.33333333","14","1","0","0.02","0.4","100","0","0.666666667","13.33333333","14"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00611","","","","4","4","4","2","2","2","0.38","0.16","1.6","0.54","2.14","4","0.19","0.08","0.135","1","0.5","0.135","0.4","50","25.23364486","3.166666667","4.5","13.33333333","17.83333333","1","0.5","0.135","0.4","100","3.166666667","4.5","13.33333333","17.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00612","","","","4","4","3","2","1","5","0.38","0.2","2.28","0.58","2.86","6","0.38","0.04","0.096666667","2","0.333333333","0.193333333","0.76","16.66666667","20.27972028","4.222222222","6.444444444","25.33333333","31.77777778","1.5","0.25","0.145","0.57","75","3.166666667","4.833333333","19","23.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00613","","","","4","4","4","3","5","3","1.12","0.22","3.54","1.34","4.88","8","0.224","0.073333333","0.1675","2","1.25","0.335","0.885","62.5","27.45901639","9.333333333","11.16666667","29.5","40.66666667","2","1.25","0.335","0.885","100","9.333333333","11.16666667","29.5","40.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00614","","","","4","4","4","4","3","9","0.74","0.3","1.7","1.04","2.74","12","0.246666667","0.033333333","0.086666667","3","0.75","0.26","0.425","25","37.95620438","6.166666667","8.666666667","14.16666667","22.83333333","3","0.75","0.26","0.425","100","6.166666667","8.666666667","14.16666667","22.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00615","","","","4","3","3","3","7","7","0.94","0.32","2.04","1.26","3.3","14","0.134285714","0.045714286","0.09","4.666666667","2.333333333","0.42","0.68","50","38.18181818","10.44444444","14","22.66666667","36.66666667","3.5","1.75","0.315","0.51","75","7.833333333","10.5","17","27.5"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00616","","","","4","4","3","1","2","5","0.26","0.16","1.12","0.42","1.54","7","0.13","0.032","0.06","2.333333333","0.666666667","0.14","0.373333333","28.57142857","27.27272727","2.888888889","4.666666667","12.44444444","17.11111111","1.75","0.5","0.105","0.28","75","2.166666667","3.5","9.333333333","12.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00617","","","","4","4","4","3","3","6","0.22","0.14","1.56","0.36","1.92","9","0.073333333","0.023333333","0.04","2.25","0.75","0.09","0.39","33.33333333","18.75","1.833333333","3","13","16","2.25","0.75","0.09","0.39","100","1.833333333","3","13","16"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00618","","","","4","3","3","3","0","3","0","0.12","1.16","0.12","1.28","3","","0.04","0.04","1","0","0.04","0.386666667","0","9.375","0","1.333333333","12.88888889","14.22222222","0.75","0","0.03","0.29","75","0","1","9.666666667","10.66666667"
