"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00158","","","","3","2","3","3","3","2","1","5","7","1","1","0.32","0.15","0.89","0.47","1.36","5","0.106666667","0.075","0.094","1.666666667","1.666666667","1","1","0.156666667","0.156666667","0.296666667","0.296666667","60","34.55882353","100","3.555555556","3.555555556","5.222222222","5.222222222","9.888888889","9.888888889","15.11111111","15.11111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00159","","","","2","1","2","2","3","1","1","3","7","1","1","0.72","0.08","0.94","0.8","1.74","3","0.36","0.08","0.266666667","1.5","1","1","0.666666667","0.4","0.266666667","0.47","0.313333333","66.66666667","45.97701149","66.66666667","8","12","8.888888889","13.33333333","10.44444444","15.66666667","19.33333333","29"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00016","","","","2","5","3","3","3","3","1","5","7","1","1","0.44","0.27","0.97","0.71","1.68","7","0.22","0.054","0.101428571","2.333333333","2.333333333","0.666666667","0.666666667","0.236666667","0.236666667","0.323333333","0.323333333","28.57142857","42.26190476","100","4.888888889","4.888888889","7.888888889","7.888888889","10.77777778","10.77777778","18.66666667","18.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00160","","","","2","1","3","2","3","1","1","7","8","1","1","0.6","0.15","1.87","0.75","2.62","3","0.3","0.15","0.25","1.5","1","1","0.666666667","0.375","0.25","0.935","0.623333333","66.66666667","28.6259542","66.66666667","6.666666667","10","8.333333333","12.5","20.77777778","31.16666667","29.11111111","43.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00161","","","","0","0","2","2","3","0","","","7","1","1","0","0","1.07","0","1.07","0","","","","0","0","0","0","0","0","0.535","0.356666667","","0","66.66666667","0","0","0","0","11.88888889","17.83333333","11.88888889","17.83333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00162","","","","5","0","3","3","3","2","1","1","5","1","1","0.43","0","0.3","0.43","0.73","5","0.086","","0.086","1.666666667","1.666666667","1.666666667","1.666666667","0.143333333","0.143333333","0.1","0.1","100","58.90410959","100","4.777777778","4.777777778","4.777777778","4.777777778","3.333333333","3.333333333","8.111111111","8.111111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00163","","","","4","2","2","2","3","2","1","5","7","1","1","0.5","0.1","1.44","0.6","2.04","6","0.125","0.05","0.1","3","2","2","1.333333333","0.3","0.2","0.72","0.48","66.66666667","29.41176471","66.66666667","5.555555556","8.333333333","6.666666667","10","16","24","22.66666667","34"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00164","","","","7","4","3","3","3","3","1","3","6","1","1","0.56","0.18","0.56","0.74","1.3","11","0.08","0.045","0.067272727","3.666666667","3.666666667","2.333333333","2.333333333","0.246666667","0.246666667","0.186666667","0.186666667","63.63636364","56.92307692","100","6.222222222","6.222222222","8.222222222","8.222222222","6.222222222","6.222222222","14.44444444","14.44444444"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00165","","","","4","9","3","2","3","2","1","3","7","1","1","0.45","0.24","0.94","0.69","1.63","13","0.1125","0.026666667","0.053076923","6.5","4.333333333","2","1.333333333","0.345","0.23","0.47","0.313333333","30.76923077","42.33128834","66.66666667","5","7.5","7.666666667","11.5","10.44444444","15.66666667","18.11111111","27.16666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00166","","","","3","4","3","2","3","2","","","7","1","1","0.21","0.12","1.18","0.33","1.51","7","0.07","0.03","0.047142857","3.5","2.333333333","1.5","1","0.165","0.11","0.59","0.393333333","42.85714286","21.85430464","66.66666667","2.333333333","3.5","3.666666667","5.5","13.11111111","19.66666667","16.77777778","25.16666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00167","","","","0","6","2","2","3","2","1","7","7","1","1","0","0.28","1.16","0.28","1.44","6","","0.046666667","0.046666667","3","2","0","0","0.14","0.093333333","0.58","0.386666667","0","19.44444444","66.66666667","0","0","3.111111111","4.666666667","12.88888889","19.33333333","16","24"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00168","","","","3","4","3","2","3","2","1","7","7","1","1","0.34","0.32","1.34","0.66","2","7","0.113333333","0.08","0.094285714","3.5","2.333333333","1.5","1","0.33","0.22","0.67","0.446666667","42.85714286","33","66.66666667","3.777777778","5.666666667","7.333333333","11","14.88888889","22.33333333","22.22222222","33.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00169","","","","4","2","3","2","3","2","1","5","7","1","1","0.12","0.12","0.98","0.24","1.22","6","0.03","0.06","0.04","3","2","2","1.333333333","0.12","0.08","0.49","0.326666667","66.66666667","19.67213115","66.66666667","1.333333333","2","2.666666667","4","10.88888889","16.33333333","13.55555556","20.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00017","","","","5","7","3","3","3","3","3","3","7","1","1","0.71","0.37","1.21","1.08","2.29","12","0.142","0.052857143","0.09","4","4","1.666666667","1.666666667","0.36","0.36","0.403333333","0.403333333","41.66666667","47.16157205","100","7.888888889","7.888888889","12","12","13.44444444","13.44444444","25.44444444","25.44444444"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00170","","","","7","3","3","3","3","3","1","5","7","1","1","0.73","0.13","1.17","0.86","2.03","10","0.104285714","0.043333333","0.086","3.333333333","3.333333333","2.333333333","2.333333333","0.286666667","0.286666667","0.39","0.39","70","42.36453202","100","8.111111111","8.111111111","9.555555556","9.555555556","13","13","22.55555556","22.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00171","","","","5","1","3","3","3","3","1","3","7","1","1","1.39","0.05","0.87","1.44","2.31","6","0.278","0.05","0.24","2","2","1.666666667","1.666666667","0.48","0.48","0.29","0.29","83.33333333","62.33766234","100","15.44444444","15.44444444","16","16","9.666666667","9.666666667","25.66666667","25.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00172","","","","1","1","3","1","3","1","1","3","7","1","1","0.22","0.02","0.65","0.24","0.89","2","0.22","0.02","0.12","2","0.666666667","1","0.333333333","0.24","0.08","0.65","0.216666667","50","26.96629213","33.33333333","2.444444444","7.333333333","2.666666667","8","7.222222222","21.66666667","9.888888889","29.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00173","","","","0","1","2","1","3","1","1","1","7","1","1","0","0.02","0.01","0.02","0.03","1","","0.02","0.02","1","0.333333333","0","0","0.02","0.006666667","0.01","0.003333333","0","66.66666667","33.33333333","0","0","0.222222222","0.666666667","0.111111111","0.333333333","0.333333333","1"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00174","","","","2","2","2","1","3","1","1","7","7","1","1","0.46","0.12","1.48","0.58","2.06","4","0.23","0.06","0.145","4","1.333333333","2","0.666666667","0.58","0.193333333","1.48","0.493333333","50","28.15533981","33.33333333","5.111111111","15.33333333","6.444444444","19.33333333","16.44444444","49.33333333","22.88888889","68.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00175","","","","4","3","3","2","3","2","1","7","7","1","1","1.39","0.07","1.4","1.46","2.86","7","0.3475","0.023333333","0.208571429","3.5","2.333333333","2","1.333333333","0.73","0.486666667","0.7","0.466666667","57.14285714","51.04895105","66.66666667","15.44444444","23.16666667","16.22222222","24.33333333","15.55555556","23.33333333","31.77777778","47.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00176","","","","3","2","3","2","3","2","1","3","7","1","1","0.36","0.06","0.57","0.42","0.99","5","0.12","0.03","0.084","2.5","1.666666667","1.5","1","0.21","0.14","0.285","0.19","60","42.42424242","66.66666667","4","6","4.666666667","7","6.333333333","9.5","11","16.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00177","","","","2","0","2","1","3","1","1","5","7","1","1","0.15","0","0.92","0.15","1.07","2","0.075","","0.075","2","0.666666667","2","0.666666667","0.15","0.05","0.92","0.306666667","100","14.01869159","33.33333333","1.666666667","5","1.666666667","5","10.22222222","30.66666667","11.88888889","35.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00178","","","","0","3","3","2","3","2","1","7","8","1","1","0","0.15","3.26","0.15","3.41","3","","0.05","0.05","1.5","1","0","0","0.075","0.05","1.63","1.086666667","0","4.398826979","66.66666667","0","0","1.666666667","2.5","36.22222222","54.33333333","37.88888889","56.83333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00179","","","","1","3","3","2","3","2","1","3","7","1","1","0.38","0.1","1.2","0.48","1.68","4","0.38","0.033333333","0.12","2","1.333333333","0.5","0.333333333","0.24","0.16","0.6","0.4","25","28.57142857","66.66666667","4.222222222","6.333333333","5.333333333","8","13.33333333","20","18.66666667","28"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00018","","","","2","6","3","3","3","3","1","7","7","2","2","0.49","0.46","0.69","0.95","1.64","8","0.245","0.076666667","0.11875","2.666666667","2.666666667","0.666666667","0.666666667","0.316666667","0.316666667","0.23","0.23","25","57.92682927","100","5.444444444","5.444444444","10.55555556","10.55555556","7.666666667","7.666666667","18.22222222","18.22222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00180","","","","1","0","2","1","3","1","1","5","7","1","1","0.78","0","1.17","0.78","1.95","1","0.78","","0.78","1","0.333333333","1","0.333333333","0.78","0.26","1.17","0.39","100","40","33.33333333","8.666666667","26","8.666666667","26","13","39","21.66666667","65"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00181","","","","1","1","2","1","3","1","1","3","8","1","1","0.32","0.06","3.83","0.38","4.21","2","0.32","0.06","0.19","2","0.666666667","1","0.333333333","0.38","0.126666667","3.83","1.276666667","50","9.026128266","33.33333333","3.555555556","10.66666667","4.222222222","12.66666667","42.55555556","127.6666667","46.77777778","140.3333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00182","","","","5","1","3","2","3","2","1","5","7","1","1","0.01","0.09","0.56","0.1","0.66","6","0.002","0.09","0.016666667","3","2","2.5","1.666666667","0.05","0.033333333","0.28","0.186666667","83.33333333","15.15151515","66.66666667","0.111111111","0.166666667","1.111111111","1.666666667","6.222222222","9.333333333","7.333333333","11"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00183","","","","0","0","2","1","3","0","","","7","1","1","0","0","1.01","0","1.01","0","","","","0","0","0","0","0","0","1.01","0.336666667","","0","33.33333333","0","0","0","0","11.22222222","33.66666667","11.22222222","33.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00184","","","","0","0","2","1","3","0","","","7","1","1","0","0","0.26","0","0.26","0","","","","0","0","0","0","0","0","0.26","0.086666667","","0","33.33333333","0","0","0","0","2.888888889","8.666666667","2.888888889","8.666666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00185","","","","7","4","3","3","3","3","1","3","8","1","1","0.74","0.13","3.44","0.87","4.31","11","0.105714286","0.0325","0.079090909","3.666666667","3.666666667","2.333333333","2.333333333","0.29","0.29","1.146666667","1.146666667","63.63636364","20.18561485","100","8.222222222","8.222222222","9.666666667","9.666666667","38.22222222","38.22222222","47.88888889","47.88888889"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00186","","","","4","4","3","2","3","2","1","5","7","1","1","0.38","0.15","0.76","0.53","1.29","8","0.095","0.0375","0.06625","4","2.666666667","2","1.333333333","0.265","0.176666667","0.38","0.253333333","50","41.08527132","66.66666667","4.222222222","6.333333333","5.888888889","8.833333333","8.444444444","12.66666667","14.33333333","21.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00187","","","","11","5","3","3","3","3","1","3","7","1","1","2.05","0.19","2.28","2.24","4.52","16","0.186363636","0.038","0.14","5.333333333","5.333333333","3.666666667","3.666666667","0.746666667","0.746666667","0.76","0.76","68.75","49.55752212","100","22.77777778","22.77777778","24.88888889","24.88888889","25.33333333","25.33333333","50.22222222","50.22222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00188","","","","1","0","2","1","3","1","1","3","7","1","1","0.84","0","0.86","0.84","1.7","1","0.84","","0.84","1","0.333333333","1","0.333333333","0.84","0.28","0.86","0.286666667","100","49.41176471","33.33333333","9.333333333","28","9.333333333","28","9.555555556","28.66666667","18.88888889","56.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00189","","","","7","3","3","3","3","3","1","5","7","1","1","1.11","0.07","1.55","1.18","2.73","10","0.158571429","0.023333333","0.118","3.333333333","3.333333333","2.333333333","2.333333333","0.393333333","0.393333333","0.516666667","0.516666667","70","43.22344322","100","12.33333333","12.33333333","13.11111111","13.11111111","17.22222222","17.22222222","30.33333333","30.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00019","","","","1","0","3","2","3","1","1","5","7","1","1","0.3","0","0.38","0.3","0.68","1","0.3","","0.3","0.5","0.333333333","0.5","0.333333333","0.15","0.1","0.19","0.126666667","100","44.11764706","66.66666667","3.333333333","5","3.333333333","5","4.222222222","6.333333333","7.555555556","11.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00190","","","","4","2","3","2","3","1","1","5","7","1","1","1.26","0.11","3.14","1.37","4.51","6","0.315","0.055","0.228333333","3","2","2","1.333333333","0.685","0.456666667","1.57","1.046666667","66.66666667","30.37694013","66.66666667","14","21","15.22222222","22.83333333","34.88888889","52.33333333","50.11111111","75.16666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00191","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00192","","","","0","0","1","1","3","0","","","6","1","1","0","0","0.46","0","0.46","0","","","","0","0","0","0","0","0","0.46","0.153333333","","0","33.33333333","0","0","0","0","5.111111111","15.33333333","5.111111111","15.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00193","","","","2","0","2","1","3","1","1","3","7","1","1","0.4","0","1.01","0.4","1.41","2","0.2","","0.2","2","0.666666667","2","0.666666667","0.4","0.133333333","1.01","0.336666667","100","28.36879433","33.33333333","4.444444444","13.33333333","4.444444444","13.33333333","11.22222222","33.66666667","15.66666667","47"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00194","","","","8","0","3","3","3","2","1","3","8","1","1","1.92","0","3.01","1.92","4.93","8","0.24","","0.24","2.666666667","2.666666667","2.666666667","2.666666667","0.64","0.64","1.003333333","1.003333333","100","38.94523327","100","21.33333333","21.33333333","21.33333333","21.33333333","33.44444444","33.44444444","54.77777778","54.77777778"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00195","","","","3","4","3","2","3","2","1","7","7","1","1","0.38","0.12","0.8","0.5","1.3","7","0.126666667","0.03","0.071428571","3.5","2.333333333","1.5","1","0.25","0.166666667","0.4","0.266666667","42.85714286","38.46153846","66.66666667","4.222222222","6.333333333","5.555555556","8.333333333","8.888888889","13.33333333","14.44444444","21.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00196","","","","4","2","3","2","3","1","1","5","7","1","1","0.91","0.17","1.78","1.08","2.86","6","0.2275","0.085","0.18","3","2","2","1.333333333","0.54","0.36","0.89","0.593333333","66.66666667","37.76223776","66.66666667","10.11111111","15.16666667","12","18","19.77777778","29.66666667","31.77777778","47.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00197","","","","0","3","3","1","3","1","1","7","6","1","1","0","0.16","0.36","0.16","0.52","3","","0.053333333","0.053333333","3","1","0","0","0.16","0.053333333","0.36","0.12","0","30.76923077","33.33333333","0","0","1.777777778","5.333333333","4","12","5.777777778","17.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00198","","","","1","2","3","1","3","2","1","5","7","1","1","0.24","0.1","0.41","0.34","0.75","3","0.24","0.05","0.113333333","3","1","1","0.333333333","0.34","0.113333333","0.41","0.136666667","33.33333333","45.33333333","33.33333333","2.666666667","8","3.777777778","11.33333333","4.555555556","13.66666667","8.333333333","25"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00199","","","","3","0","2","2","3","1","1","9","7","1","1","0.43","0","1.46","0.43","1.89","3","0.143333333","","0.143333333","1.5","1","1.5","1","0.215","0.143333333","0.73","0.486666667","100","22.75132275","66.66666667","4.777777778","7.166666667","4.777777778","7.166666667","16.22222222","24.33333333","21","31.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00002","","","","0","4","2","1","3","1","1","7","7","1","1","0","0.26","0.6","0.26","0.86","4","","0.065","0.065","4","1.333333333","0","0","0.26","0.086666667","0.6","0.2","0","30.23255814","33.33333333","0","0","2.888888889","8.666666667","6.666666667","20","9.555555556","28.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00020","","","","3","5","3","3","3","3","1","3","7","1","1","0.4","0.2","0.22","0.6","0.82","8","0.133333333","0.04","0.075","2.666666667","2.666666667","1","1","0.2","0.2","0.073333333","0.073333333","37.5","73.17073171","100","4.444444444","4.444444444","6.666666667","6.666666667","2.444444444","2.444444444","9.111111111","9.111111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00200","","","","2","0","3","1","3","1","1","7","6","1","1","0.32","0","0.28","0.32","0.6","2","0.16","","0.16","2","0.666666667","2","0.666666667","0.32","0.106666667","0.28","0.093333333","100","53.33333333","33.33333333","3.555555556","10.66666667","3.555555556","10.66666667","3.111111111","9.333333333","6.666666667","20"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00201","","","","2","0","3","1","3","1","1","5","7","1","1","0.28","0","1.2","0.28","1.48","2","0.14","","0.14","2","0.666666667","2","0.666666667","0.28","0.093333333","1.2","0.4","100","18.91891892","33.33333333","3.111111111","9.333333333","3.111111111","9.333333333","13.33333333","40","16.44444444","49.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00202","","","","9","0","3","3","3","2","1","7","7","1","1","1.4","0","1.4","1.4","2.8","9","0.155555556","","0.155555556","3","3","3","3","0.466666667","0.466666667","0.466666667","0.466666667","100","50","100","15.55555556","15.55555556","15.55555556","15.55555556","15.55555556","15.55555556","31.11111111","31.11111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00203","","","","4","3","3","2","3","2","1","3","7","1","1","1.64","0.32","1.42","1.96","3.38","7","0.41","0.106666667","0.28","3.5","2.333333333","2","1.333333333","0.98","0.653333333","0.71","0.473333333","57.14285714","57.98816568","66.66666667","18.22222222","27.33333333","21.77777778","32.66666667","15.77777778","23.66666667","37.55555556","56.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00204","","","","0","0","3","3","3","0","","","9","1","1","0","0","8.76","0","8.76","0","","","","0","0","0","0","0","0","2.92","2.92","","0","100","0","0","0","0","97.33333333","97.33333333","97.33333333","97.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00205","","","","1","1","1","1","3","1","1","3","7","1","1","0.4","0.25","0.75","0.65","1.4","2","0.4","0.25","0.325","2","0.666666667","1","0.333333333","0.65","0.216666667","0.75","0.25","50","46.42857143","33.33333333","4.444444444","13.33333333","7.222222222","21.66666667","8.333333333","25","15.55555556","46.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00206","","","","9","1","3","3","3","3","1","5","7","1","1","4.05","0.05","4.2","4.1","8.3","10","0.45","0.05","0.41","3.333333333","3.333333333","3","3","1.366666667","1.366666667","1.4","1.4","90","49.39759036","100","45","45","45.55555556","45.55555556","46.66666667","46.66666667","92.22222222","92.22222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00207","","","","4","12","3","3","3","2","1","7","7","1","1","0.5","0.38","1.38","0.88","2.26","16","0.125","0.031666667","0.055","5.333333333","5.333333333","1.333333333","1.333333333","0.293333333","0.293333333","0.46","0.46","25","38.9380531","100","5.555555556","5.555555556","9.777777778","9.777777778","15.33333333","15.33333333","25.11111111","25.11111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00208","","","","3","0","2","2","3","2","1","5","7","1","1","0.64","0","0.66","0.64","1.3","3","0.213333333","","0.213333333","1.5","1","1.5","1","0.32","0.213333333","0.33","0.22","100","49.23076923","66.66666667","7.111111111","10.66666667","7.111111111","10.66666667","7.333333333","11","14.44444444","21.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00209","","","","0","4","1","1","3","1","1","7","7","1","1","0","0.2","1.86","0.2","2.06","4","","0.05","0.05","4","1.333333333","0","0","0.2","0.066666667","1.86","0.62","0","9.708737864","33.33333333","0","0","2.222222222","6.666666667","20.66666667","62","22.88888889","68.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00021","","","","9","4","3","3","3","3","1","5","7","1","1","1.79","0.13","1.21","1.92","3.13","13","0.198888889","0.0325","0.147692308","4.333333333","4.333333333","3","3","0.64","0.64","0.403333333","0.403333333","69.23076923","61.34185304","100","19.88888889","19.88888889","21.33333333","21.33333333","13.44444444","13.44444444","34.77777778","34.77777778"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00210","","","","0","3","1","1","3","1","3","7","7","1","1","0","0.12","1.76","0.12","1.88","3","","0.04","0.04","3","1","0","0","0.12","0.04","1.76","0.586666667","0","6.382978723","33.33333333","0","0","1.333333333","4","19.55555556","58.66666667","20.88888889","62.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00211","","","","0","0","1","1","3","0","","","7","1","1","0","0","1.62","0","1.62","0","","","","0","0","0","0","0","0","1.62","0.54","","0","33.33333333","0","0","0","0","18","54","18","54"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00212","","","","5","5","3","3","3","3","1","5","7","1","1","1.96","0.28","1.18","2.24","3.42","10","0.392","0.056","0.224","3.333333333","3.333333333","1.666666667","1.666666667","0.746666667","0.746666667","0.393333333","0.393333333","50","65.49707602","100","21.77777778","21.77777778","24.88888889","24.88888889","13.11111111","13.11111111","38","38"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00213","","","","1","0","1","1","3","1","1","5","7","1","1","0.28","0","0.56","0.28","0.84","1","0.28","","0.28","1","0.333333333","1","0.333333333","0.28","0.093333333","0.56","0.186666667","100","33.33333333","33.33333333","3.111111111","9.333333333","3.111111111","9.333333333","6.222222222","18.66666667","9.333333333","28"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00214","","","","1","2","1","1","3","1","1","3","7","1","1","0.3","0.1","0.88","0.4","1.28","3","0.3","0.05","0.133333333","3","1","1","0.333333333","0.4","0.133333333","0.88","0.293333333","33.33333333","31.25","33.33333333","3.333333333","10","4.444444444","13.33333333","9.777777778","29.33333333","14.22222222","42.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00215","","","","6","3","3","3","3","3","1","5","7","1","1","1.26","0.16","2.18","1.42","3.6","9","0.21","0.053333333","0.157777778","3","3","2","2","0.473333333","0.473333333","0.726666667","0.726666667","66.66666667","39.44444444","100","14","14","15.77777778","15.77777778","24.22222222","24.22222222","40","40"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00216","","","","2","0","1","1","3","1","1","7","7","1","1","0.34","0","1.98","0.34","2.32","2","0.17","","0.17","2","0.666666667","2","0.666666667","0.34","0.113333333","1.98","0.66","100","14.65517241","33.33333333","3.777777778","11.33333333","3.777777778","11.33333333","22","66","25.77777778","77.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00217","","","","3","0","2","2","3","2","1","1","7","1","1","0.98","0","2.94","0.98","3.92","3","0.326666667","","0.326666667","1.5","1","1.5","1","0.49","0.326666667","1.47","0.98","100","25","66.66666667","10.88888889","16.33333333","10.88888889","16.33333333","32.66666667","49","43.55555556","65.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00218","","","","3","4","3","3","3","3","1","5","7","1","1","0.38","0.24","0.76","0.62","1.38","7","0.126666667","0.06","0.088571429","2.333333333","2.333333333","1","1","0.206666667","0.206666667","0.253333333","0.253333333","42.85714286","44.92753623","100","4.222222222","4.222222222","6.888888889","6.888888889","8.444444444","8.444444444","15.33333333","15.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00219","","","","3","9","3","3","3","3","1","7","8","1","1","0.46","0.24","2.3","0.7","3","12","0.153333333","0.026666667","0.058333333","4","4","1","1","0.233333333","0.233333333","0.766666667","0.766666667","25","23.33333333","100","5.111111111","5.111111111","7.777777778","7.777777778","25.55555556","25.55555556","33.33333333","33.33333333"
