"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00032","","","","30","3","1.43","6","2.76","0.08","154.63","28.35","6","2.84","4.27","0.46","2","0.2","0.946666667","0.094666667","0.476666667","0.047666667","66.51053864","10","18.33408782","0.520688094","4.088888889","40.88888889","4.207407407","42.07407407","2.118518519","21.18518519","0.771389769","7.713897691","6.325925926","63.25925926","1.04"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00033","","","","30","18","3.33","34","7.47","1.51","181.24","43.3","5","8.98","12.31","0.219705882","1.888888889","1.133333333","0.498888889","0.299333333","0.185","0.111","72.9488221","60","23.8909733","2.145409402","11.06666667","18.44444444","13.3037037","22.17283951","4.933333333","8.222222222","3.178384299","5.297307165","18.23703704","30.39506173","6.12"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00034","","","","30","21","4.59","46","7.98","3.375","181.02","37.79","4","11.355","15.945","0.173478261","2.19047619","1.533333333","0.540714286","0.3785","0.218571429","0.153","71.21354657","70","20.87614628","2.37048641","11.82222222","16.88888889","16.82222222","24.03174603","6.8","9.714285714","3.511831719","5.016902456","23.62222222","33.74603175","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00035","","","","30","14","3.93","13","2.77","1.275","168.98","46.86","6","4.045","7.975","0.213076923","0.928571429","0.433333333","0.288928571","0.134833333","0.280714286","0.131","50.72100313","46.66666667","27.73109244","1.121722689","4.103703704","8.793650794","5.992592593","12.84126984","5.822222222","12.47619048","1.661811391","3.56102441","11.81481481","25.31746032","4.41"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00036","","","","30","24","2.23","36","9.57","2.23","182.65","37.78","5","11.8","14.03","0.265833333","1.5","1.2","0.491666667","0.393333333","0.092916667","0.074333333","84.10548824","80","20.68436901","2.440755543","14.17777778","17.72222222","17.48148148","21.85185185","3.303703704","4.12962963","3.615934138","4.519917673","20.78518519","25.98148148","6.12"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00037","","","","30","23","1.24","38","8.92","4.82","","","5","13.74","14.98","0.234736842","1.652173913","1.266666667","0.597391304","0.458","0.053913043","0.041333333","91.7222964","76.66666667","","","13.21481481","17.23671498","20.35555556","26.55072464","1.837037037","2.396135266","","","22.19259259","28.9468599","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00038","","","","30","30","2.59","45","10.36","8.51","167","33.07","5","18.87","21.46","0.230222222","1.5","1.5","0.629","0.629","0.086333333","0.086333333","87.93103448","100","19.80239521","3.736711976","15.34814815","15.34814815","27.95555556","27.95555556","3.837037037","3.837037037","5.535869594","5.535869594","31.79259259","31.79259259","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00039","","","","30","17","2.73","26","5.87","2.27","185.03","58.84","5","8.14","10.87","0.225769231","1.529411765","0.866666667","0.478823529","0.271333333","0.160588235","0.091","74.8850046","56.66666667","31.80024861","2.588540237","8.696296296","15.34640523","12.05925926","21.28104575","4.044444444","7.137254902","3.834874425","6.767425455","16.1037037","28.41830065","10.5"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00040","","","","30","24","6.44","24","4.53","2.07","185.84","57.02","5","6.6","13.04","0.18875","1","0.8","0.275","0.22","0.268333333","0.214666667","50.61349693","80","30.68230736","2.025032286","6.711111111","8.388888889","9.777777778","12.22222222","9.540740741","11.92592593","3.000047831","3.750059789","19.31851852","24.14814815","4.92"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00041","","","","30","4","0.96","4","0.81","0.16","177.64","31.56","6","0.97","1.93","0.2025","1","0.133333333","0.2425","0.032333333","0.24","0.032","50.25906736","13.33333333","17.76626886","0.172332808","1.2","9","1.437037037","10.77777778","1.422222222","10.66666667","0.255307864","1.914808977","2.859259259","21.44444444","4.92"
