"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation_plus_fertilizer","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00031","","","","84","64","1","9","46","38","66","57","20.2","5","78.2","1","5","25.2","103.4","0.306060606","1.434782609","0.785714286","0.547826087","0.3","1.7","0.930952381","24.37137331","54.76190476","8.906525573","16.26409018","11.11111111","20.28985507","34.47971781","62.96296296","45.59082892","83.25281804","1","123","0.087719298","0.204878049","2.673913043","1.464285714","53.65853659"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00032","","","","84","69","1","9","45","40","117","319","16","11.6","98.6","1","3","27.6","126.2","0.136752137","2.6","1.392857143","0.613333333","0.328571429","2.191111111","1.173809524","21.87004754","53.57142857","7.054673721","13.16872428","12.16931217","22.71604938","43.47442681","81.15226337","55.64373898","103.8683128","1","436","0.036363636","0.063302752","9.688888889","5.19047619","26.83486239"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00033","","","","84","59","1","9","42","26","86","166","17.2","8.8","98.2","1","3","26","124.2","0.2","2.047619048","1.023809524","0.619047619","0.30952381","2.338095238","1.169047619","20.93397746","50","7.58377425","15.1675485","11.4638448","22.92768959","43.29805996","86.59611993","54.76190476","109.5238095","1","252","0.053012048","0.103174603","6","3","34.12698413"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00034","","","","84","48","1","7","43","35","100","92","31.4","5.8","72.4","1","3","37.2","109.6","0.314","2.325581395","1.19047619","0.865116279","0.442857143","1.68372093","0.861904762","33.94160584","51.19047619","13.84479718","27.0456503","16.4021164","32.04134367","31.92239859","62.36003445","48.32451499","94.40137812","1","192","0.063043478","0.19375","4.465116279","2.285714286","52.08333333"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00035","","","","84","54","1","5","28","16","14","45","2","1.8","51.6","1","7","3.8","55.4","0.142857143","0.5","0.166666667","0.135714286","0.045238095","1.842857143","0.614285714","6.859205776","33.33333333","0.881834215","2.645502646","1.675485009","5.026455026","22.75132275","68.25396825","24.42680776","73.28042328","1","59","0.04","0.06440678","2.107142857","0.702380952","23.72881356"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00036","","","","84","59","1","9","37","32","60","90","6","4.8","43.2","1","7","10.8","54","0.1","1.621621622","0.714285714","0.291891892","0.128571429","1.167567568","0.514285714","20","44.04761905","2.645502646","6.006006006","4.761904762","10.81081081","19.04761905","43.24324324","23.80952381","54.05405405","1","150","0.053333333","0.072","4.054054054","1.785714286","40"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00037","","","","84","62","1","7","49","48","100","180","17.2","6","45.4","1","3","23.2","68.6","0.172","2.040816327","1.19047619","0.473469388","0.276190476","0.926530612","0.54047619","33.81924198","58.33333333","7.58377425","13.00075586","10.2292769","17.53590325","20.01763668","34.3159486","30.24691358","51.85185185","1","280","0.033333333","0.082857143","5.714285714","3.333333333","35.71428571"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00038","","","","84","46","1","5","31","8","9","13","1.6","0.4","29.4","1","7","2","31.4","0.177777778","0.290322581","0.107142857","0.064516129","0.023809524","0.948387097","0.35","6.369426752","36.9047619","0.705467372","1.911589008","0.881834215","2.38948626","12.96296296","35.12544803","13.84479718","37.51493429","1","22","0.030769231","0.090909091","0.709677419","0.261904762","40.90909091"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00039","","","","84","50","1","7","39","39","50","70","8.4","2.2","46.6","1","5","10.6","57.2","0.168","1.282051282","0.595238095","0.271794872","0.126190476","1.194871795","0.554761905","18.53146853","46.42857143","3.703703704","7.977207977","4.67372134","10.06647673","20.54673721","44.25451092","25.22045855","54.32098765","1","120","0.031428571","0.088333333","3.076923077","1.428571429","41.66666667"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00040","","","","84","66","1","9","55","23","92","130","17.8","6.2","65.8","1","5","24","89.8","0.193478261","1.672727273","1.095238095","0.436363636","0.285714286","1.196363636","0.783333333","26.72605791","65.47619048","7.848324515","11.98653199","10.58201058","16.16161616","29.01234568","44.30976431","39.59435626","60.47138047","1","222","0.047692308","0.108108108","4.036363636","2.642857143","41.44144144"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00041","","","","84","58","1","9","42","31","140","130","14.6","4","71.6","1","5","18.6","90.2","0.104285714","3.333333333","1.666666667","0.442857143","0.221428571","1.704761905","0.852380952","20.62084257","50","6.437389771","12.87477954","8.201058201","16.4021164","31.5696649","63.13932981","39.7707231","79.54144621","1","270","0.030769231","0.068888889","6.428571429","3.214285714","51.85185185"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00042","","","","84","69","1","9","46","32","29","90","5.2","3.2","42.6","1","5","8.4","51","0.179310345","0.630434783","0.345238095","0.182608696","0.1","0.926086957","0.507142857","16.47058824","54.76190476","2.292768959","4.186795491","3.703703704","6.763285024","18.78306878","34.29951691","22.48677249","41.06280193","1","119","0.035555556","0.070588235","2.586956522","1.416666667","24.3697479"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00043","","","","84","67","1","9","46","26","76","80","9.4","2.2","68.8","1","5","11.6","80.4","0.123684211","1.652173913","0.904761905","0.252173913","0.138095238","1.495652174","0.819047619","14.4278607","54.76190476","4.144620811","7.568438003","5.114638448","9.339774557","30.335097","55.39452496","35.44973545","64.73429952","1","156","0.0275","0.074358974","3.391304348","1.857142857","48.71794872"
"","","MZP2019UMB-ST05","","","","","","","","","MZP2019UMB-ST05-00044","","","","84","75","5","5","21","4","5","5","0.8","0.2","102.6","1","9","1","103.6","0.16","0.238095238","0.05952381","0.047619048","0.011904762","4.885714286","1.221428571","0.965250965","25","0.352733686","1.410934744","0.440917108","1.76366843","45.23809524","180.952381","45.67901235","182.7160494","1","10","0.04","0.1","0.476190476","0.119047619","50"
