"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227"," Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184"," Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Dry weight of storage root samples measuring g|CO_331:0000247","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00031","","","","14","8","4","4","3","8","3","17","0.4","1.5","1","5","2","2","4","25.7","5","3","3","3","1.9","2.9","20","0.133333333","0.088235294","0.095","2.5","1.428571429","0.375","0.214285714","0.2375","0.135714286","0.125","0.071428571","15","65.51724138","57.14285714","1.058201058","1.851851852","5.026455026","8.796296296","2.645502646","4.62962963","7.671957672","13.42592593"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00032","","","","14","14","3","3","4","14","11","33","1.7","1.2","3","2","3","3","4","17.9","5","2","3","3","2.9","5.9","44","0.154545455","0.036363636","0.065909091","3.142857143","3.142857143","0.785714286","0.785714286","0.207142857","0.207142857","0.214285714","0.214285714","25","49.15254237","100","4.497354497","4.497354497","7.671957672","7.671957672","7.936507937","7.936507937","15.60846561","15.60846561"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00033","","","","14","9","2","2","4","9","0","29","0","1.9","1.1","6","3","3","4","20.5","5","3","2","2","1.9","3","29","","0.065517241","0.065517241","3.222222222","2.071428571","0","0","0.211111111","0.135714286","0.122222222","0.078571429","0","63.33333333","64.28571429","0","0","5.026455026","7.818930041","2.91005291","4.526748971","7.936507937","12.34567901"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00034","","","","14","12","4","4","4","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.71428571","","","","","","","",""
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00035","","","","14","14","3","4","4","14","7","11","2","1.5","2.8","2","3","3","3","24.1","5","3","4","3","3.5","6.3","18","0.285714286","0.136363636","0.194444444","1.285714286","1.285714286","0.5","0.5","0.25","0.25","0.2","0.2","38.88888889","55.55555556","100","5.291005291","5.291005291","9.259259259","9.259259259","7.407407407","7.407407407","16.66666667","16.66666667"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00036","","","","14","14","2","3","4","14","9","30","1.5","1.2","1","6","3","3","4","21.2","5","3","3","3","2.7","3.7","39","0.166666667","0.04","0.069230769","2.785714286","2.785714286","0.642857143","0.642857143","0.192857143","0.192857143","0.071428571","0.071428571","23.07692308","72.97297297","100","3.968253968","3.968253968","7.142857143","7.142857143","2.645502646","2.645502646","9.788359788","9.788359788"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00037","","","","14","14","2","3","4","14","15","20","5.5","2.2","2.7","5","4","4","4","30.4","5","3","5","4","7.7","10.4","35","0.366666667","0.11","0.22","2.5","2.5","1.071428571","1.071428571","0.55","0.55","0.192857143","0.192857143","42.85714286","74.03846154","100","14.55026455","14.55026455","20.37037037","20.37037037","7.142857143","7.142857143","27.51322751","27.51322751"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00038","","","","14","13","2","2","3","13","11","25","1.9","0.9","2.5","4","2","2","4","21.6","5","3","3","3","2.8","5.3","36","0.172727273","0.036","0.077777778","2.769230769","2.571428571","0.846153846","0.785714286","0.215384615","0.2","0.192307692","0.178571429","30.55555556","52.83018868","92.85714286","5.026455026","5.413105413","7.407407407","7.977207977","6.613756614","7.122507123","14.02116402","15.0997151"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00039","","","","14","10","2","3","4","10","6","5","0.9","0.5","1.2","6","2","3","4","25.1","5","4","3","3","1.4","2.6","11","0.15","0.1","0.127272727","1.1","0.785714286","0.6","0.428571429","0.14","0.1","0.12","0.085714286","54.54545455","53.84615385","71.42857143","2.380952381","3.333333333","3.703703704","5.185185185","3.174603175","4.444444444","6.878306878","9.62962963"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00040","","","","14","14","3","3","4","14","11","50","3.5","5","3.4","4","4","4","4","17.8","5","3","3","3","8.5","11.9","61","0.318181818","0.1","0.139344262","4.357142857","4.357142857","0.785714286","0.785714286","0.607142857","0.607142857","0.242857143","0.242857143","18.03278689","71.42857143","100","9.259259259","9.259259259","22.48677249","22.48677249","8.994708995","8.994708995","31.48148148","31.48148148"
