"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00042","","","","26","19","1","3","5","1","1","10","8","14","7","4","0.2","2","1","1","1","50.3","11.8","1","6","8","1","2.6","1.52","0.91","43.38","71.01","18.14","12.39","57.53","5.57","7.36","10.09","0.43","4.2","6.2","21","0.285714286","0.028571429","0.2","2.1","0.807692308","1.4","0.538461538","0.42","0.161538462","0.2","0.076923077","66.66666667","67.74193548","38.46153846","23.45924453","0.98528827","5.698005698","14.81481481","5.982905983","15.55555556","2.849002849","7.407407407","1.403544545","3.649215816","8.831908832","22.96296296"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00043","","","","26","17","2","4","4","1","1","7","4","6","5","2","0.2","5","1","1","2","50.4","13.3","1","7","9","3","3.67","1.6","0.9","65.74","81.14","22.68","7.76","57.38","7.38","10.18","3.87","0.41","2.2","7.2","11","0.333333333","0.04","0.2","1.571428571","0.423076923","0.857142857","0.230769231","0.314285714","0.084615385","0.714285714","0.192307692","54.54545455","30.55555556","26.92307692","26.38888889","0.580555556","2.849002849","10.58201058","3.133903134","11.64021164","7.122507123","26.45502646","0.827002216","3.071722516","10.25641026","38.0952381"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00044","","","","26","12","3","4","5","1","1","5","4","5","6","1","0.1","4","6","5","1","50.2","11.9","1","7","8","1","4.5","2.14","1.45","171.33","131.95","48.87","12.39","49.24","3.32","5.2","20.33","0.91","1.1","5.1","11","0.2","0.016666667","0.1","2.2","0.423076923","1","0.192307692","0.22","0.042307692","0.8","0.153846154","45.45454545","21.56862745","19.23076923","23.70517928","0.260756972","1.424501425","7.407407407","1.566951567","8.148148148","5.698005698","29.62962963","0.371448678","1.931533127","7.264957265","37.77777778"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00045","","","","26","22","7","8","6","1","1","11","10","31","30","3","1.5","6","5","5","2","","","1","7","5","1","","","","","","","","","","","","","4.5","10.5","61","0.096774194","0.05","0.073770492","5.545454545","2.346153846","2.818181818","1.192307692","0.409090909","0.173076923","0.545454545","0.230769231","50.81967213","42.85714286","42.30769231","","","4.273504274","10.1010101","6.41025641","15.15151515","8.547008547","20.2020202","","","14.95726496","35.35353535"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00046","","","","26","7","1","1","5","1","1","3","3","7","6","1.8","0.2","4","1","3","2","51","13.4","2","7","5","1","3.4","1.6","0.91","57.22","78.37","19.98","10.5","59.04","6.83","9.25","3.27","0.39","2","6","13","0.257142857","0.033333333","0.153846154","4.333333333","0.5","2.333333333","0.269230769","0.666666667","0.076923077","1.333333333","0.153846154","53.84615385","33.33333333","11.53846154","26.2745098","0.525490196","2.564102564","22.22222222","2.849002849","24.69135802","5.698005698","49.38271605","0.748561533","6.487533285","8.547008547","74.07407407"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00047","","","","26","16","2","2","6","1","1","12","12","29","32","7","2","6","3","3","2","51","13","1","6","7","1","3.12","1.7","1.11","71.96","80.88","35.3","14.37","62.63","4.07","5.88","4.75","0.04","9","15","61","0.24137931","0.0625","0.147540984","5.083333333","2.346153846","2.416666667","1.115384615","0.75","0.346153846","0.5","0.230769231","47.54098361","60","46.15384615","25.49019608","2.294117647","9.971509972","21.60493827","12.82051282","27.77777778","8.547008547","18.51851852","3.267973856","7.080610022","21.36752137","46.2962963"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00048","","","","26","19","1","2","4","1","1","8","6","12","5","3.6","0.1","5","3","3","2","48","11.7","1","5","5","4","3.1","1.56","0.97","166.6","98.41","25.92","14.37","57.96","8.62","11.83","3.2","0.11","3.7","8.7","17","0.3","0.02","0.217647059","2.125","0.653846154","1.5","0.461538462","0.4625","0.142307692","0.625","0.192307692","70.58823529","42.52873563","30.76923077","24.375","0.901875","5.128205128","16.66666667","5.270655271","17.12962963","7.122507123","23.14814815","1.284722222","4.175347222","12.39316239","40.27777778"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00049","","","","26","22","1","2","7","1","1","15","11","16","14","2.5","0.4","16","6","3","1","50.1","11","1","6","8","3","2.98","1.73","0.89","111.97","80.22","42.09","4.92","49.68","12.58","16.99","2","0.89","2.9","18.9","30","0.15625","0.028571429","0.096666667","2","1.153846154","1.066666667","0.615384615","0.193333333","0.111538462","1.066666667","0.615384615","53.33333333","15.34391534","57.69230769","21.95608782","0.636726547","3.561253561","6.172839506","4.131054131","7.160493827","22.79202279","39.50617284","0.907017873","1.572164313","26.92307692","46.66666667"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00050","","","","26","9","6","7","4","1","1","4","3","6","6","2.6","0.2","4.5","3","4","2","","","1","6","7","1","","","","","","","","","","","","","2.8","7.3","12","0.433333333","0.033333333","0.233333333","3","0.461538462","1.5","0.230769231","0.7","0.107692308","1.125","0.173076923","50","38.35616438","15.38461538","","","3.703703704","24.07407407","3.988603989","25.92592593","6.41025641","41.66666667","","","10.3988604","67.59259259"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00051","","","","26","6","2","3","3","1","1","2","2","0","4","0","0.1","4","6","3","1","50.8","11.1","1","3","3","5","4.55","1.76","1.24","235.59","104.53","28.14","14.37","56.14","6.21","8.35","10.02","0.82","0.1","4.1","4","","0.025","0.025","2","0.153846154","0","0","0.05","0.003846154","2","0.153846154","0","2.43902439","7.692307692","21.8503937","0.021850394","0","0","0.142450142","1.851851852","5.698005698","74.07407407","0.031125917","0.40463692","5.84045584","75.92592593"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00052","","","","26","9","3","6","4","1","1","3","3","7","0","1","0","7","5","4","1","50.6","12.8","3","5","7","4","2.85","1.5","0.84","28.11","60.04","27.4","6.12","57.83","7.59","10.06","5.31","0.5","1","8","7","0.142857143","","0.142857143","2.333333333","0.269230769","2.333333333","0.269230769","0.333333333","0.038461538","2.333333333","0.269230769","100","12.5","11.53846154","25.29644269","0.252964427","1.424501425","12.34567901","1.424501425","12.34567901","9.971509972","86.41975309","0.360348186","3.123017616","11.3960114","98.7654321"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00053","","","","26","3","1","5","4","1","1","1","1","0","3","0","0.1","1.6","9","7","1","","","1","3","5","5","","","","","","","","","","","","","0.1","1.7","3","","0.033333333","0.033333333","3","0.115384615","0","0","0.1","0.003846154","1.6","0.061538462","0","5.882352941","3.846153846","","","0","0","0.142450142","3.703703704","2.279202279","59.25925926","","","2.421652422","62.96296296"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00054","","","","26","17","3","4","4","1","1","9","5","5","5","1","0.1","7","4","1","1","50.4","13.7","1","5","3","3","2.8","1.51","0.98","106.89","90","15.75","7.23","60.64","7.27","10.39","2.39","0.27","1.1","8.1","10","0.2","0.02","0.11","1.111111111","0.384615385","0.555555556","0.192307692","0.122222222","0.042307692","0.777777778","0.269230769","50","13.58024691","34.61538462","27.18253968","0.299007937","1.424501425","4.115226337","1.566951567","4.526748971","9.971509972","28.80658436","0.425937231","1.230485335","11.53846154","33.33333333"
