"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00057","","","","39","30","5","5","8","13","10","12","11","3","1","29.8","5","5","5","4","4","3","4","5","5.49","23","0.25","0.090909091","0.173913043","1.769230769","0.58974359","0.923076923","0.307692308","0.307692308","0.102564103","2.292307692","0.764102564","52.17391304","11.83431953","33.33333333","2.849002849","8.547008547","3.798670465","11.3960114","28.30009497","84.9002849","32.09876543","96.2962963","4","33.8"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00058","","","","39","20","9","9","4","5","0","0","0","0","0","2","","","","","","","","","","0","","","","0","0","0","0","0","0","0.4","0.051282051","","0","12.82051282","0","0","0","0","1.899335233","14.81481481","1.899335233","14.81481481","0","2"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00059","","","","39","18","3","3","5","8","6","6","5","3","0.8","12.5","6","4","4","5","2","3","5","5","4.92","11","0.5","0.16","0.345454545","1.375","0.282051282","0.75","0.153846154","0.475","0.097435897","1.5625","0.320512821","54.54545455","23.31288344","20.51282051","2.849002849","13.88888889","3.608736942","17.59259259","11.8708452","57.87037037","15.47958215","75.46296296","3.8","16.3"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00060","","","","39","37","9","9","4","22","0","0","0","0","0","3.5","","","","","","","","","","0","","","","0","0","0","0","0","0","0.159090909","0.08974359","","0","56.41025641","0","0","0","0","3.323836657","5.892255892","3.323836657","5.892255892","0","3.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00061","","","","39","36","9","9","4","9","0","0","0","0","0","1.5","","","","","","","","","","0","","","","0","0","0","0","0","0","0.166666667","0.038461538","","0","23.07692308","0","0","0","0","1.424501425","6.172839506","1.424501425","6.172839506","0","1.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00062","","","","39","23","5","5","5","16","9","4","10","1","1.1","8","5","3","3","2","4","3","4","5","11.03","14","0.25","0.11","0.15","0.875","0.358974359","0.25","0.102564103","0.13125","0.053846154","0.5","0.205128205","28.57142857","20.79207921","41.02564103","0.949667616","2.314814815","1.994301994","4.861111111","7.597340931","18.51851852","9.591642925","23.37962963","2.1","10.1"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00063","","","","39","34","9","9","4","20","0","0","0","0","0","4.5","","","","","","","","","","0","","","","0","0","0","0","0","0","0.225","0.115384615","","0","51.28205128","0","0","0","0","4.273504274","8.333333333","4.273504274","8.333333333","0","4.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00064","","","","39","21","7","8","4","15","3","0","3","0","0.8","2","6","3","2","4","5","3","4","5","7.23","3","","0.266666667","0.266666667","0.2","0.076923077","0","0","0.053333333","0.020512821","0.133333333","0.051282051","0","28.57142857","38.46153846","0","0","0.759734093","1.975308642","1.899335233","4.938271605","2.659069326","6.913580247","0.8","2.8"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00065","","","","39","17","8","9","4","17","0","0","0","0","0","4.5","","","","","","","","","","0","","","","0","0","0","0","0","0","0.264705882","0.115384615","","0","43.58974359","0","0","0","0","4.273504274","9.803921569","4.273504274","9.803921569","0","4.5"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00066","","","","39","30","9","9","3","23","0","0","0","0","0","1.2","","","","","","","","","","0","","","","0","0","0","0","0","0","0.052173913","0.030769231","","0","58.97435897","0","0","0","0","1.13960114","1.93236715","1.13960114","1.93236715","0","1.2"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00067","","","","39","27","7","9","4","15","4","0","5","0","0.4","10.3","5","1","2","1","5","3","5","5","11.03","5","","0.08","0.08","0.333333333","0.128205128","0","0","0.026666667","0.01025641","0.686666667","0.264102564","0","3.738317757","38.46153846","0","0","0.379867047","0.987654321","9.781576448","25.43209877","10.16144349","26.41975309","0.4","10.7"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00068","","","","39","26","4","8","4","18","4","0","4","0","0.2","10","1","1","1","1","2","4","4","5","0.03","4","","0.05","0.05","0.222222222","0.102564103","0","0","0.011111111","0.005128205","0.555555556","0.256410256","0","1.960784314","46.15384615","0","0","0.189933523","0.411522634","9.496676163","20.57613169","9.686609687","20.98765432","0.2","10.2"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00069","","","","39","24","7","9","5","24","13","3","12","1","1.1","8.9","5","3","3","3","2","3","3","5","11.03","15","0.333333333","0.091666667","0.14","0.625","0.384615385","0.125","0.076923077","0.0875","0.053846154","0.370833333","0.228205128","20","19.09090909","61.53846154","0.949667616","1.543209877","1.994301994","3.240740741","8.452041785","13.7345679","10.44634378","16.97530864","2.1","11"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00070","","","","39","15","8","9","5","15","8","3","6","0.6","0.4","7","6","2","2","4","5","3","3","5","1.38","9","0.2","0.066666667","0.111111111","0.6","0.230769231","0.2","0.076923077","0.066666667","0.025641026","0.466666667","0.179487179","33.33333333","12.5","38.46153846","0.56980057","1.481481481","0.949667616","2.469135802","6.647673314","17.28395062","7.597340931","19.75308642","1","8"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00071","","","","39","19","9","9","4","19","0","0","0","0","0","19","","","","","","","","","","0","","","","0","0","0","0","0","0","1","0.487179487","","0","48.71794872","0","0","0","0","18.04368471","37.03703704","18.04368471","37.03703704","0","19"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00072","","","","39","21","4","5","8","21","21","30","19","6.1","1.2","38","3","4","4","5","2","3","3","5","7.76","49","0.203333333","0.063157895","0.148979592","2.333333333","1.256410256","1.428571429","0.769230769","0.347619048","0.187179487","1.80952381","0.974358974","61.2244898","16.11479029","53.84615385","5.79297246","10.75837743","6.932573599","12.87477954","36.08736942","67.01940035","43.01994302","79.89417989","7.3","45.3"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00073","","","","39","23","8","9","6","23","20","10","12","3","1","12","1","4","4","5","2","4","5","5","0.12","22","0.3","0.083333333","0.181818182","0.956521739","0.564102564","0.434782609","0.256410256","0.173913043","0.102564103","0.52173913","0.307692308","45.45454545","25","58.97435897","2.849002849","4.830917874","3.798670465","6.441223833","11.3960114","19.3236715","15.19468186","25.76489533","4","16"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00074","","","","39","34","8","9","4","4","4","2","3","0.4","0.2","1","6","2","2","5","5","3","4","5","5.49","5","0.2","0.066666667","0.12","1.25","0.128205128","0.5","0.051282051","0.15","0.015384615","0.25","0.025641026","40","37.5","10.25641026","0.379867047","3.703703704","0.56980057","5.555555556","0.949667616","9.259259259","1.519468186","14.81481481","0.6","1.6"
"","","MZP2010GUR-AT04","","","","","","","","","MZP2010GUR-AT04-00075","","","","39","35","7","9","3","2","1","1","0","0.1","0","1","4","1","1","1","2","3","3","3","11.03","1","0.1","","0.1","0.5","0.025641026","0.5","0.025641026","0.05","0.002564103","0.5","0.025641026","100","9.090909091","5.128205128","0.094966762","1.851851852","0.094966762","1.851851852","0.949667616","18.51851852","1.044634378","20.37037037","0.1","1.1"
