"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00048","","","","39","37","2","2","6","24","21","24","37","6","3.1","12","6","6","1","50.5","12.8","52.79","1.13","10.5","6.89","10.34","9.1","21.1","61","0.25","0.083783784","0.149180328","2.541666667","1.564102564","1","0.615384615","0.379166667","0.233333333","0.5","0.307692308","39.3442623","43.12796209","61.53846154","25.34653465","2.306534653","5.698005698","9.259259259","8.641975309","14.04320988","11.3960114","18.51851852","2.190441266","3.559467058","20.0379867","32.5617284"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00049","","","","39","31","4","1","5","20","10","14","9","2","1.9","3","5","6","1","50.4","15.2","65.16","1.31","9.66","2.62","5.01","3.9","6.9","23","0.142857143","0.211111111","0.169565217","1.15","0.58974359","0.7","0.358974359","0.195","0.1","0.15","0.076923077","60.86956522","56.52173913","51.28205128","30.15873016","1.176190476","1.899335233","3.703703704","3.703703704","7.222222222","2.849002849","5.555555556","1.116990006","2.178130511","6.552706553","12.77777778"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00050","","","","39","33","6","1","5","16","14","13","30","3.1","3.5","7.5","5","6","4","50.3","12.7","58.54","1.44","13.49","2.6","4.79","6.6","14.1","43","0.238461538","0.116666667","0.153488372","2.6875","1.102564103","0.8125","0.333333333","0.4125","0.169230769","0.46875","0.192307692","30.23255814","46.80851064","41.02564103","25.24850895","1.66640159","2.943969611","7.175925926","6.267806268","15.27777778","7.122507123","17.36111111","1.582527626","3.857411089","13.39031339","32.63888889"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00051","","","","39","24","1","2","6","17","14","33","31","6","2","4","6","6","3","50.1","10.7","41.95","0.96","19.58","9.17","13.74","8","12","64","0.181818182","0.064516129","0.125","3.764705882","1.641025641","1.941176471","0.846153846","0.470588235","0.205128205","0.235294118","0.102564103","51.5625","66.66666667","43.58974359","21.35728543","1.708582834","5.698005698","13.07189542","7.597340931","17.4291939","3.798670465","8.71459695","1.622585788","3.722402689","11.3960114","26.14379085"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00052","","","","39","30","2","1","6","18","12","9","10","2.1","2.9","1","6","6","4","50.7","10.8","51.35","1.1","17.29","5.53","8.48","5","6","19","0.233333333","0.29","0.263157895","1.055555556","0.487179487","0.5","0.230769231","0.277777778","0.128205128","0.055555556","0.025641026","47.36842105","83.33333333","46.15384615","21.30177515","1.065088757","1.994301994","4.320987654","4.748338082","10.28806584","0.949667616","2.057613169","1.011480301","2.191540653","5.698005698","12.34567901"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00053","","","","39","29","1","2","7","19","14","12","17","4","1.5","19","7","6","3","50.5","13.3","53.87","1.24","15.13","4.13","6.39","5.5","24.5","29","0.333333333","0.088235294","0.189655172","1.526315789","0.743589744","0.631578947","0.307692308","0.289473684","0.141025641","1","0.487179487","41.37931034","22.44897959","48.71794872","26.33663366","1.448514851","3.798670465","7.797270955","5.22317189","10.72124756","18.04368471","37.03703704","1.375607646","2.823615695","23.2668566","47.7582846"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00054","","","","39","29","3","3","5","18","11","10","17","3.5","1.3","16","7","6","3","50.3","11.9","53.12","1.54","8.21","5.25","7.89","4.8","20.8","27","0.35","0.076470588","0.177777778","1.5","0.692307692","0.555555556","0.256410256","0.266666667","0.123076923","0.888888889","0.41025641","37.03703704","23.07692308","46.15384615","23.65805169","1.135586481","3.323836657","7.201646091","4.558404558","9.87654321","15.19468186","32.9218107","1.078429707","2.336597698","19.75308642","42.79835391"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00055","","","","39","24","5","5","5","7","","","","","","","","","","50.4","12.6","43.98","1.45","18.67","5.04","8.08","","","","","","","","","","","","","","","","","17.94871795","25","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00056","","","","39","31","1","3","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.02564103","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00057","","","","39","30","4","5","7","20","20","30","50","6.2","3","24","6","6","3","50","17","69.61","1.16","3.7","2.29","4.26","9.2","33.2","80","0.206666667","0.06","0.115","4","2.051282051","1.5","0.769230769","0.46","0.235897436","1.2","0.615384615","37.5","27.71084337","51.28205128","34","3.128","5.887939221","11.48148148","8.73694207","17.03703704","22.79202279","44.44444444","2.970560304","5.792592593","31.52896486","61.48148148"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00058","","","","39","26","1","4","4","12","6","0","10","0","0.3","16","3","7","1","","","","","","","","0.3","16.3","10","","0.03","0.03","0.833333333","0.256410256","0","0","0.025","0.007692308","1.333333333","0.41025641","0","1.840490798","30.76923077","","","0","0","0.284900285","0.925925926","15.19468186","49.38271605","","","15.47958215","50.30864198"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00059","","","","39","33","1","2","6","18","11","0","15","0","1.1","18","5","5","1","50.6","22","74.22","1.13","1.76","1.39","2.95","1.1","19.1","15","","0.073333333","0.073333333","0.833333333","0.384615385","0","0","0.061111111","0.028205128","1","0.461538462","0","5.759162304","46.15384615","43.47826087","0.47826087","0","0","1.044634378","2.263374486","17.09401709","37.03703704","0.45418886","0.984075863","18.13865147","39.30041152"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00060","","","","39","25","1","1","6","19","19","38","8","15","1","37","7","4","1","50.3","17.9","71.57","1.02","5.67","2.02","3.35","16","53","46","0.394736842","0.125","0.347826087","2.421052632","1.179487179","2","0.974358974","0.842105263","0.41025641","1.947368421","0.948717949","82.60869565","30.18867925","48.71794872","35.58648111","5.693836978","14.24501425","29.23976608","15.19468186","31.18908382","35.1377018","72.12475634","5.407252591","11.09909742","50.33238367","103.3138402"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00061","","","","39","28","1","2","7","27","27","47","18","23","3","46","8","5","1","50.3","17.4","68.3","1.17","6.95","2.08","3.74","26","72","65","0.489361702","0.166666667","0.4","2.407407407","1.666666667","1.740740741","1.205128205","0.962962963","0.666666667","1.703703704","1.179487179","72.30769231","36.11111111","69.23076923","34.59244533","8.994035785","21.84235518","31.55006859","24.69135802","35.66529492","43.68471035","63.10013717","8.541344525","12.33749765","68.37606838","98.7654321"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00062","","","","39","16","4","2","9","16","15","23","2","7.5","1","24","7","7","3","50.3","12.6","57.82","1.27","14.02","3.01","5.15","8.5","32.5","25","0.326086957","0.5","0.34","1.5625","0.641025641","1.4375","0.58974359","0.53125","0.217948718","1.5","0.615384615","92","26.15384615","41.02564103","25.04970179","2.129224652","7.122507123","17.36111111","8.072174739","19.67592593","22.79202279","55.55555556","2.0220557","4.928760769","30.86419753","75.23148148"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00063","","","","39","27","3","2","7","20","20","51","18","20.5","1","20","8","6","2","50.2","15.4","68.53","1.14","4.94","2.02","3.4","21.5","41.5","69","0.401960784","0.055555556","0.311594203","3.45","1.769230769","2.55","1.307692308","1.075","0.551282051","1","0.512820513","73.91304348","51.80722892","51.28205128","30.67729084","6.59561753","19.46818613","37.96296296","20.41785375","39.81481481","18.99335233","37.03703704","6.263644378","12.21410654","39.41120608","76.85185185"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00064","","","","39","31","6","4","8","23","21","30","60","8","5","23","7","6","2","50.4","10.5","46.94","1.33","17.83","5.4","7.83","13","36","90","0.266666667","0.083333333","0.144444444","3.913043478","2.307692308","1.304347826","0.769230769","0.565217391","0.333333333","1","0.58974359","33.33333333","36.11111111","58.97435897","20.83333333","2.708333333","7.597340931","12.88244767","12.34567901","20.93397746","21.84235518","37.03703704","2.572016461","4.361245303","34.18803419","57.97101449"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00065","","","","39","30","4","2","6","13","13","11","10","5","2","7","7","6","4","50.3","13.3","56.09","1.19","12","4.6","7.15","7","14","21","0.454545455","0.2","0.333333333","1.615384615","0.538461538","0.846153846","0.282051282","0.538461538","0.179487179","0.538461538","0.179487179","52.38095238","50","33.33333333","26.44135189","1.850894632","4.748338082","14.24501425","6.647673314","19.94301994","6.647673314","19.94301994","1.757734693","5.27320408","13.29534663","39.88603989"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00066","","","","39","26","3","3","6","20","20","45","65","16","6","15","7","7","3","50.6","12.4","50.95","1.55","17.08","3.12","5.15","22","37","110","0.355555556","0.092307692","0.2","5.5","2.820512821","2.25","1.153846154","1.1","0.564102564","0.75","0.384615385","40.90909091","59.45945946","51.28205128","24.50592885","5.391304348","15.19468186","29.62962963","20.89268756","40.74074074","14.24501425","27.77777778","5.119947149","9.98389694","35.1377018","68.51851852"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00067","","","","39","20","1","2","4","15","10","7","10","2","1","9.9","6","6","1","50.3","15.2","59.95","1.54","10.42","2.36","4.48","3","12.9","17","0.285714286","0.1","0.176470588","1.133333333","0.435897436","0.466666667","0.179487179","0.2","0.076923077","0.66","0.253846154","41.17647059","23.25581395","38.46153846","30.21868787","0.906560636","1.899335233","4.938271605","2.849002849","7.407407407","9.401709402","24.44444444","0.860931278","2.238421324","12.25071225","31.85185185"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00068","","","","39","30","6","4","6","20","16","18","16","3.2","1","37","6","6","3","50.6","11.2","39.42","1.69","23.4","4.46","7.01","4.2","41.2","34","0.177777778","0.0625","0.123529412","1.7","0.871794872","0.9","0.461538462","0.21","0.107692308","1.85","0.948717949","52.94117647","10.19417476","51.28205128","22.13438735","0.929644269","3.038936372","5.925925926","3.988603989","7.777777778","35.1377018","68.51851852","0.882853057","1.721563461","39.12630579","76.2962963"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00069","","","","39","25","1","2","6","25","24","18","78","3.5","3.8","14","5","6","1","50.4","14.5","60.06","1.28","12.72","2.73","4.79","7.3","21.3","96","0.194444444","0.048717949","0.076041667","3.84","2.461538462","0.72","0.461538462","0.292","0.187179487","0.56","0.358974359","18.75","34.27230047","64.1025641","28.76984127","2.100198413","3.323836657","5.185185185","6.932573599","10.81481481","13.29534663","20.74074074","1.99449042","3.111405056","20.22792023","31.55555556"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00070","","","","39","27","1","2","7","17","9","7","10","1.2","0.5","20","6","5","1","50.4","20.6","71.91","1.19","6.51","0.91","2.31","1.7","21.7","17","0.171428571","0.05","0.1","1","0.435897436","0.411764706","0.179487179","0.1","0.043589744","1.176470588","0.512820513","41.17647059","7.834101382","43.58974359","40.87301587","0.69484127","1.13960114","2.614379085","1.614434948","3.703703704","18.99335233","43.57298475","0.659868252","1.513815403","20.60778727","47.27668845"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00071","","","","39","31","2","1","9","21","21","30","38","7","3","53","7","7","1","50.5","18","64.79","1.31","7.59","1.77","3.34","10","63","68","0.233333333","0.078947368","0.147058824","3.238095238","1.743589744","1.428571429","0.769230769","0.476190476","0.256410256","2.523809524","1.358974359","44.11764706","15.87301587","53.84615385","35.64356436","3.564356436","6.647673314","12.34567901","9.496676163","17.6366843","50.33238367","93.47442681","3.38495388","6.28634292","59.82905983","111.1111111"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00072","","","","39","27","1","3","9","22","22","50","16","15.5","2","25","8","6","3","","","","","","","","17.5","42.5","66","0.31","0.125","0.265151515","3","1.692307692","2.272727273","1.282051282","0.795454545","0.448717949","1.136363636","0.641025641","75.75757576","41.17647059","56.41025641","","","14.71984805","26.09427609","16.61918329","29.46127946","23.74169041","42.08754209","","","40.36087369","71.54882155"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00073","","","","39","29","1","1","7","14","6","3","4","0.4","0.4","33","5","6","1","50.3","20.8","71.86","1.12","4.52","1.32","2.93","0.8","33.8","7","0.133333333","0.1","0.114285714","0.5","0.179487179","0.214285714","0.076923077","0.057142857","0.020512821","2.357142857","0.846153846","42.85714286","2.366863905","35.8974359","41.35188867","0.330815109","0.379867047","1.058201058","0.759734093","2.116402116","31.33903134","87.3015873","0.314164396","0.875172247","32.09876543","89.41798942"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00074","","","","39","28","1","2","7","23","20","30","10","4","0.3","20","5","5","1","50.2","18.3","70.77","1.05","5.64","1.86","3.32","4.3","24.3","40","0.133333333","0.03","0.1075","1.739130435","1.025641026","1.304347826","0.769230769","0.186956522","0.11025641","0.869565217","0.512820513","75","17.69547325","58.97435897","36.45418327","1.56752988","3.798670465","6.441223833","4.08357075","6.92431562","18.99335233","32.20611916","1.488632365","2.524202706","23.07692308","39.13043478"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00075","","","","39","26","1","2","7","20","13","16","13","4","0.5","36","6","6","1","50.5","17.7","66.34","1.27","8.85","1.9","3.67","4.5","40.5","29","0.25","0.038461538","0.155172414","1.45","0.743589744","0.8","0.41025641","0.225","0.115384615","1.8","0.923076923","55.17241379","11.11111111","51.28205128","35.04950495","1.577227723","3.798670465","7.407407407","4.273504274","8.333333333","34.18803419","66.66666667","1.497842092","2.920792079","38.46153846","75"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00076","","","","39","11","4","3","4","11","11","44","23","7.8","1","14","6","6","2","50.1","13.6","54.69","1.18","15.1","4.43","6.62","8.8","22.8","67","0.177272727","0.043478261","0.131343284","6.090909091","1.717948718","4","1.128205128","0.8","0.225641026","1.272727273","0.358974359","65.67164179","38.59649123","28.20512821","27.14570858","2.388822355","7.407407407","26.26262626","8.357075024","29.62962963","13.29534663","47.13804714","2.268587232","8.043172913","21.65242165","76.76767677"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00077","","","","39","33","6","3","8","15","14","26","23","7.8","6","25","7","7","2","50.6","15.8","64.18","1.08","7.07","2.93","4.91","13.8","38.8","49","0.3","0.260869565","0.281632653","3.266666667","1.256410256","1.733333333","0.666666667","0.92","0.353846154","1.666666667","0.641025641","53.06122449","35.56701031","38.46153846","31.22529644","4.309090909","7.407407407","19.25925926","13.10541311","34.07407407","23.74169041","61.72839506","4.092204092","10.63973064","36.84710351","95.80246914"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00078","","","","39","9","1","1","4","9","5","7","1","1.8","0.1","14.6","7","6","3","50.4","12.6","57.3","1.38","13.63","3.58","5.99","1.9","16.5","8","0.257142857","0.1","0.2375","0.888888889","0.205128205","0.777777778","0.179487179","0.211111111","0.048717949","1.622222222","0.374358974","87.5","11.51515152","23.07692308","25","0.475","1.709401709","7.407407407","1.804368471","7.818930041","13.8651472","60.08230453","0.451092118","1.95473251","15.66951567","67.90123457"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00079","","","","39","30","4","3","6","17","15","13","42","3","2.5","5","6","6","3","50.1","11.4","46.25","1.34","18.55","6.09","9.71","5.5","10.5","55","0.230769231","0.05952381","0.1","3.235294118","1.41025641","0.764705882","0.333333333","0.323529412","0.141025641","0.294117647","0.128205128","23.63636364","52.38095238","43.58974359","22.75449102","1.251497006","2.849002849","6.535947712","5.22317189","11.98257081","4.748338082","10.89324619","1.188506179","2.726572998","9.971509972","22.87581699"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00080","","","","39","28","2","3","6","24","24","55","71","5.8","4","5.2","5","6","1","50.1","10","43.76","1.32","22.36","6.45","10.39","9.8","15","126","0.105454545","0.056338028","0.077777778","5.25","3.230769231","2.291666667","1.41025641","0.408333333","0.251282051","0.216666667","0.133333333","43.65079365","65.33333333","61.53846154","19.96007984","1.956087824","5.508072175","8.950617284","9.30674264","15.12345679","4.938271605","8.024691358","1.857633261","3.01865405","14.24501425","23.14814815"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00081","","","","39","26","1","2","6","16","12","4","32","0.5","1","15","4","6","2","50.3","16.9","61.85","1.07","11.89","3.19","5.4","1.5","16.5","36","0.125","0.03125","0.041666667","2.25","0.923076923","0.25","0.102564103","0.09375","0.038461538","0.9375","0.384615385","11.11111111","9.090909091","41.02564103","33.59840954","0.503976143","0.474833808","1.157407407","1.424501425","3.472222222","14.24501425","34.72222222","0.478609823","1.166611442","15.66951567","38.19444444"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00082","","","","39","30","1","3","7","23","10","0","14","0","1","15","5","6","1","26.9","4.8","29.96","1.1","30.22","8.94","13.79","1","16","14","","0.071428571","0.071428571","0.608695652","0.358974359","0","0","0.043478261","0.025641026","0.652173913","0.384615385","0","6.25","58.97435897","17.84386617","0.178438662","0","0","0.949667616","1.610305958","14.24501425","24.15458937","0.169457419","0.28734084","15.19468186","25.76489533"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00083","","","","39","21","3","2","7","8","2","0","2","0","0.1","9","3","6","1","","","","","","","","0.1","9.1","2","","0.05","0.05","0.25","0.051282051","0","0","0.0125","0.002564103","1.125","0.230769231","0","1.098901099","20.51282051","","","0","0","0.094966762","0.462962963","8.547008547","41.66666667","","","8.641975309","42.12962963"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00084","","","","39","13","4","2","5","8","8","8","7","3","1","5.5","8","6","1","50.3","14.7","67.25","1.15","8.16","2.29","4.48","4","9.5","15","0.375","0.142857143","0.266666667","1.875","0.384615385","1","0.205128205","0.5","0.102564103","0.6875","0.141025641","53.33333333","42.10526316","20.51282051","29.22465209","1.168986083","2.849002849","13.88888889","3.798670465","18.51851852","5.22317189","25.46296296","1.110148227","5.411972609","9.021842355","43.98148148"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00085","","","","39","28","3","2","6","17","17","27","25","7","2.5","18","7","6","2","","","","","","","","9.5","27.5","52","0.259259259","0.1","0.182692308","3.058823529","1.333333333","1.588235294","0.692307692","0.558823529","0.243589744","1.058823529","0.461538462","51.92307692","34.54545455","43.58974359","","","6.647673314","15.25054466","9.021842355","20.69716776","17.09401709","39.21568627","","","26.11585945","59.91285403"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00086","","","","39","28","1","1","7","17","15","23","10","9","1.5","17.2","7","5","2","","","","","","","","10.5","27.7","33","0.391304348","0.15","0.318181818","1.941176471","0.846153846","1.352941176","0.58974359","0.617647059","0.269230769","1.011764706","0.441025641","69.6969697","37.90613718","43.58974359","","","8.547008547","19.60784314","9.971509972","22.87581699","16.334283","37.47276688","","","26.30579297","60.34858388"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00087","","","","39","23","1","2","7","13","13","29","25","8","3","11","7","6","2","50.4","20.9","66.54","1.15","6.45","3.02","5.23","11","22","54","0.275862069","0.12","0.203703704","4.153846154","1.384615385","2.230769231","0.743589744","0.846153846","0.282051282","0.846153846","0.282051282","53.7037037","50","33.33333333","41.46825397","4.561507937","7.597340931","22.79202279","10.44634378","31.33903134","10.44634378","31.33903134","4.331916369","12.99574911","20.89268756","62.67806268"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00088","","","","39","30","1","3","7","22","21","42","60","7.5","5","21","6","6","1","50.5","19.1","62.33","1.21","8.68","3.71","6.49","12.5","33.5","102","0.178571429","0.083333333","0.12254902","4.636363636","2.615384615","1.909090909","1.076923077","0.568181818","0.320512821","0.954545455","0.538461538","41.17647059","37.31343284","56.41025641","37.82178218","4.727722772","7.122507123","12.62626263","11.8708452","21.04377104","19.94301994","35.35353535","4.489765216","7.959129246","31.81386515","56.3973064"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00089","","","","39","30","1","2","7","25","25","50","20","8","5","31","6","6","1","50.1","16.9","66.1","1.14","6.54","3.24","5.6","13","44","70","0.16","0.25","0.185714286","2.8","1.794871795","2","1.282051282","0.52","0.333333333","1.24","0.794871795","71.42857143","29.54545455","64.1025641","33.73253493","4.385229541","7.597340931","11.85185185","12.34567901","19.25925926","29.43969611","45.92592593","4.164510485","6.496636357","41.78537512","65.18518519"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00090","","","","39","35","1","1","8","25","25","45","32","11","2.5","18","7","6","1","50.4","15.9","66.67","1.05","6.35","2.99","5.02","13.5","31.5","77","0.244444444","0.078125","0.175324675","3.08","1.974358974","1.8","1.153846154","0.54","0.346153846","0.72","0.461538462","58.44155844","42.85714286","64.1025641","31.54761905","4.258928571","10.44634378","16.2962963","12.82051282","20","17.09401709","26.66666667","4.044566545","6.30952381","29.91452991","46.66666667"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00091","","","","39","24","2","2","6","20","15","11","18","6","3.5","25","8","6","2","","","","","","","","9.5","34.5","29","0.545454545","0.194444444","0.327586207","1.45","0.743589744","0.55","0.282051282","0.475","0.243589744","1.25","0.641025641","37.93103448","27.53623188","51.28205128","","","5.698005698","11.11111111","9.021842355","17.59259259","23.74169041","46.2962963","","","32.76353276","63.88888889"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00092","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00093","","","","39","19","3","3","5","14","11","11","17","4","1","5.9","7","6","2","50.1","12","49.56","1.41","15.16","6.19","9.39","5","10.9","28","0.363636364","0.058823529","0.178571429","2","0.717948718","0.785714286","0.282051282","0.357142857","0.128205128","0.421428571","0.151282051","39.28571429","45.87155963","35.8974359","23.95209581","1.19760479","3.798670465","10.58201058","4.748338082","13.22751323","5.603038936","15.60846561","1.137326487","3.168266641","10.35137702","28.83597884"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00094","","","","39","30","7","7","5","13","9","26","32","7.5","3","6","8","6","2","50.6","13.3","49.37","1.21","12.07","7","10.73","10.5","16.5","58","0.288461538","0.09375","0.181034483","4.461538462","1.487179487","2","0.666666667","0.807692308","0.269230769","0.461538462","0.153846154","44.82758621","63.63636364","33.33333333","26.28458498","2.759881423","7.122507123","21.36752137","9.971509972","29.91452991","5.698005698","17.09401709","2.620970012","7.862910037","15.66951567","47.00854701"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00095","","","","39","28","3","2","7","21","16","17","45","3","3","19","6","7","2","50.7","11.7","52.61","1.35","19.77","3.43","6.28","6","25","62","0.176470588","0.066666667","0.096774194","2.952380952","1.58974359","0.80952381","0.435897436","0.285714286","0.153846154","0.904761905","0.487179487","27.41935484","24","53.84615385","23.07692308","1.384615385","2.849002849","5.291005291","5.698005698","10.58201058","18.04368471","33.50970018","1.314924392","2.442002442","23.74169041","44.09171076"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00096","","","","39","24","4","3","7","11","8","5","10","1.4","1.1","14","6","6","2","50.2","18.9","67.9","1.11","5.56","3.92","6.05","2.5","16.5","15","0.28","0.11","0.166666667","1.363636364","0.384615385","0.454545455","0.128205128","0.227272727","0.064102564","1.272727273","0.358974359","33.33333333","15.15151515","28.20512821","37.64940239","0.94123506","1.329534663","4.713804714","2.374169041","8.417508418","13.29534663","47.13804714","0.893860456","3.169141615","15.66951567","55.55555556"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00097","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00098","","","","39","29","1","1","8","12","2","0","5","0","0.2","13","3","5","1","","","","","","","","0.2","13.2","5","","0.04","0.04","0.416666667","0.128205128","0","0","0.016666667","0.005128205","1.083333333","0.333333333","0","1.515151515","30.76923077","","","0","0","0.189933523","0.617283951","12.34567901","40.12345679","","","12.53561254","40.74074074"
