"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00046","","","","39","29","3","6","8","29.5","10","4","5","14","0.5","0.2","1","2","4","30.71","9.97","7.76","5","3","4","4","0.664767331","0.474833808","28.01519468","30.2","2.317880795","32.46499512","25.64102564","0.7","19","0.1","0.014285714","0.036842105","1.9","0.487179487","0.5","0.128205128","0.07","0.017948718","2.95","0.756410256","26.31578947","0.227254966","1.851851852","2.592592593","109.2592593","0.215816682","0.841685059","28.67996201","111.8518519"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00047","","","","39","31","3","5","8","45.5","17","12","7","13","1.4","0.3","2","2","4","30.86","10.73","7.76","5","2","4","4","1.614434948","1.329534663","43.20987654","47.2","3.601694915","34.76992871","43.58974359","1.7","20","0.2","0.023076923","0.085","1.176470588","0.512820513","0.411764706","0.179487179","0.1","0.043589744","2.676470588","1.166666667","35","0.591088788","3.050108932","3.703703704","99.12854031","0.56133788","1.287775137","44.82431149","102.832244"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00048","","","","39","35","2","4","9","11.5","13","11","22","18","4","1","3","3","3","30.73","7.58","1.5","3","4","2","2","4.748338082","3.798670465","10.92117759","16.5","30.3030303","24.66644972","33.33333333","5","40","0.181818182","0.055555556","0.125","3.076923077","1.025641026","1.692307692","0.564102564","0.384615385","0.128205128","0.884615385","0.294871795","55","1.233322486","11.3960114","14.24501425","32.76353276","1.171246426","3.513739277","15.66951567","47.00854701"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00049","","","","39","27","1","1","9","20","18","10","8","40","1","1","2","1","4","30.71","10.13","10.5","5","2","3","3","1.899335233","0.949667616","18.99335233","22","9.090909091","32.98599805","46.15384615","2","48","0.125","0.025","0.041666667","2.666666667","1.230769231","0.444444444","0.205128205","0.111111111","0.051282051","1.111111111","0.512820513","16.66666667","0.659719961","2.057613169","4.115226337","41.15226337","0.626514683","1.357448479","20.89268756","45.26748971"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00050","","","","39","30","1","1","9","19.5","21","15","26","42","4.5","2","3","3","5","30.16","11.12","0.15","5","3","4","3","6.172839506","4.273504274","18.51851852","26","25","36.87002653","53.84615385","6.5","68","0.173076923","0.047619048","0.095588235","3.238095238","1.743589744","1.238095238","0.666666667","0.30952381","0.166666667","0.928571429","0.5","38.23529412","2.396551724","7.936507937","11.4638448","34.39153439","2.275927563","4.226722618","24.69135802","45.85537919"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00051","","","","39","26","1","1","8","5","10","6","5","16","1","0.9","3","3","4","30.31","9.94","","","","","","1.804368471","0.949667616","4.748338082","6.9","27.53623188","32.79445727","25.64102564","1.9","21","0.2","0.05625","0.09047619","2.1","0.538461538","0.5","0.128205128","0.19","0.048717949","0.5","0.128205128","23.80952381","0.623094688","3.703703704","7.037037037","18.51851852","0.591732847","2.307758105","6.552706553","25.55555556"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00052","","","","39","38","1","1","7","11","10","8","22","15","2.7","0.9","3","3","5","30.29","10.56","7.76","5","4","3","2","3.418803419","2.564102564","10.44634378","14.6","24.65753425","34.86299109","25.64102564","3.6","37","0.122727273","0.06","0.097297297","3.7","0.948717949","2.2","0.564102564","0.36","0.092307692","1.1","0.282051282","59.45945946","1.255067679","10","13.33333333","40.74074074","1.191897131","4.648398811","13.8651472","54.07407407"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00053","","","","39","25","5","7","8","8","12","9","10","30","1.5","2.3","3","4","4","30.16","9.38","","","","","","3.608736942","1.424501425","7.597340931","11.8","32.20338983","31.10079576","30.76923077","3.8","40","0.15","0.076666667","0.095","3.333333333","1.025641026","0.833333333","0.256410256","0.316666667","0.097435897","0.666666667","0.205128205","25","1.181830239","4.62962963","11.72839506","24.69135802","1.122345906","3.647624194","11.20607787","36.41975309"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00054","","","","39","32","6","6","8","9.5","13","10","43","21","4","0.5","3","3","4","","","","","","","","4.273504274","3.798670465","9.021842355","14","32.14285714","","33.33333333","4.5","64","0.093023256","0.023809524","0.0703125","4.923076923","1.641025641","3.307692308","1.102564103","0.346153846","0.115384615","0.730769231","0.243589744","67.1875","","11.3960114","12.82051282","27.06552707","","","13.29534663","39.88603989"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00055","","","","39","22","2","6","8","7.5","13","8","18","15","2","0.9","3","3","4","30.45","8.71","10.5","5","4","3","2","2.754036087","1.899335233","7.122507123","10.4","27.88461538","28.60426929","33.33333333","2.9","33","0.111111111","0.06","0.087878788","2.538461538","0.846153846","1.384615385","0.461538462","0.223076923","0.074358974","0.576923077","0.192307692","54.54545455","0.82952381","5.698005698","8.262108262","21.36752137","0.787771899","2.363315697","9.87654321","29.62962963"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00056","","","","39","30","3","5","7","9","13","10","11","17","1.3","0.3","2","2","4","30.5","9.35","","5","2","3","3","1.519468186","1.234567901","8.547008547","10.6","15.09433962","30.6557377","33.33333333","1.6","28","0.118181818","0.017647059","0.057142857","2.153846154","0.717948718","0.846153846","0.282051282","0.123076923","0.041025641","0.692307692","0.230769231","39.28571429","0.490491803","3.703703704","4.558404558","25.64102564","0.465804182","1.397412545","10.06647673","30.1994302"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00057","","","","39","39","1","1","9","13","18","14","40","22","8","1.5","3","2","3","30.96","10.27","5.46","5","4","3","2","9.021842355","7.597340931","12.34567901","22.5","42.22222222","33.17183463","46.15384615","9.5","62","0.2","0.068181818","0.153225806","3.444444444","1.58974359","2.222222222","1.025641026","0.527777778","0.243589744","0.722222222","0.333333333","64.51612903","3.151324289","16.46090535","19.5473251","26.74897119","2.992710626","6.484206357","21.36752137","46.2962963"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00058","","","","39","30","3","6","9","12.5","11","8","25","37","2.5","1","3","3","4","30.59","7.91","0.02","5","2","3","3","3.323836657","2.374169041","11.8708452","16","21.875","25.85812357","28.20512821","3.5","62","0.1","0.027027027","0.056451613","5.636363636","1.58974359","2.272727273","0.641025641","0.318181818","0.08974359","1.136363636","0.320512821","40.32258065","0.905034325","8.417508418","11.78451178","42.08754209","0.85948179","3.047253619","15.19468186","53.87205387"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00059","","","","39","38","1","1","9","19","16","12","11","31","1.5","0.7","2","3","4","30.12","9.56","1.76","5","2","4","4","2.089268756","1.424501425","18.04368471","21.2","10.37735849","31.73970784","41.02564103","2.2","42","0.136363636","0.022580645","0.052380952","2.625","1.076923077","0.6875","0.282051282","0.1375","0.056410256","1.1875","0.487179487","26.19047619","0.698273572","3.472222222","5.092592593","43.98148148","0.663127799","1.61637401","20.13295347","49.07407407"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00060","","","","39","39","1","1","9","17.5","18","17","54","37","13","1.8","4","3","5","30.12","9.93","","5","4","3","3","14.05508072","12.34567901","16.61918329","32.3","45.82043344","32.96812749","46.15384615","14.8","91","0.240740741","0.048648649","0.162637363","5.055555556","2.333333333","3","1.384615385","0.822222222","0.379487179","0.972222222","0.448717949","59.34065934","4.879282869","26.74897119","30.4526749","36.00823045","4.633696931","10.03967668","30.67426401","66.46090535"
