"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00043","","","","26","24","4","5","7","15","12","62","37","17","2.5","9","3","3","1","","1","1","3","3","","","","","","","","","","","19.5","28.5","99","0.274193548","0.067567568","0.196969697","6.6","3.807692308","4.133333333","2.384615385","1.3","0.75","0.6","0.346153846","62.62626263","68.42105263","57.69230769","24.21652422","41.97530864","27.77777778","48.14814815","12.82051282","22.22222222","40.5982906","70.37037037"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00044","","","","26","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00045","","","","26","19","4","1","7","19","17","32","49","9","5","11","3","3","1","","1","1","5","3","","","","","","","","","","","14","25","81","0.28125","0.102040816","0.172839506","4.263157895","3.115384615","1.684210526","1.230769231","0.736842105","0.538461538","0.578947368","0.423076923","39.50617284","56","73.07692308","12.82051282","17.54385965","19.94301994","27.29044834","15.66951567","21.44249513","35.61253561","48.73294347"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00046","","","","26","23","1","1","7","14","13","96","46","17","4","18","3","5","1","17","1","1","3","3","2.81","1.88","0.96","33.35","11.03","63.66","3.5","5.15","12.45","0.03","21","39","142","0.177083333","0.086956522","0.147887324","10.14285714","5.461538462","6.857142857","3.692307692","1.5","0.807692308","1.285714286","0.692307692","67.6056338","53.84615385","53.84615385","24.21652422","44.97354497","29.91452991","55.55555556","25.64102564","47.61904762","55.55555556","103.1746032"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00047","","","","26","22","1","3","7","7","4","7","66","4","11","16.5","3","3","1","","1","1","5","3","","","","","","","","","","","15","31.5","73","0.571428571","0.166666667","0.205479452","10.42857143","2.807692308","1","0.269230769","2.142857143","0.576923077","2.357142857","0.634615385","9.589041096","47.61904762","26.92307692","5.698005698","21.16402116","21.36752137","79.36507937","23.5042735","87.3015873","44.87179487","166.6666667"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00048","","","","26","15","1","1","4","7","5","3","0","3","0","7","3","3","1","13.5","1","1","1","5","2.23","2.11","1.22","39.66","7.23","48.44","5.67","8.33","20.18","0.42","3","10","3","1","","1","0.428571429","0.115384615","0.428571429","0.115384615","0.428571429","0.115384615","1","0.269230769","100","30","26.92307692","4.273504274","15.87301587","4.273504274","15.87301587","9.971509972","37.03703704","14.24501425","52.91005291"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00049","","","","26","15","4","3","6","15","8","2","7","0.4","2.5","12","3","3","1","14.2","1","1","3","3","3.64","2.54","1.22","51.33","7.23","44.68","4.9","6.87","19.12","0.09","2.9","14.9","9","0.2","0.357142857","0.322222222","0.6","0.346153846","0.133333333","0.076923077","0.193333333","0.111538462","0.8","0.461538462","22.22222222","19.46308725","57.69230769","0.56980057","0.987654321","4.131054131","7.160493827","17.09401709","29.62962963","21.22507123","36.79012346"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00050","","","","26","20","3","1","5","20","18","0","15","0","2","0.5","3","3","1","13.2","1","1","1","1","2.9","2.11","1.13","40.44","11.03","57.31","3.32","4.91","16.62","","2","2.5","15","","0.133333333","0.133333333","0.75","0.576923077","0","0","0.1","0.076923077","0.025","0.019230769","0","80","76.92307692","0","0","2.849002849","3.703703704","0.712250712","0.925925926","3.561253561","4.62962963"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00051","","","","26","9","3","1","4","9","6","6","26","1.5","1.5","9","5","3","1","13.8","1","1","3","3","4.22","2.2","1.15","29.83","11.03","57.81","2.63","3.9","18.05","0.21","3","12","32","0.25","0.057692308","0.09375","3.555555556","1.230769231","0.666666667","0.230769231","0.333333333","0.115384615","1","0.346153846","18.75","25","34.61538462","2.136752137","6.172839506","4.273504274","12.34567901","12.82051282","37.03703704","17.09401709","49.38271605"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00052","","","","26","14","1","1","4","14","12","7","4","1","3","10","3","3","1","17.8","1","1","3","3","3.09","1.88","1.09","33.89","0.02","70.05","2.86","4.86","8.02","0.31","4","14","11","0.142857143","0.75","0.363636364","0.785714286","0.423076923","0.5","0.269230769","0.285714286","0.153846154","0.714285714","0.384615385","63.63636364","28.57142857","53.84615385","1.424501425","2.645502646","5.698005698","10.58201058","14.24501425","26.45502646","19.94301994","37.03703704"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00053","","","","26","19","4","3","7","16","13","27","39","4.5","6","28","3","3","1","14.9","1","1","3","3","2.65","1.52","0.62","24.03","12.39","63.69","7.09","9.56","3.64","0.58","10.5","38.5","66","0.166666667","0.153846154","0.159090909","4.125","2.538461538","1.6875","1.038461538","0.65625","0.403846154","1.75","1.076923077","40.90909091","27.27272727","61.53846154","6.41025641","10.41666667","14.95726496","24.30555556","39.88603989","64.81481481","54.84330484","89.12037037"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00054","","","","26","16","4","3","8","3","3","39","64","13","17","18","3","3","1","12.6","3","3","5","5","2.41","1.92","1.03","33.55","4.62","55.39","6.45","8.9","11.29","","30","48","103","0.333333333","0.265625","0.291262136","34.33333333","3.961538462","13","1.5","10","1.153846154","6","0.692307692","37.86407767","62.5","11.53846154","18.51851852","160.4938272","42.73504274","370.3703704","25.64102564","222.2222222","68.37606838","592.5925926"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00055","","","","26","15","2","1","4","15","14","0","5","0","1","8","3","3","1","12.8","1","1","3","3","4.1","2.47","1.41","29.5","7.79","52.79","4.01","6.72","19.62","0.52","1","9","5","","0.2","0.2","0.333333333","0.192307692","0","0","0.066666667","0.038461538","0.533333333","0.307692308","0","11.11111111","57.69230769","0","0","1.424501425","2.469135802","11.3960114","19.75308642","12.82051282","22.22222222"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00056","","","","26","24","4","5","7","14","14","27","24","12","2.5","15","3","3","1","17.8","1","1","3","1","3.57","1.97","0.88","33.45","1.5","68.57","2.64","3.63","9.09","0.44","14.5","29.5","51","0.444444444","0.104166667","0.284313725","3.642857143","1.961538462","1.928571429","1.038461538","1.035714286","0.557692308","1.071428571","0.576923077","52.94117647","49.15254237","53.84615385","17.09401709","31.74603175","20.65527066","38.35978836","21.36752137","39.68253968","42.02279202","78.04232804"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00057","","","","26","22","1","1","6","15","10","26","40","6","3","17","3","3","1","10.8","1","1","3","3","3.6","2.26","1.32","45.63","14.37","39.15","6.98","9.95","23.11","","9","26","66","0.230769231","0.075","0.136363636","4.4","2.538461538","1.733333333","1","0.6","0.346153846","1.133333333","0.653846154","39.39393939","34.61538462","57.69230769","8.547008547","14.81481481","12.82051282","22.22222222","24.21652422","41.97530864","37.03703704","64.19753086"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00058","","","","26","18","2","1","5","12","11","26","38","11","3","10","3","3","1","19.8","1","1","3","3","3.88","2.59","1.3","52.59","14.37","38.82","5.74","8.4","23.65","0.18","14","24","64","0.423076923","0.078947368","0.21875","5.333333333","2.461538462","2.166666667","1","1.166666667","0.538461538","0.833333333","0.384615385","40.625","58.33333333","46.15384615","15.66951567","33.95061728","19.94301994","43.20987654","14.24501425","30.86419753","34.18803419","74.07407407"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00059","","","","26","21","1","1","7","19","16","19","10","2","3","33","3","3","1","15.2","1","1","9","3","5.17","2.18","1.17","80","14.37","63.34","1.89","3.23","13.84","","5","38","29","0.105263158","0.3","0.172413793","1.526315789","1.115384615","1","0.730769231","0.263157895","0.192307692","1.736842105","1.269230769","65.51724138","13.15789474","73.07692308","2.849002849","3.898635478","7.122507123","9.746588694","47.00854701","64.32748538","54.13105413","74.07407407"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00060","","","","26","19","1","1","8","12","11","15","20","4","2","11","3","3","5","14.5","3","5","3","3","3.28","1.91","1.15","31.52","0.02","59.79","4.19","6.43","12.02","0.31","6","17","35","0.266666667","0.1","0.171428571","2.916666667","1.346153846","1.25","0.576923077","0.5","0.230769231","0.916666667","0.423076923","42.85714286","35.29411765","46.15384615","5.698005698","12.34567901","8.547008547","18.51851852","15.66951567","33.95061728","24.21652422","52.4691358"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00061","","","","26","24","4","1","8","13","12","26","72","6","3","8","3","5","1","15.1","5","7","5","3","3.4","1.96","1.01","25.16","3.03","60.53","2.73","3.59","14.52","0.39","9","17","98","0.230769231","0.041666667","0.091836735","7.538461538","3.769230769","2","1","0.692307692","0.346153846","0.615384615","0.307692308","26.53061224","52.94117647","50","8.547008547","17.09401709","12.82051282","25.64102564","11.3960114","22.79202279","24.21652422","48.43304843"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00062","","","","26","21","2","1","7","14","6","6","18","2","1.6","10","1","3","1","11.9","1","3","3","3","3.97","2.45","1.49","45.59","14.37","41.02","3.7","6.14","30.91","0.53","3.6","13.6","24","0.333333333","0.088888889","0.15","1.714285714","0.923076923","0.428571429","0.230769231","0.257142857","0.138461538","0.714285714","0.384615385","25","26.47058824","53.84615385","2.849002849","5.291005291","5.128205128","9.523809524","14.24501425","26.45502646","19.37321937","35.97883598"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00063","","","","26","21","4","1","7","15","9","5","33","2","3","2","3","3","5","11.7","3","3","3","3","5.15","2.07","1.15","35.4","14.37","54.76","5.62","7.79","14.48","0.64","5","7","38","0.4","0.090909091","0.131578947","2.533333333","1.461538462","0.333333333","0.192307692","0.333333333","0.192307692","0.133333333","0.076923077","13.15789474","71.42857143","57.69230769","2.849002849","4.938271605","7.122507123","12.34567901","2.849002849","4.938271605","9.971509972","17.28395062"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00064","","","","26","21","3","9","8","16","13","14","34","3","3.5","3","3","3","1","18.2","1","3","3","5","3.08","1.6","0.91","16.25","7.23","72.46","1.84","2.99","8.06","0","6.5","9.5","48","0.214285714","0.102941176","0.135416667","3","1.846153846","0.875","0.538461538","0.40625","0.25","0.1875","0.115384615","29.16666667","68.42105263","61.53846154","4.273504274","6.944444444","9.259259259","15.0462963","4.273504274","6.944444444","13.53276353","21.99074074"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00065","","","","26","19","1","1","8","18","15","27","87","7","9","6","1","3","1","","1","3","1","3","","","","","","","","","","","16","22","114","0.259259259","0.103448276","0.140350877","6.333333333","4.384615385","1.5","1.038461538","0.888888889","0.615384615","0.333333333","0.230769231","23.68421053","72.72727273","69.23076923","9.971509972","14.40329218","22.79202279","32.9218107","8.547008547","12.34567901","31.33903134","45.26748971"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00066","","","","26","24","1","1","9","13","12","12","28","3","9","8","3","3","1","14.4","3","3","5","3","3.78","2.02","1.11","30.15","7.76","57.94","3.98","5.89","13.04","0.52","12","20","40","0.25","0.321428571","0.3","3.076923077","1.538461538","0.923076923","0.461538462","0.923076923","0.461538462","0.615384615","0.307692308","30","60","50","4.273504274","8.547008547","17.09401709","34.18803419","11.3960114","22.79202279","28.49002849","56.98005698"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00067","","","","26","16","1","1","8","12","12","32","34","8","4","8","3","3","1","18.4","1","3","5","7","3.08","1.51","0.81","5.59","3.03","70.31","3.08","4.35","5.4","0.24","12","20","66","0.25","0.117647059","0.181818182","5.5","2.538461538","2.666666667","1.230769231","1","0.461538462","0.666666667","0.307692308","48.48484848","60","46.15384615","11.3960114","24.69135802","17.09401709","37.03703704","11.3960114","24.69135802","28.49002849","61.72839506"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00068","","","","26","16","1","1","7","15","11","42","69","11","3.2","7","3","3","1","15.5","1","3","3","3","4.17","2.04","1.04","37.52","12.39","58.4","2.72","3.91","14.25","0.48","14.2","21.2","111","0.261904762","0.046376812","0.127927928","7.4","4.269230769","2.8","1.615384615","0.946666667","0.546153846","0.466666667","0.269230769","37.83783784","66.98113208","57.69230769","15.66951567","27.16049383","20.22792023","35.0617284","9.971509972","17.28395062","30.1994302","52.34567901"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00069","","","","26","19","1","1","7","15","12","15","34","5","6","6","5","3","1","18.8","1","3","3","3","3.31","2.06","1.16","28.78","12.39","69.4","1.94","3.85","11.44","0.16","11","17","49","0.333333333","0.176470588","0.224489796","3.266666667","1.884615385","1","0.576923077","0.733333333","0.423076923","0.4","0.230769231","30.6122449","64.70588235","57.69230769","7.122507123","12.34567901","15.66951567","27.16049383","8.547008547","14.81481481","24.21652422","41.97530864"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00070","","","","26","22","1","1","5","2","2","16","36","3.2","1.5","14","3","3","1","18.5","1","1","1","3","2.92","1.54","0.82","11.14","","72.36","2.41","3.91","9.75","0.48","4.7","18.7","52","0.2","0.041666667","0.090384615","26","2","8","0.615384615","2.35","0.180769231","7","0.538461538","30.76923077","25.13368984","7.692307692","4.558404558","59.25925926","6.695156695","87.03703704","19.94301994","259.2592593","26.63817664","346.2962963"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00071","","","","26","15","1","1","9","1","0","0","0","0","0","0.5","","","","","","","","","","","","","","","","","","","0","0.5","0","","","","0","0","0","0","0","0","0.5","0.019230769","","0","3.846153846","0","0","0","0","0.712250712","18.51851852","0.712250712","18.51851852"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00072","","","","26","22","1","1","9","22","18","26","29","8","4","16","5","5","3","18.6","3","3","3","3","3.19","1.51","0.78","18.18","1.38","71.26","2.52","3.92","10.81","0.56","12","28","55","0.307692308","0.137931034","0.218181818","2.5","2.115384615","1.181818182","1","0.545454545","0.461538462","0.727272727","0.615384615","47.27272727","42.85714286","84.61538462","11.3960114","13.46801347","17.09401709","20.2020202","22.79202279","26.93602694","39.88603989","47.13804714"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00073","","","","26","15","7","1","7","6","4","0","12","0","1","1.5","7","5","1","17.3","1","3","3","3","3.15","1.74","1","36.6","6.12","67.85","2.3","3.86","12.75","0.42","1","2.5","12","","0.083333333","0.083333333","2","0.461538462","0","0","0.166666667","0.038461538","0.25","0.057692308","0","40","23.07692308","0","0","1.424501425","6.172839506","2.136752137","9.259259259","3.561253561","15.43209877"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00074","","","","26","25","1","9","8","7","4","47","76","12","7","11","3","3","1","18.9","1","5","3","3","4.29","2.31","1.36","28.77","7.23","65.26","1.35","3.55","17.95","0.17","19","30","123","0.255319149","0.092105263","0.154471545","17.57142857","4.730769231","6.714285714","1.807692308","2.714285714","0.730769231","1.571428571","0.423076923","38.21138211","63.33333333","26.92307692","17.09401709","63.49206349","27.06552707","100.5291005","15.66951567","58.2010582","42.73504274","158.7301587"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00075","","","","26","25","2","1","9","18","16","105","109","16","6","8","3","3","1","13.2","1","3","3","3","4.1","2.23","1.2","34.82","12.39","45.86","4.28","6.07","24.14","","22","30","214","0.152380952","0.055045872","0.102803738","11.88888889","8.230769231","5.833333333","4.038461538","1.222222222","0.846153846","0.444444444","0.307692308","49.06542056","73.33333333","69.23076923","22.79202279","32.9218107","31.33903134","45.26748971","11.3960114","16.46090535","42.73504274","61.72839506"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00076","","","","26","23","1","1","8","17","14","39","77","13","7","13","5","3","1","13.7","3","5","5","7","3.93","2.01","1.27","21.84","3.03","58.42","2.41","3.78","16.51","0.41","20","33","116","0.333333333","0.090909091","0.172413793","6.823529412","4.461538462","2.294117647","1.5","1.176470588","0.769230769","0.764705882","0.5","33.62068966","60.60606061","65.38461538","18.51851852","28.32244009","28.49002849","43.57298475","18.51851852","28.32244009","47.00854701","71.89542484"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00077","","","","26","12","1","1","3","12","12","24","62","7","6","3","3","5","1","20.7","","","","","3.74","1.42","0.96","7.95","","74.52","1.61","3.23","6.37","0.51","13","16","86","0.291666667","0.096774194","0.151162791","7.166666667","3.307692308","2","0.923076923","1.083333333","0.5","0.25","0.115384615","27.90697674","81.25","46.15384615","9.971509972","21.60493827","18.51851852","40.12345679","4.273504274","9.259259259","22.79202279","49.38271605"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00078","","","","26","22","3","1","9","19","16","3","5","1","0.5","2","3","3","1","15.4","1","3","3","3","3.32","1.9","1.01","25.27","14.37","61.06","2.91","4.09","12.21","0.05","1.5","3.5","8","0.333333333","0.1","0.1875","0.421052632","0.307692308","0.157894737","0.115384615","0.078947368","0.057692308","0.105263158","0.076923077","37.5","42.85714286","73.07692308","1.424501425","1.949317739","2.136752137","2.923976608","2.849002849","3.898635478","4.985754986","6.822612086"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00079","","","","26","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00080","","","","26","18","1","1","7","14","10","2","2","2.5","3.2","2.5","5","3","3","15.4","5","3","3","3","6.56","2.58","1.23","48.72","1.74","56.94","2.92","4.83","13.86","0.08","5.7","8.2","4","1.25","1.6","1.425","0.285714286","0.153846154","0.142857143","0.076923077","0.407142857","0.219230769","0.178571429","0.096153846","50","69.51219512","53.84615385","3.561253561","6.613756614","8.11965812","15.07936508","3.561253561","6.613756614","11.68091168","21.69312169"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00081","","","","26","19","1","1","8","14","13","10","11","6","1.4","18","3","3","1","","1","5","5","5","","","","","","","","","","","7.4","25.4","21","0.6","0.127272727","0.352380952","1.5","0.807692308","0.714285714","0.384615385","0.528571429","0.284615385","1.285714286","0.692307692","47.61904762","29.13385827","53.84615385","8.547008547","15.87301587","10.54131054","19.57671958","25.64102564","47.61904762","36.18233618","67.1957672"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00082","","","","26","21","1","1","8","10","8","39","46","8","1.8","13","3","3","1","","1","7","7","3","","","","","","","","","","","9.8","22.8","85","0.205128205","0.039130435","0.115294118","8.5","3.269230769","3.9","1.5","0.98","0.376923077","1.3","0.5","45.88235294","42.98245614","38.46153846","11.3960114","29.62962963","13.96011396","36.2962963","18.51851852","48.14814815","32.47863248","84.44444444"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00083","","","","26","18","1","1","8","18","16","20","16","8","2.5","9","3","3","1","17.1","1","1","5","3","3.5","2.18","1.11","45.91","3.03","62.61","2.87","3.95","12.08","","10.5","19.5","36","0.4","0.15625","0.291666667","2","1.384615385","1.111111111","0.769230769","0.583333333","0.403846154","0.5","0.346153846","55.55555556","53.84615385","69.23076923","11.3960114","16.46090535","14.95726496","21.60493827","12.82051282","18.51851852","27.77777778","40.12345679"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00084","","","","26","22","1","1","7","9","7","34","5","16","1","20","3","3","1","11.3","7","3","3","3","3.3","1.57","0.93","15.14","3.03","66.78","2.65","4.59","14.56","0.42","17","37","39","0.470588235","0.2","0.435897436","4.333333333","1.5","3.777777778","1.307692308","1.888888889","0.653846154","2.222222222","0.769230769","87.17948718","45.94594595","34.61538462","22.79202279","65.8436214","24.21652422","69.95884774","28.49002849","82.30452675","52.70655271","152.2633745"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00085","","","","26","19","1","1","8","14","13","13","13","4.5","1","6","9","3","1","10.6","3","3","3","5","3.76","2.08","1.2","40.89","14.37","46.54","5.28","7.51","22.78","0.28","5.5","11.5","26","0.346153846","0.076923077","0.211538462","1.857142857","1","0.928571429","0.5","0.392857143","0.211538462","0.428571429","0.230769231","50","47.82608696","53.84615385","6.41025641","11.9047619","7.834757835","14.55026455","8.547008547","15.87301587","16.38176638","30.42328042"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00086","","","","26","21","1","1","8","17","12","32","39","13","10","10","3","3","3","12.6","5","5","3","3","2.44","2.05","1.06","52.21","14.37","49.47","4.55","5.82","18.79","0.55","23","33","71","0.40625","0.256410256","0.323943662","4.176470588","2.730769231","1.882352941","1.230769231","1.352941176","0.884615385","0.588235294","0.384615385","45.07042254","69.6969697","65.38461538","18.51851852","28.32244009","32.76353276","50.10893246","14.24501425","21.78649237","47.00854701","71.89542484"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00087","","","","26","19","1","1","5","15","11","29","4","16","0.5","14","1","3","1","12.2","1","3","1","3","2.98","2.12","1.23","42.53","7.76","51.27","4.99","6.97","16.9","0.02","16.5","30.5","33","0.551724138","0.125","0.5","2.2","1.269230769","1.933333333","1.115384615","1.1","0.634615385","0.933333333","0.538461538","87.87878788","54.09836066","57.69230769","22.79202279","39.50617284","23.5042735","40.74074074","19.94301994","34.56790123","43.44729345","75.30864198"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00088","","","","26","16","1","1","7","14","12","29","45","8","6","4","3","3","1","","1","7","5","3","","","","","","","","","","","14","18","74","0.275862069","0.133333333","0.189189189","5.285714286","2.846153846","2.071428571","1.115384615","1","0.538461538","0.285714286","0.153846154","39.18918919","77.77777778","53.84615385","11.3960114","21.16402116","19.94301994","37.03703704","5.698005698","10.58201058","25.64102564","47.61904762"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00089","","","","26","18","1","1","7","11","10","56","14","17","2","25","3","5","5","12.4","3","3","3","3","2.98","2.19","1.12","36.04","12.39","48.44","7.2","10.27","14.88","0.05","19","44","70","0.303571429","0.142857143","0.271428571","6.363636364","2.692307692","5.090909091","2.153846154","1.727272727","0.730769231","2.272727273","0.961538462","80","43.18181818","42.30769231","24.21652422","57.23905724","27.06552707","63.97306397","35.61253561","84.17508418","62.67806268","148.1481481"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00090","","","","26","18","1","3","8","10","8","27","12","10","3","3","3","3","1","11.8","1","5","1","3","4.09","2.4","1.27","40.55","1.74","51.73","3.38","4.98","21.64","0.37","13","16","39","0.37037037","0.25","0.333333333","3.9","1.5","2.7","1.038461538","1.3","0.5","0.3","0.115384615","69.23076923","81.25","38.46153846","14.24501425","37.03703704","18.51851852","48.14814815","4.273504274","11.11111111","22.79202279","59.25925926"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00091","","","","26","13","3","1","5","4","4","12","5","7","7","10","3","3","1","14.9","1","3","3","3","3.5","2.06","1.03","53.23","4.92","58.3","4.16","6.04","14.08","0.36","14","24","17","0.583333333","1.4","0.823529412","4.25","0.653846154","3","0.461538462","3.5","0.538461538","2.5","0.384615385","70.58823529","58.33333333","15.38461538","9.971509972","64.81481481","19.94301994","129.6296296","14.24501425","92.59259259","34.18803419","222.2222222"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00092","","","","26","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00093","","","","26","23","1","1","8","13","5","3","0","3","0","7","3","3","1","","1","1","1","5","","","","","","","","","","","3","10","3","1","","1","0.230769231","0.115384615","0.230769231","0.115384615","0.230769231","0.115384615","0.538461538","0.269230769","100","30","50","4.273504274","8.547008547","4.273504274","8.547008547","9.971509972","19.94301994","14.24501425","28.49002849"
