"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00170","","","","","","","","3","3","3","","","","","5","4","5","","","0.5","","","","","","","","","","0.166666667","","","","","5.555555556","","","","","0.166666667","100","","","5.555555556",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00171","","","","","","","","3","2","","","","","","5","3","6","","","0.5","","","","","","","","","","","","","","","","","","","","0.166666667","","","","5.555555556",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00172","","","","","","","","3","3","2","","","","","4","6","6","","","0.5","","","","","","","","","","0.25","","","","","8.333333333","","","","","0.166666667","66.66666667","","","5.555555556",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00173","","","","","","","","3","3","1","","","","","5","4","5","","","0.5","","","","","","","","","","0.5","","","","","16.66666667","","","","","0.166666667","33.33333333","","","5.555555556",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00174","","","","2","1","5","","3","3","2","2","3","5","3","","4","","0.65","","0.4","","","","0.13","","","","2.5","","0.2","","","10.83333333","","6.666666667","","","1.666666667","","0.133333333","66.66666667","7.222222222","","4.444444444",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00175","","","","2","1","6","","3","3","3","1","3","5","5","","5","","0.7","","0.4","","","","0.116666667","","","","2","","0.133333333","","","7.777777778","","4.444444444","","","2","","0.133333333","100","7.777777778","","4.444444444",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00176","","","","2","1","1","","3","3","2","","3","7","5","","5","","0.4","","0.4","","","","0.4","","","","0.5","","0.2","","","6.666666667","","6.666666667","","","0.333333333","","0.133333333","66.66666667","4.444444444","","4.444444444",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00177","","","","3","1","2","","3","1","1","1","3","5","7","","3","","0.45","","0.35","","","","0.225","","","","2","","0.35","","","15","","11.66666667","","","0.666666667","","0.116666667","33.33333333","5","","3.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00178","","","","2","1","2","1","3","2","2","1","3","7","5","","5","","0.45","0.3","0.45","0.75","1.2","3","0.225","0.3","0.25","1.5","1","0.375","0.225","66.66666667","62.5","7.5","12.5","7.5","20","1","0.666666667","0.25","0.15","66.66666667","5","8.333333333","5","13.33333333"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00179","","","","2","1","2","","3","3","3","3","3","5","7","","3","","0.1","","0.05","","","","0.05","","","","0.666666667","","0.016666667","","","1.111111111","","0.555555556","","","0.666666667","","0.016666667","100","1.111111111","","0.555555556",""
