"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00031","","","","0","0","30","24","34","0","","","","8","1","1","0","0","2.2","0","2.2","0","","","","0","0","0","0","0","0","0.091666667","0.064705882","","0","70.58823529","0","0","0","0","2.156862745","3.055555556","2.156862745","3.055555556"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00032","","","","35","50","28","25","34","25","2","5","7","6","2","3","8.08","3.4","8.86","11.48","20.34","85","0.230857143","0.068","0.135058824","3.4","2.5","1.4","1.029411765","0.4592","0.337647059","0.3544","0.260588235","41.17647059","56.44051131","73.52941176","7.921568627","10.77333333","11.25490196","15.30666667","8.68627451","11.81333333","19.94117647","27.12"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00033","","","","11","67","29","17","34","17","3","7","4","6","1","1","1.54","3.5","0.96","5.04","6","78","0.14","0.052238806","0.064615385","4.588235294","2.294117647","0.647058824","0.323529412","0.296470588","0.148235294","0.056470588","0.028235294","14.1025641","84","50","1.509803922","3.019607843","4.941176471","9.882352941","0.941176471","1.882352941","5.882352941","11.76470588"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00034","","","","20","29","27","15","34","15","1","6","6","6","3","2","3.32","1.6","7.26","4.92","12.18","49","0.166","0.055172414","0.100408163","3.266666667","1.441176471","1.333333333","0.588235294","0.328","0.144705882","0.484","0.213529412","40.81632653","40.39408867","44.11764706","3.254901961","7.377777778","4.823529412","10.93333333","7.117647059","16.13333333","11.94117647","27.06666667"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00035","","","","37","68","31","26","34","26","1","7","7","7","1","1","7.08","4.32","10.72","11.4","22.12","105","0.191351351","0.063529412","0.108571429","4.038461538","3.088235294","1.423076923","1.088235294","0.438461538","0.335294118","0.412307692","0.315294118","35.23809524","51.53707052","76.47058824","6.941176471","9.076923077","11.17647059","14.61538462","10.50980392","13.74358974","21.68627451","28.35897436"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00036","","","","10","38","29","21","34","19","3","7","4","7","3","3","0.56","1.3","1.78","1.86","3.64","48","0.056","0.034210526","0.03875","2.285714286","1.411764706","0.476190476","0.294117647","0.088571429","0.054705882","0.084761905","0.052352941","20.83333333","51.0989011","61.76470588","0.549019608","0.888888889","1.823529412","2.952380952","1.745098039","2.825396825","3.568627451","5.777777778"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00037","","","","32","37","23","17","34","17","1","7","6","6","3","3","5.12","1.3","11.98","6.42","18.4","69","0.16","0.035135135","0.093043478","4.058823529","2.029411765","1.882352941","0.941176471","0.377647059","0.188823529","0.704705882","0.352352941","46.37681159","34.89130435","50","5.019607843","10.03921569","6.294117647","12.58823529","11.74509804","23.49019608","18.03921569","36.07843137"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00038","","","","0","5","32","28","34","4","1","6","2","9","1","1","0","0.12","25.96","0.12","26.08","5","","0.024","0.024","0.178571429","0.147058824","0","0","0.004285714","0.003529412","0.927142857","0.763529412","0","0.460122699","82.35294118","0","0","0.117647059","0.142857143","25.45098039","30.9047619","25.56862745","31.04761905"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00039","","","","22","30","30","22","34","22","2","5","7","6","2","1","6.52","4.18","2.12","10.7","12.82","52","0.296363636","0.139333333","0.205769231","2.363636364","1.529411765","1","0.647058824","0.486363636","0.314705882","0.096363636","0.062352941","42.30769231","83.46333853","64.70588235","6.392156863","9.878787879","10.49019608","16.21212121","2.078431373","3.212121212","12.56862745","19.42424242"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00040","","","","57","76","29","26","34","26","3","6","7","8","1","1","10.06","4.08","19.46","14.14","33.6","133","0.176491228","0.053684211","0.106315789","5.115384615","3.911764706","2.192307692","1.676470588","0.543846154","0.415882353","0.748461538","0.572352941","42.85714286","42.08333333","76.47058824","9.862745098","12.8974359","13.8627451","18.12820513","19.07843137","24.94871795","32.94117647","43.07692308"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00041","","","","4","21","29","20","34","19","3","5","6","6","3","2","0.96","2.16","1.02","3.12","4.14","25","0.24","0.102857143","0.1248","1.25","0.735294118","0.2","0.117647059","0.156","0.091764706","0.051","0.03","16","75.36231884","58.82352941","0.941176471","1.6","3.058823529","5.2","1","1.7","4.058823529","6.9"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00042","","","","14","46","27","21","34","21","3","7","6","7","1","1","2.8","3.12","1.22","5.92","7.14","60","0.2","0.067826087","0.098666667","2.857142857","1.764705882","0.666666667","0.411764706","0.281904762","0.174117647","0.058095238","0.035882353","23.33333333","82.91316527","61.76470588","2.745098039","4.444444444","5.803921569","9.396825397","1.196078431","1.936507937","7","11.33333333"
