"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00047","","","","30","12.536665","2.0181179","0.907938","0.894434","0","4.5141888","0.8112","15.7765455","7","7","3.6292689","48.8730469","67.2485733","26.54603301","21.8280869","13.1872177"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00048","","","","30","18.1581535","2.3292589","0.875876","2.477165","4.966485","4.7683339","6.6894841","4.2220759","6","5","2.7389829","52.5967751","57.0451317","26.13545817","16.3430786","11.9387722"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00049","","","","30","0","1.745397","0.841538","0.954311","0.385656","2.1072841","1.18878","18.7897472","2","6","2.26738","60.0298157","73.8954697","27.25279107","15.2940521","11.6113911"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00005","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00050","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00051","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00052","","","","30","","","","1.5583169","","2.0140879","","0","4","5","","64.9972382","","31.98977586","13.5911865",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00053","","","","30","9.8797016","2.0945849","0.880425","1.839457","4.0693841","3.9270351","6.4829011","15.3855324","6","3","3.2252791","51.1283607","66.0538101","27.11530893","18.4320297","6.491787"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00054","","","","30","0","1.989694","0.924027","1.081646","1.927338","1.933378","3.254761","10.5342579","1","6","3.174669","62.1278992","69.3632278","30.22151899","14.2788086","8.5473375"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00055","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00056","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00057","","","","30","42.5484238","2.4534121","1.261369","1.6671031","8.2828512","5.6325321","11.4962711","10.2527161","7","5","3.0107141","46.5716782","43.5048714","19.43779904","23.9523239","14.9403696"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00058","","","","30","19.2749138","2.0192361","1.048758","1.867254","1.112818","5.231606","2.515717","12.5916805","6","6","3.831619","47.0541725","64.5732346","23.45193631","18.4525299","11.079567"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00059","","","","30","0","1.941115","1.046163","0.625381","0.889","1.947203","1.973891","23.659565","4","8","4.3544059","55.8851318","70.088295","32.15350964","18.6597977","11.0884562"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00006","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00060","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00061","","","","30","0","1.543643","0.81255","1.0377851","2.224514","2.529562","3.8328819","25.1041374","1","8","3.155298","55.6413918","72.4230118","33.35963701","17.0258942","9.7138567"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00062","","","","30","1.4313316","1.842863","0.886823","0.934595","1.3768311","2.82686","2.7720971","25.2421646","","8","2.9047279","53.1497993","68.4173431","30.67887717","21.1779785","12.1457491"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00063","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00064","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00065","","","","30","13.7293186","2.126081","0.852972","1.820297","3.2942941","4.5719709","4.8643389","16.2530518","6","4","3.3426571","49.5769119","62.5458794","25.86819258","18.806839","10.4151554"
