"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00128","","","","","","0","0","3","3","10","0","","","","","","3","8","8","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","0.466666667","0.14","","0","30","0","0","0","0","4.666666667","15.55555556","4.666666667","15.55555556"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00129","","","","3","1","12","3","7","7","10","7","5","8","1","5","4","2","8","8","1","0.1","1.8","1.1","2.9","15","0.083333333","0.033333333","0.073333333","2.142857143","1.5","1.714285714","1.2","0.157142857","0.11","0.257142857","0.18","80","37.93103448","70","3.333333333","4.761904762","3.666666667","5.238095238","6","8.571428571","9.666666667","13.80952381"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00013","","","","3","1","0","15","8","8","10","2","","","1","2","2","5","1","3","0","0.4","6.8","0.4","7.2","15","","0.026666667","0.026666667","1.875","1.5","0","0","0.05","0.04","0.85","0.68","0","5.555555556","80","0","0","1.333333333","1.666666667","22.66666667","28.33333333","24","30"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00130","","","","","","0","0","0","0","10","0","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00131","","","","1","1","6","10","10","10","10","5","","","1","3","3","8","3","3","0.7","0.6","14.8","1.3","16.1","16","0.116666667","0.06","0.08125","1.6","1.6","0.6","0.6","0.13","0.13","1.48","1.48","37.5","8.074534161","100","2.333333333","2.333333333","4.333333333","4.333333333","49.33333333","49.33333333","53.66666667","53.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00132","","","","","","0","0","10","10","10","0","","","","","","6","2","5","0","0","12.6","0","12.6","0","","","","0","0","0","0","0","0","1.26","1.26","","0","100","0","0","0","0","42","42","42","42"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00133","","","","1","1","2","3","10","10","10","2","","","1","3","4","6","1","5","0.3","0.1","4","0.4","4.4","5","0.15","0.033333333","0.08","0.5","0.5","0.2","0.2","0.04","0.04","0.4","0.4","40","9.090909091","100","1","1","1.333333333","1.333333333","13.33333333","13.33333333","14.66666667","14.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00134","","","","1","1","2","3","9","9","10","2","","","1","3","3","5","3","5","0.2","0.1","8.8","0.3","9.1","5","0.1","0.033333333","0.06","0.555555556","0.5","0.222222222","0.2","0.033333333","0.03","0.977777778","0.88","40","3.296703297","90","0.666666667","0.740740741","1","1.111111111","29.33333333","32.59259259","30.33333333","33.7037037"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00135","","","","","","0","0","10","10","10","0","","","","","","7","1","5","0","0","6.4","0","6.4","0","","","","0","0","0","0","0","0","0.64","0.64","","0","100","0","0","0","0","21.33333333","21.33333333","21.33333333","21.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00136","","","","1","1","11","17","7","7","10","3","","","1","4","4","5","1","6","1.1","0.7","4.2","1.8","6","28","0.1","0.041176471","0.064285714","4","2.8","1.571428571","1.1","0.257142857","0.18","0.6","0.42","39.28571429","30","70","3.666666667","5.238095238","6","8.571428571","14","20","20","28.57142857"
