"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00035","","","","","","10","7","7","5","5","9","2","1","","","2","4","7","6","5","5","1.2","0.3","3","1.5","4.5","14","0.24","0.033333333","0.107142857","2","1.4","0.714285714","0.5","0.214285714","0.15","0.428571429","0.3","35.71428571","33.33333333","70","","","4","5.714285714","5","7.142857143","10","14.28571429","","","15","21.42857143"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00036","","","","","","10","2","2","2","3","2","2","1","","","1","3","3","3","8","8","0.3","0.1","0.2","0.4","0.6","5","0.1","0.05","0.08","2.5","0.5","1.5","0.3","0.2","0.04","0.1","0.02","60","66.66666667","20","","","1","5","1.333333333","6.666666667","0.666666667","3.333333333","","","2","10"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00037","","","","","","10","0","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00038","","","","","","10","2","2","2","2","0","2","1","","","1","5","6","1","7","9","0.6","0","2.2","0.6","2.8","2","0.3","","0.3","1","0.2","1","0.2","0.3","0.06","1.1","0.22","100","21.42857143","20","","","2","10","2","10","7.333333333","36.66666667","","","9.333333333","46.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00039","","","","","","10","6","6","6","5","7","4","1","","","2","3","6","7","7","5","1.1","0.4","1","1.5","2.5","12","0.22","0.057142857","0.125","2","1.2","0.833333333","0.5","0.25","0.15","0.166666667","0.1","41.66666667","60","60","","","3.666666667","6.111111111","5","8.333333333","3.333333333","5.555555556","","","8.333333333","13.88888889"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00040","","","","50.86","17.16","10","7","7","5","12","14","1","1","8","5","1","6","8","6","7","5","2.5","0.5","2.8","3","5.8","26","0.208333333","0.035714286","0.115384615","3.714285714","2.6","1.714285714","1.2","0.428571429","0.3","0.4","0.28","46.15384615","51.72413793","70","33.73967755","1.012190326","8.333333333","11.9047619","10","14.28571429","9.333333333","13.33333333","3.373967755","4.819953935","19.33333333","27.61904762"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00041","","","","","","10","10","10","10","8","11","2","1","","","3","4","8","6","4","5","2.8","0.5","2.2","3.3","5.5","19","0.35","0.045454545","0.173684211","1.9","1.9","0.8","0.8","0.33","0.33","0.22","0.22","42.10526316","60","100","","","9.333333333","9.333333333","11","11","7.333333333","7.333333333","","","18.33333333","18.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00042","","","","","","10","4","4","4","4","7","2","2","","","2","5","8","7","4","4","1.3","0.3","3.2","1.6","4.8","11","0.325","0.042857143","0.145454545","2.75","1.1","1","0.4","0.4","0.16","0.8","0.32","36.36363636","33.33333333","40","","","4.333333333","10.83333333","5.333333333","13.33333333","10.66666667","26.66666667","","","16","40"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00043","","","","","","10","9","9","7","7","9","3","1","","","5","4","8","1","6","9","1.6","0.4","1.8","2","3.8","16","0.228571429","0.044444444","0.125","1.777777778","1.6","0.777777778","0.7","0.222222222","0.2","0.2","0.18","43.75","52.63157895","90","","","5.333333333","5.925925926","6.666666667","7.407407407","6","6.666666667","","","12.66666667","14.07407407"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00044","","","","50.89","15.66","10","5","5","3","8","0","2","1","5","3","2","5","6","6","3","5","1.7","0","1.8","1.7","3.5","8","0.2125","","0.2125","1.6","0.8","1.6","0.8","0.34","0.17","0.36","0.18","100","48.57142857","50","30.77225388","0.523128316","5.666666667","11.33333333","5.666666667","11.33333333","6","12","1.743761053","3.487522107","11.66666667","23.33333333"
