"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00206","","","","5","5","","","8","6","8","3","3","1.8","0.2","2.1","2","4.1","14","0.225","0.033333333","0.142857143","","","","","57.14285714","48.7804878","","","","","2.8","1.6","0.4","0.42","","12","13.33333333","14","27.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00207","","","","5","5","","","12","10","6","4","5","3.1","0.3","2.4","3.4","5.8","22","0.258333333","0.03","0.154545455","","","","","54.54545455","58.62068966","","","","","4.4","2.4","0.68","0.48","","20.66666667","22.66666667","16","38.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00208","","","","5","5","","","17","5","7","3","4","3.4","0.1","1.4","3.5","4.9","22","0.2","0.02","0.159090909","","","","","77.27272727","71.42857143","","","","","4.4","3.4","0.7","0.28","","22.66666667","23.33333333","9.333333333","32.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00209","","","","5","5","","","10","0","6","4","5","3","0","1.2","3","4.2","10","0.3","","0.3","","","","","100","71.42857143","","","","","2","2","0.6","0.24","","20","20","8","28"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00210","","","","5","5","","","11","1","7","3","3","2.1","0.1","1.5","2.2","3.7","12","0.190909091","0.1","0.183333333","","","","","91.66666667","59.45945946","","","","","2.4","2.2","0.44","0.3","","14","14.66666667","10","24.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00211","","","","5","4","","","6","5","6","4","4","1.5","0.2","1.4","1.7","3.1","11","0.25","0.04","0.154545455","","","","","54.54545455","54.83870968","","","","","2.2","1.2","0.34","0.28","","10","11.33333333","9.333333333","20.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00212","","","","5","5","","","12","2","5","5","6","1.5","0.1","1.5","1.6","3.1","14","0.125","0.05","0.114285714","","","","","85.71428571","51.61290323","","","","","2.8","2.4","0.32","0.3","","10","10.66666667","10","20.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00213","","","","5","5","","","9","3","6","4","5","2.8","0.2","2.6","3","5.6","12","0.311111111","0.066666667","0.25","","","","","75","53.57142857","","","","","2.4","1.8","0.6","0.52","","18.66666667","20","17.33333333","37.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00214","","","","5","5","","","11","2","8","5","4","1.6","0.1","1.6","1.7","3.3","13","0.145454545","0.05","0.130769231","","","","","84.61538462","51.51515152","","","","","2.6","2.2","0.34","0.32","","10.66666667","11.33333333","10.66666667","22"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00215","","","","5","5","","","8","1","6","2","4","4","0.1","2.4","4.1","6.5","9","0.5","0.1","0.455555556","","","","","88.88888889","63.07692308","","","","","1.8","1.6","0.82","0.48","","26.66666667","27.33333333","16","43.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00216","","","","5","5","","","14","2","7","3","3","4.2","0.1","2.5","4.3","6.8","16","0.3","0.05","0.26875","","","","","87.5","63.23529412","","","","","3.2","2.8","0.86","0.5","","28","28.66666667","16.66666667","45.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00217","","","","5","5","","","10","4","6","3","4","5.2","0.2","2.5","5.4","7.9","14","0.52","0.05","0.385714286","","","","","71.42857143","68.35443038","","","","","2.8","2","1.08","0.5","","34.66666667","36","16.66666667","52.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00218","","","","5","5","","","15","2","7","3","3","5","0.1","2.5","5.1","7.6","17","0.333333333","0.05","0.3","","","","","88.23529412","67.10526316","","","","","3.4","3","1.02","0.5","","33.33333333","34","16.66666667","50.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00219","","","","5","5","","","13","3","5","3","4","3","0.2","1.3","3.2","4.5","16","0.230769231","0.066666667","0.2","","","","","81.25","71.11111111","","","","","3.2","2.6","0.64","0.26","","20","21.33333333","8.666666667","30"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00220","","","","5","5","","","13","3","7","4","5","2.5","0.2","1.2","2.7","3.9","16","0.192307692","0.066666667","0.16875","","","","","81.25","69.23076923","","","","","3.2","2.6","0.54","0.24","","16.66666667","18","8","26"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00221","","","","5","5","","","8","2","7","3","4","3.7","0.2","1.8","3.9","5.7","10","0.4625","0.1","0.39","","","","","80","68.42105263","","","","","2","1.6","0.78","0.36","","24.66666667","26","12","38"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00222","","","","5","5","","","8","0","7","3","3","3.3","0","1.7","3.3","5","8","0.4125","","0.4125","","","","","100","66","","","","","1.6","1.6","0.66","0.34","","22","22","11.33333333","33.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00223","","","","5","5","","","9","3","6","4","5","2.2","0.2","1","2.4","3.4","12","0.244444444","0.066666667","0.2","","","","","75","70.58823529","","","","","2.4","1.8","0.48","0.2","","14.66666667","16","6.666666667","22.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00224","","","","5","5","","","13","0","6","3","4","3.3","0","2.7","3.3","6","13","0.253846154","","0.253846154","","","","","100","55","","","","","2.6","2.6","0.66","0.54","","22","22","18","40"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00225","","","","5","5","","","11","0","6","4","4","4.2","0","2.7","4.2","6.9","11","0.381818182","","0.381818182","","","","","100","60.86956522","","","","","2.2","2.2","0.84","0.54","","28","28","18","46"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00226","","","","5","5","","","9","2","6","3","5","3.1","0.1","1.6","3.2","4.8","11","0.344444444","0.05","0.290909091","","","","","81.81818182","66.66666667","","","","","2.2","1.8","0.64","0.32","","20.66666667","21.33333333","10.66666667","32"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00227","","","","5","4","","","10","2","7","2","3","2.1","0.1","4.3","2.2","6.5","12","0.21","0.05","0.183333333","","","","","83.33333333","33.84615385","","","","","2.4","2","0.44","0.86","","14","14.66666667","28.66666667","43.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00228","","","","5","5","","","22","7","7","4","3","6","0.3","4.5","6.3","10.8","29","0.272727273","0.042857143","0.217241379","","","","","75.86206897","58.33333333","","","","","5.8","4.4","1.26","0.9","","40","42","30","72"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00229","","","","5","5","","","7","1","5","3","3","2.5","0.1","3","2.6","5.6","8","0.357142857","0.1","0.325","","","","","87.5","46.42857143","","","","","1.6","1.4","0.52","0.6","","16.66666667","17.33333333","20","37.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00230","","","","5","5","","","8","5","7","6","4","0.9","0.1","1","1","2","13","0.1125","0.02","0.076923077","","","","","61.53846154","50","","","","","2.6","1.6","0.2","0.2","","6","6.666666667","6.666666667","13.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00231","","","","5","5","","","11","1","6","3","4","2.4","0.1","2.1","2.5","4.6","12","0.218181818","0.1","0.208333333","","","","","91.66666667","54.34782609","","","","","2.4","2.2","0.5","0.42","","16","16.66666667","14","30.66666667"
