"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00126","","","","","","10","0","0","0","0","","","","","","","7","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00127","","","","","","10","0","0","0","0","","","","","","3","8","8","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00128","","","","1","1","10","7","6","5","8","5","5","1","1","1","3","6","7","0.8","0.1","0.8","0.9","1.7","13","0.16","0.0125","0.069230769","1.857142857","1.3","0.714285714","0.5","0.128571429","0.09","0.114285714","0.08","38.46153846","52.94117647","70","2.666666667","3.80952381","3","4.285714286","2.666666667","3.80952381","5.666666667","8.095238095"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00129","","","","1","1","10","1","1","0","1","2","3","1","1","1","6","7","7","0","0.1","0.6","0.1","0.7","1","","0.1","0.1","1","0.1","0","0","0.1","0.01","0.6","0.06","0","14.28571429","10","0","0","0.333333333","3.333333333","2","20","2.333333333","23.33333333"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00013","","","","1","","10","1","","","","","","","","","2","8","8","","","0.1","","","","","","","","","","","","","0.1","0.01","","","10","","","","","0.333333333","3.333333333","",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00130","","","","3","1","10","6","3","5","4","5","4","1","1","3","5","6","6","0.6","0.1","1.8","0.7","2.5","9","0.12","0.025","0.077777778","1.5","0.9","0.833333333","0.5","0.116666667","0.07","0.3","0.18","55.55555556","28","60","2","3.333333333","2.333333333","3.888888889","6","10","8.333333333","13.88888889"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00131","","","","","","10","0","0","0","0","","","","","","1","9","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00132","","","","4","1","10","10","9","11","9","5","7","2","2","2","7","1","5","2.4","0.5","4","2.9","6.9","20","0.218181818","0.055555556","0.145","2","2","1.1","1.1","0.29","0.29","0.4","0.4","55","42.02898551","100","8","8","9.666666667","9.666666667","13.33333333","13.33333333","23","23"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00133","","","","","","10","0","0","0","0","","","","","","2","8","8","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00134","","","","","","10","2","0","0","0","","","","","","6","5","5","0","0","0.6","0","0.6","0","","","","0","0","0","0","0","0","0.3","0.06","","0","20","0","0","0","0","2","10","2","10"
