"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00126","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00127","","","","","","","","8","8","10","","2","","","","","","","2","9","8","","","2","","","","","","","","","","","","","0.25","0.2","","","80","","","","","","","6.666666667","8.333333333","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00128","","","","17.04","50.22","14","14","9","9","10","9","1","2","7","5","2","5","5","6","4","5","2.4","0.7","2.4","3.1","5.5","28","0.171428571","0.05","0.110714286","3.111111111","2.8","1.555555556","1.4","0.344444444","0.31","0.266666667","0.24","50","56.36363636","90","33.9307049","1.051851852","8","8.888888889","10.33333333","11.48148148","8","8.888888889","3.50617284","3.895747599","18.33333333","20.37037037"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00129","","","","21.32","50.91","","","2","2","10","","","","","","","","","1","9","9","","","","","","","","","","","","","","","","","","","","20","41.87782361","","","","","","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00013","","","","","","0","0","3","3","10","0","","","","","","","","2","9","8","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.333333333","0.1","","0","30","","","0","0","0","0","3.333333333","11.11111111","","","3.333333333","11.11111111"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00130","","","","","","0","0","7","7","10","0","","","","","","","","","","","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","0.2","0.14","","0","70","","","0","0","0","0","4.666666667","6.666666667","","","4.666666667","6.666666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00131","","","","","","0","0","","0","10","0","","","","","","","","1","9","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00132","","","","20.92","50.16","12","10","7","7","10","6","3","1","4","3","1","5","5","6","3","5","2.1","0.6","3.6","2.7","6.3","22","0.175","0.06","0.122727273","3.142857143","2.2","1.714285714","1.2","0.385714286","0.27","0.514285714","0.36","54.54545455","42.85714286","70","41.70653907","1.126076555","7","10","9","12.85714286","12","17.14285714","3.753588517","5.36226931","21","30"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00133","","","","","","0","4","6","6","10","","","","","","","","","5","9","5","0","0.4","1.2","0.4","1.6","4","","0.1","0.1","0.666666667","0.4","0","0","0.066666667","0.04","0.2","0.12","0","25","60","","","0","0","1.333333333","2.222222222","4","6.666666667","","","5.333333333","8.888888889"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00134","","","","","","0","0","","0","10","0","","","","","","","","1","9","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00135","","","","","","0","0","","0","10","0","","","","","","","","6","9","5","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00136","","","","22.15","50.43","21","28","10","10","10","10","1","1","9","9","1","6","6","5","1","6","3.6","1.5","3","5.1","8.1","49","0.171428571","0.053571429","0.104081633","4.9","4.9","2.1","2.1","0.51","0.51","0.3","0.3","42.85714286","62.96296296","100","43.92226849","2.240035693","12","12","17","17","10","10","7.466785643","7.466785643","27","27"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00137","","","","","","0","10","7","7","10","6","2","1","","","1","3","3","4","7","6","0","0.6","2","0.6","2.6","10","","0.06","0.06","1.428571429","1","0","0","0.085714286","0.06","0.285714286","0.2","0","23.07692308","70","","","0","0","2","2.857142857","6.666666667","9.523809524","","","8.666666667","12.38095238"
