"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00026","","","","","","","","","30","23","","5","","","","","","","7","4","4","","0.1","10.5","","","","","0.02","","","","","0.35","","","","","","11.66666667","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00027","","","","0","1.842271","0.87794","1.300386","2.2580659","30","10","","1","9","9","5.4040341","66.688324","27.9572023","9.3799314","6","3","3","","0.1","4.5","","","","","0.1","","","","","0.15","","","","","","5","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00028","","","","","","","","","30","6","","","","","","","","","4","5","6","","","0.5","","","","","","","","","","0.016666667","","","","","","0.555555556","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00029","","","","0","2.1240239","1.185497","0.119619","1.131056","30","23","2","1","4","8","6.3985019","69.3962402","47.86795048","12.1846905","6","4","4","0.2","0.1","7.5","0.3","7.8","3","0.1","0.1","0.1","0.1","0.066666667","0.01","0.25","66.66666667","3.846153846","0.143603851","0.222222222","0.333333333","8.333333333","0.159559835","8.666666667"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00003","","","","0","1.732555","1.011264","1.017504","1.874903","30","28","16","16","2","8","4.450676","70.0179062","35.82148499","14.0661411","6","3","4","1.1","0.5","5","1.6","6.6","32","0.06875","0.03125","0.05","1.066666667","0.533333333","0.053333333","0.166666667","50","24.24242424","0.57314376","1.222222222","1.777777778","5.555555556","0.6368264","7.333333333"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00030","","","","0","1.704663","1.032833","0.686527","1.686497","30","19","5","5","3","5","4.7976608","74.2713089","35.39559786","9.8357477","6","5","6","0.1","0.1","4.5","0.2","4.7","10","0.02","0.02","0.02","0.333333333","0.166666667","0.006666667","0.15","50","4.255319149","0.070791196","0.111111111","0.222222222","5","0.078656884","5.222222222"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00031","","","","35.5080452","2.5745261","1.641531","3.313334","5.7325091","30","26","16","26","7","5","6.1850548","44.2021408","26.99521149","22.7010288","6","4","4","2","1","2","3","5","42","0.125","0.038461538","0.071428571","1.4","0.533333333","0.1","0.066666667","38.0952381","60","0.809856345","2.222222222","3.333333333","2.222222222","0.899840383","5.555555556"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00032","","","","13.5518913","2.296241","1.289811","1.146824","2.478858","30","30","6","52","6","5","4.782249","60.5782433","35.16135419","17.3043518","5","4","5","0.5","1.2","2","1.7","3.7","58","0.083333333","0.023076923","0.029310345","1.933333333","0.2","0.056666667","0.066666667","10.34482759","45.94594595","0.597743021","0.555555556","1.888888889","2.222222222","0.664158912","4.111111111"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00033","","","","","","","","","30","16","","","","","","","","","5","5","6","","","0.5","","","","","","","","","","0.016666667","","","","","","0.555555556","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00034","","","","0","2.12486","1.161533","0.492149","1.13609","30","24","11","10","4","3","6.8481011","67.3671494","41.45139026","16.2556725","6","3","4","1.5","0.5","2.5","2","4.5","21","0.136363636","0.05","0.095238095","0.7","0.366666667","0.066666667","0.083333333","52.38095238","44.44444444","0.829027805","1.666666667","2.222222222","2.777777778","0.921142006","5"
