"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00135","","","","5","1","3","3","3","3","5","4","1","3","5","5","5","0.66","0.24","0.2","0.9","1.1","9","0.132","0.06","0.1","3","1.666666667","0.3","0.066666667","55.55555556","81.81818182","7.333333333","10","2.222222222","12.22222222","3","1.666666667","0.3","0.066666667","100","7.333333333","10","2.222222222","12.22222222"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00136","","","","5","1","3","3","3","3","7","","7","5","5","7","1","1.07","0.03","0.28","1.1","1.38","","0.152857143","","","","2.333333333","0.366666667","0.093333333","","79.71014493","11.88888889","12.22222222","3.111111111","15.33333333","","2.333333333","0.366666667","0.093333333","100","11.88888889","12.22222222","3.111111111","15.33333333"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00137","","","","1","1","3","3","2","2","3","2","1","1","3","6","1","0.82","0.02","0.14","0.84","0.98","5","0.273333333","0.01","0.168","2.5","1.5","0.42","0.07","60","85.71428571","13.66666667","14","2.333333333","16.33333333","1.666666667","1","0.28","0.046666667","66.66666667","9.111111111","9.333333333","1.555555556","10.88888889"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00201","","","","1","1","3","1","1","1","2","0","1","3","3","6","1","0.4","0","0.08","0.4","0.48","2","0.2","","0.2","2","2","0.4","0.08","100","83.33333333","13.33333333","13.33333333","2.666666667","16","0.666666667","0.666666667","0.133333333","0.026666667","33.33333333","4.444444444","4.444444444","0.888888889","5.333333333"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00202","","","","3","1","3","3","3","3","3","2","1","3","5","7","1","0.58","0.16","0.12","0.74","0.86","5","0.193333333","0.08","0.148","1.666666667","1","0.246666667","0.04","60","86.04651163","6.444444444","8.222222222","1.333333333","9.555555556","1.666666667","1","0.246666667","0.04","100","6.444444444","8.222222222","1.333333333","9.555555556"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00203","","","","7","1","3","3","2","2","2","1","1","3","5","6","1","0.34","0.03","0.06","0.37","0.43","3","0.17","0.03","0.123333333","1.5","1","0.185","0.03","66.66666667","86.04651163","5.666666667","6.166666667","1","7.166666667","1","0.666666667","0.123333333","0.02","66.66666667","3.777777778","4.111111111","0.666666667","4.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00204","","","","7","1","3","3","3","2","4","1","3","5","5","7","1","0.6","0.1","0.22","0.7","0.92","5","0.15","0.1","0.14","1.666666667","1.333333333","0.233333333","0.073333333","80","76.08695652","6.666666667","7.777777778","2.444444444","10.22222222","1.666666667","1.333333333","0.233333333","0.073333333","100","6.666666667","7.777777778","2.444444444","10.22222222"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00205","","","","5","3","3","3","2","2","3","2","5","5","3","7","1","0.64","0.1","0.16","0.74","0.9","5","0.213333333","0.05","0.148","2.5","1.5","0.37","0.08","60","82.22222222","10.66666667","12.33333333","2.666666667","15","1.666666667","1","0.246666667","0.053333333","66.66666667","7.111111111","8.222222222","1.777777778","10"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00206","","","","","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00207","","","","1","1","3","3","3","3","2","3","1","7","7","7","2","0.26","0.18","0.16","0.44","0.6","5","0.13","0.06","0.088","1.666666667","0.666666667","0.146666667","0.053333333","40","73.33333333","2.888888889","4.888888889","1.777777778","6.666666667","1.666666667","0.666666667","0.146666667","0.053333333","100","2.888888889","4.888888889","1.777777778","6.666666667"
