"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00038","","","","4","15.93","50.79","1","4","26","34","27","34","14","6","8","2","4","3","3","0.4","1.2","7","1.6","8.6","30","0.1","0.046153846","0.053333333","1.111111111","0.882352941","0.148148148","0.117647059","0.059259259","0.047058824","0.259259259","0.205882353","13.33333333","18.60465116","79.41176471","31.36444182","0.501831069","0.392156863","0.49382716","1.568627451","1.975308642","6.862745098","8.641975309","0.491991244","0.61954453","8.431372549","10.61728395"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00039","","","","5","16.33","50.62","1","5","7","26","21","34","3","2","8","1","5","4","7","0.6","0.3","5.5","0.9","6.4","12","0.12","0.042857143","0.075","0.571428571","0.352941176","0.238095238","0.147058824","0.042857143","0.026470588","0.261904762","0.161764706","41.66666667","14.0625","61.76470588","32.25997629","0.290339787","0.588235294","0.952380952","0.882352941","1.428571429","5.392156863","8.73015873","0.28464685","0.460856804","6.274509804","10.15873016"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00004","","","","4","19.1","50.84","2","9","35","32","30","34","17","3","6","2","5","5","7","1.9","2.5","5.5","4.4","9.9","44","0.211111111","0.071428571","0.1","1.466666667","1.294117647","0.3","0.264705882","0.146666667","0.129411765","0.183333333","0.161764706","20.45454545","44.44444444","88.23529412","37.56884343","1.653029111","1.862745098","2.111111111","4.31372549","4.888888889","5.392156863","6.111111111","1.620616775","1.836699012","9.705882353","11"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00040","","","","3","","","1","6","3","32","22","34","6","1","","1","5","3","5","0.7","0.2","6","0.9","6.9","9","0.116666667","0.066666667","0.1","0.409090909","0.264705882","0.272727273","0.176470588","0.040909091","0.026470588","0.272727273","0.176470588","66.66666667","13.04347826","64.70588235","","","0.68627451","1.060606061","0.882352941","1.363636364","5.882352941","9.090909091","","","6.764705882","10.45454545"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00041","","","","","","","","0","0","29","","34","0","","","","","","6","0","0","6.5","0","6.5","0","","","","","0","","0","","0","","0.191176471","","0","","","","0","","0","","6.37254902","","","","6.37254902",""
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00042","","","","4","","","1","0","0","29","16","34","0","","","","","","7","0","0","5","0","5","0","","","","0","0","0","0","0","0","0.3125","0.147058824","","0","47.05882353","","","0","0","0","0","4.901960784","10.41666667","","","4.901960784","10.41666667"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00005","","","","4","","","1","0","4","32","26","34","3","","","1","3","1","6","0","0.2","7.5","0.2","7.7","4","","0.05","0.05","0.153846154","0.117647059","0","0","0.007692308","0.005882353","0.288461538","0.220588235","0","2.597402597","76.47058824","","","0","0","0.196078431","0.256410256","7.352941176","9.615384615","","","7.549019608","9.871794872"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00006","","","","5","18.1","50.5","1","1","12","32","27","34","5","2","2","1","3","4","6","0.2","0.7","8","0.9","8.9","13","0.2","0.058333333","0.069230769","0.481481481","0.382352941","0.037037037","0.029411765","0.033333333","0.026470588","0.296296296","0.235294118","7.692307692","10.11235955","79.41176471","35.84158416","0.322574257","0.196078431","0.24691358","0.882352941","1.111111111","7.843137255","9.87654321","0.316249272","0.398239824","8.725490196","10.98765432"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00007","","","","4","18.1","50.78","1","32","62","33","29","34","24","1","8","1","5","6","4","4.2","2.7","9","6.9","15.9","94","0.13125","0.043548387","0.073404255","3.24137931","2.764705882","1.103448276","0.941176471","0.237931034","0.202941176","0.310344828","0.264705882","34.04255319","43.39622642","85.29411765","35.64395431","2.459432848","4.117647059","4.827586207","6.764705882","7.931034483","8.823529412","10.34482759","2.411208674","2.826934308","15.58823529","18.27586207"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00008","","","","2","","","1","0","0","31","25","34","0","1","","","","","7","0","0","12","0","12","0","","","","0","0","0","0","0","0","0.48","0.352941176","","0","73.52941176","","","0","0","0","0","11.76470588","16","","","11.76470588","16"
