"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00031","","","","39","38","1","2","4","28","28","23","33","12","3.5","11","4","15.5","26.5","56","0.52173913","0.106060606","0.276785714","2","1.435897436","0.821428571","0.58974359","0.553571429","0.397435897","0.392857143","0.282051282","41.07142857","58.49056604","71.79487179","11.3960114","15.87301587","14.71984805","20.5026455","10.44634378","14.55026455","25.16619183","35.05291005"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00032","","","","39","33","3","3","4","33","21","20","72","3.8","2.2","5","4","6","11","92","0.19","0.030555556","0.065217391","2.787878788","2.358974359","0.606060606","0.512820513","0.181818182","0.153846154","0.151515152","0.128205128","21.73913043","54.54545455","84.61538462","3.608736942","4.264870932","5.698005698","6.734006734","4.748338082","5.611672278","10.44634378","12.34567901"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00033","","","","39","33","2","3","5","33","31","10","47","5","2","5","7","7","12","57","0.5","0.042553191","0.122807018","1.727272727","1.461538462","0.303030303","0.256410256","0.212121212","0.179487179","0.151515152","0.128205128","17.54385965","58.33333333","84.61538462","4.748338082","5.611672278","6.647673314","7.85634119","4.748338082","5.611672278","11.3960114","13.46801347"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00034","","","","39","28","4","4","4","25","25","24","60","10.3","3.6","7.1","2","13.9","21","84","0.429166667","0.06","0.16547619","3.36","2.153846154","0.96","0.615384615","0.556","0.356410256","0.284","0.182051282","28.57142857","66.19047619","64.1025641","9.781576448","15.25925926","13.20037987","20.59259259","6.742640076","10.51851852","19.94301994","31.11111111"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00035","","","","39","31","2","2","4","31","21","9","34","3.5","5.5","3.4","6","9","12.4","43","0.388888889","0.161764706","0.209302326","1.387096774","1.102564103","0.290322581","0.230769231","0.290322581","0.230769231","0.109677419","0.087179487","20.93023256","72.58064516","79.48717949","3.323836657","4.181600956","8.547008547","10.75268817","3.228869896","4.062126643","11.77587844","14.81481481"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00036","","","","39","34","1","1","5","24","9","1","8","0.2","0.7","25.6","5","0.9","26.5","9","0.2","0.0875","0.1","0.375","0.230769231","0.041666667","0.025641026","0.0375","0.023076923","1.066666667","0.656410256","11.11111111","3.396226415","61.53846154","0.189933523","0.308641975","0.854700855","1.388888889","24.31149098","39.50617284","25.16619183","40.89506173"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00037","","","","39","36","1","1","5","32","32","18","64","10","6.4","28.6","4","16.4","45","82","0.555555556","0.1","0.2","2.5625","2.102564103","0.5625","0.461538462","0.5125","0.420512821","0.89375","0.733333333","21.95121951","36.44444444","82.05128205","9.496676163","11.57407407","15.57454891","18.98148148","27.16049383","33.10185185","42.73504274","52.08333333"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00038","","","","39","38","2","2","5","30","30","11","40","6","6.8","22.5","6","12.8","35.3","51","0.545454545","0.17","0.250980392","1.7","1.307692308","0.366666667","0.282051282","0.426666667","0.328205128","0.75","0.576923077","21.56862745","36.26062323","76.92307692","5.698005698","7.407407407","12.15574549","15.80246914","21.36752137","27.77777778","33.52326686","43.58024691"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00039","","","","39","31","1","1","4","31","29","27","80","4","4","13.5","4","8","21.5","107","0.148148148","0.05","0.074766355","3.451612903","2.743589744","0.870967742","0.692307692","0.258064516","0.205128205","0.435483871","0.346153846","25.23364486","37.20930233","79.48717949","3.798670465","4.778972521","7.597340931","9.557945042","12.82051282","16.12903226","20.41785375","25.6869773"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00040","","","","39","39","1","1","5","31","22","2","52","0.3","3.7","24.1","5","4","28.1","54","0.15","0.071153846","0.074074074","1.741935484","1.384615385","0.064516129","0.051282051","0.129032258","0.102564103","0.777419355","0.617948718","3.703703704","14.23487544","79.48717949","0.284900285","0.358422939","3.798670465","4.778972521","22.88698955","28.79330944","26.68566002","33.57228196"
