"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00050","","","","140","71","71","80","40","28","7.5","41","1","4","35.5","76.5","120","0.35","0.1875","0.295833333","1.690140845","0.857142857","1.126760563","0.571428571","0.5","0.253571429","0.577464789","0.292857143","66.66666667","46.40522876","50.71428571","7.407407407","14.60615545","9.391534392","18.51851852","10.84656085","21.38758477","20.23809524","39.90610329"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00008","","","","100","47","47","59","150","8.29","1.4","33.06","1","4","9.69","42.75","209","0.140508475","0.009333333","0.046363636","4.446808511","2.09","1.255319149","0.59","0.206170213","0.0969","0.703404255","0.3306","28.22966507","22.66666667","47","3.07037037","6.532702916","3.588888889","7.635933806","12.24444444","26.05200946","15.83333333","33.68794326"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00041","","","","120","60","60","131","39","57.5","2.5","45","2","4","60","105","170","0.438931298","0.064102564","0.352941176","2.833333333","1.416666667","2.183333333","1.091666667","1","0.5","0.75","0.375","77.05882353","57.14285714","50","17.74691358","35.49382716","18.51851852","37.03703704","13.88888889","27.77777778","32.40740741","64.81481481"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00025","","","","120","52","52","47","70","15","4.04","37.8","4","4","19.04","56.84","117","0.319148936","0.057714286","0.162735043","2.25","0.975","0.903846154","0.391666667","0.366153846","0.158666667","0.726923077","0.315","40.17094017","33.49753695","43.33333333","4.62962963","10.68376068","5.87654321","13.56125356","11.66666667","26.92307692","17.54320988","40.48433048"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00058","","","","140","67","67","54","67","24","7.5","44","1","5","31.5","75.5","121","0.444444444","0.111940299","0.260330579","1.805970149","0.864285714","0.805970149","0.385714286","0.470149254","0.225","0.656716418","0.314285714","44.62809917","41.7218543","47.85714286","6.349206349","13.26699834","8.333333333","17.41293532","11.64021164","24.32283029","19.97354497","41.73576562"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00009","","","","145","75","75","58","25","3.98","1.2","26.58","2","3","5.18","31.76","83","0.06862069","0.048","0.062409639","1.106666667","0.572413793","0.773333333","0.4","0.069066667","0.035724138","0.3544","0.183310345","69.87951807","16.30982368","51.72413793","1.01660281","1.965432099","1.32311622","2.558024691","6.789272031","13.12592593","8.11238825","15.68395062"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00042","","","","140","70","70","27","54","8","2","15","2","4","10","25","81","0.296296296","0.037037037","0.12345679","1.157142857","0.578571429","0.385714286","0.192857143","0.142857143","0.071428571","0.214285714","0.107142857","33.33333333","40","50","2.116402116","4.232804233","2.645502646","5.291005291","3.968253968","7.936507937","6.613756614","13.22751323"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00001","","","","140","69","69","49","39","21","4.25","41.06","1","5","25.25","66.31","88","0.428571429","0.108974359","0.286931818","1.275362319","0.628571429","0.710144928","0.35","0.365942029","0.180357143","0.595072464","0.293285714","55.68181818","38.07872116","49.28571429","5.555555556","11.27214171","6.67989418","13.55340848","10.86243386","22.03972088","17.54232804","35.59312936"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00034","","","","140","74","74","45","40","20","5","57","2","4","25","82","85","0.444444444","0.125","0.294117647","1.148648649","0.607142857","0.608108108","0.321428571","0.337837838","0.178571429","0.77027027","0.407142857","52.94117647","30.48780488","52.85714286","5.291005291","10.01001001","6.613756614","12.51251251","15.07936508","28.52852853","21.69312169","41.04104104"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00016","","","","120","64","64","24","84","2.63","2.6","24.97","1","3","5.23","30.2","108","0.109583333","0.030952381","0.048425926","1.6875","0.9","0.375","0.2","0.08171875","0.043583333","0.39015625","0.208083333","22.22222222","17.31788079","53.33333333","0.811728395","1.521990741","1.614197531","3.02662037","7.706790123","14.45023148","9.320987654","17.47685185"
