"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Commercial storage root yield tons per ha|CO_331:0000809","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259"," Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00031","","","","25","25","4","23","11.5","36","110","6.5","4","9.62962963","6","2","9","7.23","3","3","5","5","2","4","4","1","2","20.91","10.5","22","146","0.180555556","0.036363636","0.071917808","5.84","1.44","0.42","0.46","24.65753425","47.72727273","2.19555","15.55555556","17.03703704","3.252666667","32.59259259"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00032","","","","25","25","2","19","6.5","50","97","11.5","5","17.03703704","7","2","8","5.46","4","4","5","5","2","5","4","4","3","18.37","16.5","23","147","0.23","0.051546392","0.112244898","5.88","2","0.66","0.26","34.01360544","71.73913043","3.03105","24.44444444","9.62962963","4.490444444","34.07407407"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00033","","","","25","25","4","18","5.5","49","70","11","3","16.2962963","5","2","4","7.23","4","5","5","5","3","5","2","5","5","18.22","14","19.5","119","0.224489796","0.042857143","0.117647059","4.76","1.96","0.56","0.22","41.17647059","71.79487179","2.5508","20.74074074","8.148148148","3.778962963","28.88888889"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00034","","","","25","25","2","19","5","65","59","15","3.5","22.22222222","5","2","4","4.61","4","4","5","5","2","5","2","3","3","19.96","18.5","23.5","124","0.230769231","0.059322034","0.149193548","4.96","2.6","0.74","0.2","52.41935484","78.72340426","3.6926","27.40740741","7.407407407","5.470518519","34.81481481"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00035","","","","25","25","3","20","9","21","71","4","5","5.925925926","6","1","6","1.76","3","3","5","5","4","5","3","4","3","12.36","9","18","92","0.19047619","0.070422535","0.097826087","3.68","0.84","0.36","0.36","22.82608696","50","1.1124","13.33333333","13.33333333","1.648","26.66666667"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00036","","","","25","25","2","14","2.1","19","26","3","1.5","4.444444444","4","4","4","7.23","4","4","5","5","2","5","3","4","3","8.72","4.5","6.6","45","0.157894737","0.057692308","0.1","1.8","0.76","0.18","0.084","42.22222222","68.18181818","0.3924","6.666666667","3.111111111","0.581333333","9.777777778"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00037","","","","25","25","3","25","10","37","43","1.2","3","1.777777778","7","2","1","0.02","4","4","5","5","4","5","3","4","3","33.25","4.2","14.2","80","0.032432432","0.069767442","0.0525","3.2","1.48","0.168","0.4","46.25","29.57746479","1.3965","6.222222222","14.81481481","2.068888889","21.03703704"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00038","","","","25","25","1","14","2","19","46","2","2.5","2.962962963","4","1","5","6.12","4","4","5","5","2","5","2","4","4","5.87","4.5","6.5","65","0.105263158","0.054347826","0.069230769","2.6","0.76","0.18","0.08","29.23076923","69.23076923","0.26415","6.666666667","2.962962963","0.391333333","9.62962963"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00039","","","","25","25","1","13","1.5","21","64","4","3","5.925925926","3","2","6","0.15","4","4","4","5","4","5","3","4","3","5.71","7","8.5","85","0.19047619","0.046875","0.082352941","3.4","0.84","0.28","0.06","24.70588235","82.35294118","0.3997","10.37037037","2.222222222","0.592148148","12.59259259"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00040","","","","25","25","2","10","2.2","5","28","1.5","0.5","2.222222222","2","9","4","0.12","2","1","5","5","5","5","3","4","3","8.09","2","4.2","33","0.3","0.017857143","0.060606061","1.32","0.2","0.08","0.088","15.15151515","47.61904762","0.1618","2.962962963","3.259259259","0.239703704","6.222222222"
