"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00032","","","","26","24","5","7","7","24","24","15","17","4","4.3","4.7","4","5","1","1","8.3","13","32","0.266666667","0.252941176","0.259375","1.333333333","1.230769231","0.625","0.576923077","0.345833333","0.319230769","0.195833333","0.180769231","46.875","63.84615385","92.30769231","5.698005698","6.172839506","11.82336182","12.80864198","6.695156695","7.25308642","18.51851852","20.0617284"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00033","","","","26","26","1","1","5","25","25","18","23","5.5","6.3","5","7","3","5","5","11.8","16.8","41","0.305555556","0.273913043","0.287804878","1.64","1.576923077","0.72","0.692307692","0.472","0.453846154","0.2","0.192307692","43.90243902","70.23809524","96.15384615","7.834757835","8.148148148","16.80911681","17.48148148","7.122507123","7.407407407","23.93162393","24.88888889"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00034","","","","26","26","1","1","5","26","26","22","39","6.5","9.5","9.5","4","3","3","1","16","25.5","61","0.295454545","0.243589744","0.262295082","2.346153846","2.346153846","0.846153846","0.846153846","0.615384615","0.615384615","0.365384615","0.365384615","36.06557377","62.74509804","100","9.259259259","9.259259259","22.79202279","22.79202279","13.53276353","13.53276353","36.32478632","36.32478632"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00035","","","","26","25","1","3","9","23","23","19","21","5","5","7","8","1","5","1","10","17","40","0.263157895","0.238095238","0.25","1.739130435","1.538461538","0.826086957","0.730769231","0.434782609","0.384615385","0.304347826","0.269230769","47.5","58.82352941","88.46153846","7.122507123","8.051529791","14.24501425","16.10305958","9.971509972","11.27214171","24.21652422","27.37520129"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00036","","","","26","26","1","1","5","26","26","16","21","4","4.7","5.5","6","1","1","5","8.7","14.2","37","0.25","0.223809524","0.235135135","1.423076923","1.423076923","0.615384615","0.615384615","0.334615385","0.334615385","0.211538462","0.211538462","43.24324324","61.26760563","100","5.698005698","5.698005698","12.39316239","12.39316239","7.834757835","7.834757835","20.22792023","20.22792023"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00037","","","","26","20","1","1","7","20","20","13","20","3.7","5.8","4.5","5","1","5","7","9.5","14","33","0.284615385","0.29","0.287878788","1.65","1.269230769","0.65","0.5","0.475","0.365384615","0.225","0.173076923","39.39393939","67.85714286","76.92307692","5.270655271","6.851851852","13.53276353","17.59259259","6.41025641","8.333333333","19.94301994","25.92592593"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00038","","","","26","26","3","5","5","26","26","15","19","4","4.9","5.5","2","1","5","1","8.9","14.4","34","0.266666667","0.257894737","0.261764706","1.307692308","1.307692308","0.576923077","0.576923077","0.342307692","0.342307692","0.211538462","0.211538462","44.11764706","61.80555556","100","5.698005698","5.698005698","12.67806268","12.67806268","7.834757835","7.834757835","20.51282051","20.51282051"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00039","","","","26","26","1","1","5","20","20","16","22","4.5","6","7","2","1","5","1","10.5","17.5","38","0.28125","0.272727273","0.276315789","1.9","1.461538462","0.8","0.615384615","0.525","0.403846154","0.35","0.269230769","42.10526316","60","76.92307692","6.41025641","8.333333333","14.95726496","19.44444444","9.971509972","12.96296296","24.92877493","32.40740741"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00040","","","","26","19","1","1","5","19","19","20","35","5.5","8.7","12.3","6","3","3","5","14.2","26.5","55","0.275","0.248571429","0.258181818","2.894736842","2.115384615","1.052631579","0.769230769","0.747368421","0.546153846","0.647368421","0.473076923","36.36363636","53.58490566","73.07692308","7.834757835","10.72124756","20.22792023","27.68031189","17.52136752","23.97660819","37.74928775","51.65692008"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00041","","","","26","26","1","1","9","19","19","15","22","4","5","6","7","5","5","1","9","15","37","0.266666667","0.227272727","0.243243243","1.947368421","1.423076923","0.789473684","0.576923077","0.473684211","0.346153846","0.315789474","0.230769231","40.54054054","60","73.07692308","5.698005698","7.797270955","12.82051282","17.54385965","8.547008547","11.69590643","21.36752137","29.23976608"
