"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_irrigation","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00031","","","","84","46","46","31","100","226","12.6","8.2","38.4","1","3","20.8","59.2","326","0.126","0.036283186","0.063803681","7.086956522","2.173913043","0.452173913","0.834782609","30.67484663","35.13513514","5.555555556","9.171075838","16.93121693","26.10229277","1","3.880952381","1.19047619","0.247619048","0.457142857","54.76190476","10.14492754","16.74718196","30.9178744","47.66505636"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00032","","","","84","36","36","28","51","104","10.8","4.2","44.4","1","3","15","59.4","155","0.211764706","0.040384615","0.096774194","4.305555556","1.416666667","0.416666667","1.233333333","32.90322581","25.25252525","4.761904762","6.613756614","19.57671958","26.19047619","1","1.845238095","0.607142857","0.178571429","0.528571429","42.85714286","11.11111111","15.43209877","45.67901235","61.11111111"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00033","","","","84","51","51","15","8","24","1.4","0.8","51.6","1","5","2.2","53.8","32","0.175","0.033333333","0.06875","0.62745098","0.156862745","0.043137255","1.011764706","25","4.089219331","0.617283951","0.970017637","22.75132275","23.72134039","1","0.380952381","0.095238095","0.026190476","0.614285714","60.71428571","1.016702977","1.597676107","37.47276688","39.07044299"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00034","","","","84","39","39","22","74","92","14.4","4.6","30.2","1","1","19","49.2","166","0.194594595","0.05","0.114457831","4.256410256","1.897435897","0.487179487","0.774358974","44.57831325","38.61788618","6.349206349","8.377425044","13.31569665","21.69312169","1","1.976190476","0.880952381","0.226190476","0.35952381","46.42857143","13.67521368","18.04368471","28.67996201","46.72364672"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00035","","","","84","24","24","23","36","32","5.8","1.6","29.2","1","3","7.4","36.6","68","0.161111111","0.05","0.108823529","2.833333333","1.5","0.308333333","1.216666667","52.94117647","20.21857923","2.557319224","3.262786596","12.87477954","16.13756614","1","0.80952381","0.428571429","0.088095238","0.347619048","28.57142857","8.950617284","11.41975309","45.0617284","56.48148148"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00036","","","","84","43","43","33","56","180","11","9","36.4","1","3","20","56.4","236","0.196428571","0.05","0.084745763","5.488372093","1.302325581","0.465116279","0.846511628","23.72881356","35.46099291","4.850088183","8.818342152","16.04938272","24.86772487","1","2.80952381","0.666666667","0.238095238","0.433333333","51.19047619","9.47459087","17.22652885","31.35228252","48.57881137"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00037","","","","84","42","42","35","68","218","14.4","8.6","33.8","1","3","23","56.8","286","0.211764706","0.039449541","0.08041958","6.80952381","1.619047619","0.547619048","0.804761905","23.77622378","40.49295775","6.349206349","10.14109347","14.90299824","25.04409171","1","3.404761905","0.80952381","0.273809524","0.402380952","50","12.6984127","20.28218695","29.80599647","50.08818342"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00038","","","","84","38","38","19","8","76","1.4","1.4","27","1","3","2.8","29.8","84","0.175","0.018421053","0.033333333","2.210526316","0.210526316","0.073684211","0.710526316","9.523809524","9.395973154","0.617283951","1.234567901","11.9047619","13.13932981","1","1","0.095238095","0.033333333","0.321428571","45.23809524","1.364522417","2.729044834","26.31578947","29.04483431"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00039","","","","84","41","41","32","48","104","11.2","3.8","47","1","3","15","62","152","0.233333333","0.036538462","0.098684211","3.707317073","1.170731707","0.365853659","1.146341463","31.57894737","24.19354839","4.938271605","6.613756614","20.72310406","27.33686067","1","1.80952381","0.571428571","0.178571429","0.55952381","48.80952381","10.11743451","13.5501355","42.45709124","56.00722674"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00040","","","","84","49","49","31","71","229","18","9.6","27.4","1","3","27.6","55","300","0.253521127","0.041921397","0.092","6.12244898","1.448979592","0.563265306","0.559183673","23.66666667","50.18181818","7.936507937","12.16931217","12.08112875","24.25044092","1","3.571428571","0.845238095","0.328571429","0.326190476","58.33333333","13.60544218","20.861678","20.71050642","41.57218443"
