"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00031","","","","8","8","1","1","7","8","8","0","14","0","1","10.3","1","1","5","12.39","1","11.3","14","","0.071428571","0.071428571","1.75","1.75","0","0","0.125","0.125","1.2875","1.2875","0","8.849557522","100","0","0","4.62962963","4.62962963","47.68518519","47.68518519","52.31481481","52.31481481"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00032","","","","8","7","1","2","4","7","7","18","13","7","2.5","25","5","5","4","","9.5","34.5","31","0.388888889","0.192307692","0.306451613","4.428571429","3.875","2.571428571","2.25","1.357142857","1.1875","3.571428571","3.125","58.06451613","27.53623188","87.5","32.40740741","37.03703704","43.98148148","50.26455026","115.7407407","132.2751323","159.7222222","182.5396825"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00033","","","","8","8","1","2","4","8","7","9","21","1.5","1","6.5","3","2","5","14.37","2.5","9","30","0.166666667","0.047619048","0.083333333","3.75","3.75","1.125","1.125","0.3125","0.3125","0.8125","0.8125","30","27.77777778","100","6.944444444","6.944444444","11.57407407","11.57407407","30.09259259","30.09259259","41.66666667","41.66666667"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00034","","","","8","8","1","2","4","8","8","6","4","3","0.4","3.5","3","3","4","0.02","3.4","6.9","10","0.5","0.1","0.34","1.25","1.25","0.75","0.75","0.425","0.425","0.4375","0.4375","60","49.27536232","100","13.88888889","13.88888889","15.74074074","15.74074074","16.2037037","16.2037037","31.94444444","31.94444444"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00035","","","","8","7","1","2","6","7","7","15","18","5.6","2.5","4","4","4","4","14.37","8.1","12.1","33","0.373333333","0.138888889","0.245454545","4.714285714","4.125","2.142857143","1.875","1.157142857","1.0125","0.571428571","0.5","45.45454545","66.94214876","87.5","25.92592593","29.62962963","37.5","42.85714286","18.51851852","21.16402116","56.01851852","64.02116402"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00036","","","","8","8","1","2","7","8","8","0","25","0","1","20","2","2","5","12.39","1","21","25","","0.04","0.04","3.125","3.125","0","0","0.125","0.125","2.5","2.5","0","4.761904762","100","0","0","4.62962963","4.62962963","92.59259259","92.59259259","97.22222222","97.22222222"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00037","","","","8","8","1","2","6","8","8","11","51","3.5","4.2","4","3","3","4","14.37","7.7","11.7","62","0.318181818","0.082352941","0.124193548","7.75","7.75","1.375","1.375","0.9625","0.9625","0.5","0.5","17.74193548","65.81196581","100","16.2037037","16.2037037","35.64814815","35.64814815","18.51851852","18.51851852","54.16666667","54.16666667"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00038","","","","8","7","3","2","7","7","7","12","18","5.7","2.8","14","4","3","5","12.39","8.5","22.5","30","0.475","0.155555556","0.283333333","4.285714286","3.75","1.714285714","1.5","1.214285714","1.0625","2","1.75","40","37.77777778","87.5","26.38888889","30.15873016","39.35185185","44.97354497","64.81481481","74.07407407","104.1666667","119.047619"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00039","","","","8","7","1","2","4","7","7","21","35","7","3","4.5","3","3","4","11.03","10","14.5","56","0.333333333","0.085714286","0.178571429","8","7","3","2.625","1.428571429","1.25","0.642857143","0.5625","37.5","68.96551724","87.5","32.40740741","37.03703704","46.2962963","52.91005291","20.83333333","23.80952381","67.12962963","76.71957672"
"","","MZP2009GUR-PT02","","","","","","","","","MZP2009GUR-PT02-00040","","","","8","8","2","2","4","8","8","17","32","7","3.6","5","5","5","5","14.37","10.6","15.6","49","0.411764706","0.1125","0.216326531","6.125","6.125","2.125","2.125","1.325","1.325","0.625","0.625","34.69387755","67.94871795","100","32.40740741","32.40740741","49.07407407","49.07407407","23.14814815","23.14814815","72.22222222","72.22222222"
