"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00020","","","","90","80","80","35","95","23.5","14.5","50.2","3","1","38","88.2","130","0.671428571","0.152631579","0.292307692","1.625","1.444444444","0.4375","0.388888889","0.475","0.422222222","0.6275","0.557777778","26.92307692","43.08390023","88.88888889","9.670781893","10.87962963","15.63786008","17.59259259","20.65843621","23.24074074","36.2962963","40.83333333","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00057","","","","90","70","70","50","95","23.5","14.6","67.8","5","5","38.1","105.9","145","0.47","0.153684211","0.262758621","2.071428571","1.611111111","0.714285714","0.555555556","0.544285714","0.423333333","0.968571429","0.753333333","34.48275862","35.97733711","77.77777778","9.670781893","12.43386243","15.67901235","20.15873016","27.90123457","35.87301587","43.58024691","56.03174603","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00030","","","","90","74","69","50","98","29.5","11.2","70.2","1","1","40.7","110.9","148","0.59","0.114285714","0.275","2","1.644444444","0.675675676","0.555555556","0.55","0.452222222","0.948648649","0.78","33.78378378","36.69972949","82.22222222","12.1399177","14.76476476","16.74897119","20.37037037","28.88888889","35.13513514","45.63786008","55.50550551","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00054","","","","90","70","65","47","95","29.5","12.4","35.6","7","3","41.9","77.5","142","0.627659574","0.130526316","0.295070423","2.028571429","1.577777778","0.671428571","0.522222222","0.598571429","0.465555556","0.508571429","0.395555556","33.09859155","54.06451613","77.77777778","12.1399177","15.60846561","17.24279835","22.16931217","14.65020576","18.83597884","31.89300412","41.00529101","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00021","","","","90","65","63","35","82","24.6","11.3","50.3","1","5","35.9","86.2","117","0.702857143","0.137804878","0.306837607","1.8","1.3","0.538461538","0.388888889","0.552307692","0.398888889","0.773846154","0.558888889","29.91452991","41.64733179","72.22222222","10.12345679","14.01709402","14.77366255","20.45584046","20.69958848","28.66096866","35.47325103","49.11680912","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00059","","","","90","50","50","60","65","14.2","15.6","50.1","3","5","29.8","79.9","125","0.236666667","0.24","0.2384","2.5","1.388888889","1.2","0.666666667","0.596","0.331111111","1.002","0.556666667","48","37.29662078","55.55555556","5.843621399","10.51851852","12.26337449","22.07407407","20.61728395","37.11111111","32.88065844","59.18518519","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00003","","","","90","68","67","40","99","25.3","13.1","50.2","1","1","38.4","88.6","139","0.6325","0.132323232","0.276258993","2.044117647","1.544444444","0.588235294","0.444444444","0.564705882","0.426666667","0.738235294","0.557777778","28.77697842","43.34085779","75.55555556","10.41152263","13.77995643","15.80246914","20.91503268","20.65843621","27.34204793","36.46090535","48.25708061","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00066","","","","90","60","58","50","82","15.6","10.2","37.5","3","5","25.8","63.3","132","0.312","0.124390244","0.195454545","2.2","1.466666667","0.833333333","0.555555556","0.43","0.286666667","0.625","0.416666667","37.87878788","40.75829384","66.66666667","6.419753086","9.62962963","10.61728395","15.92592593","15.43209877","23.14814815","26.04938272","39.07407407","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00004","","","","90","40","38","30","60","18.5","9.8","23.5","1","5","28.3","51.8","90","0.616666667","0.163333333","0.314444444","2.25","1","0.75","0.333333333","0.7075","0.314444444","0.5875","0.261111111","33.33333333","54.63320463","44.44444444","7.613168724","17.12962963","11.64609053","26.2037037","9.670781893","21.75925926","21.31687243","47.96296296","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00062","","","","90","40","40","35","56","13.2","12.3","40.1","7","3","25.5","65.6","91","0.377142857","0.219642857","0.28021978","2.275","1.011111111","0.875","0.388888889","0.6375","0.283333333","1.0025","0.445555556","38.46153846","38.87195122","44.44444444","5.432098765","12.22222222","10.49382716","23.61111111","16.50205761","37.12962963","26.99588477","60.74074074","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00005","","","","90","54","53","41","63","30.1","11.3","40.3","1","3","41.4","81.7","104","0.734146341","0.179365079","0.398076923","1.925925926","1.155555556","0.759259259","0.455555556","0.766666667","0.46","0.746296296","0.447777778","39.42307692","50.67319461","60","12.38683128","20.64471879","17.03703704","28.39506173","16.58436214","27.64060357","33.62139918","56.03566529","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00063","","","","90","49","46","42","70","14.5","14.5","28.9","5","3","29","57.9","112","0.345238095","0.207142857","0.258928571","2.285714286","1.244444444","0.857142857","0.466666667","0.591836735","0.322222222","0.589795918","0.321111111","37.5","50.08635579","54.44444444","5.967078189","10.95993953","11.93415638","21.91987906","11.89300412","21.84429327","23.82716049","43.76417234","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00022","","","","90","70","60","25","59","25.5","10.1","40.2","3","1","35.6","75.8","84","1.02","0.171186441","0.423809524","1.2","0.933333333","0.357142857","0.277777778","0.508571429","0.395555556","0.574285714","0.446666667","29.76190476","46.96569921","77.77777778","10.49382716","13.49206349","14.65020576","18.83597884","16.54320988","21.26984127","31.19341564","40.10582011","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00061","","","","90","50","50","43","80","16.8","11.3","48.6","5","3","28.1","76.7","123","0.390697674","0.14125","0.228455285","2.46","1.366666667","0.86","0.477777778","0.562","0.312222222","0.972","0.54","34.95934959","36.63624511","55.55555556","6.913580247","12.44444444","11.56378601","20.81481481","20","36","31.56378601","56.81481481","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00023","","","","90","68","60","28","45","19.7","10.1","28.2","5","5","29.8","58","73","0.703571429","0.224444444","0.408219178","1.073529412","0.811111111","0.411764706","0.311111111","0.438235294","0.331111111","0.414705882","0.313333333","38.35616438","51.37931034","75.55555556","8.106995885","10.72984749","12.26337449","16.23093682","11.60493827","15.35947712","23.86831276","31.59041394","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00046","","","","90","78","75","42","80","14.3","13.9","40.2","7","5","28.2","68.4","122","0.34047619","0.17375","0.231147541","1.564102564","1.355555556","0.538461538","0.466666667","0.361538462","0.313333333","0.515384615","0.446666667","34.42622951","41.22807018","86.66666667","5.884773663","6.790123457","11.60493827","13.39031339","16.54320988","19.08831909","28.14814815","32.47863248","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00010","","","","90","51","50","41","74","22.3","10.3","32.5","3","5","32.6","65.1","115","0.543902439","0.139189189","0.283478261","2.254901961","1.277777778","0.803921569","0.455555556","0.639215686","0.362222222","0.637254902","0.361111111","35.65217391","50.07680492","56.66666667","9.176954733","16.194626","13.41563786","23.67465505","13.3744856","23.60203341","26.79012346","47.27668845","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00042","","","","90","30","28","31","36","7.9","9.8","33.4","5","3","17.7","51.1","67","0.25483871","0.272222222","0.264179104","2.233333333","0.744444444","1.033333333","0.344444444","0.59","0.196666667","1.113333333","0.371111111","46.26865672","34.63796477","33.33333333","3.251028807","9.75308642","7.283950617","21.85185185","13.74485597","41.2345679","21.02880658","63.08641975","1"
