"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00055","","","","90","75","70","49","75","13.5","12.5","50.1","5","5","26","76.1","124","0.275510204","0.166666667","0.209677419","1.653333333","1.377777778","0.653333333","0.544444444","0.346666667","0.288888889","0.668","0.556666667","39.51612903","34.16557162","83.33333333","5.555555556","6.666666667","10.69958848","12.83950617","20.61728395","24.74074074","31.31687243","37.58024691"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00019","","","","90","90","90","88","145","24.9","18.9","62.5","5","3","43.8","106.3","233","0.282954545","0.130344828","0.187982833","2.588888889","2.588888889","0.977777778","0.977777778","0.486666667","0.486666667","0.694444444","0.694444444","37.76824034","41.20413923","100","10.24691358","10.24691358","18.02469136","18.02469136","25.72016461","25.72016461","43.74485597","43.74485597"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00052","","","","90","81","80","59","148","20.7","13.9","55.5","5","5","34.6","90.1","207","0.350847458","0.093918919","0.167149758","2.555555556","2.3","0.728395062","0.655555556","0.427160494","0.384444444","0.685185185","0.616666667","28.50241546","38.4017758","90","8.518518519","9.465020576","14.23868313","15.82075903","22.83950617","25.37722908","37.0781893","41.19798811"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00027","","","","90","87","83","50","79","13.9","12.9","37.6","5","5","26.8","64.4","129","0.278","0.163291139","0.207751938","1.482758621","1.433333333","0.574712644","0.555555556","0.308045977","0.297777778","0.432183908","0.417777778","38.75968992","41.61490683","96.66666667","5.720164609","5.917411665","11.02880658","11.40911026","15.47325103","16.00681141","26.50205761","27.41592167"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00050","","","","90","82","80","50","80","14.5","13.5","45","5","5","28","73","130","0.29","0.16875","0.215384615","1.585365854","1.444444444","0.609756098","0.555555556","0.341463415","0.311111111","0.548780488","0.5","38.46153846","38.35616438","91.11111111","5.967078189","6.549232159","11.52263374","12.64679313","18.51851852","20.32520325","30.04115226","32.97199639"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00010","","","","90","85","78","52","92","15","13.5","50.2","5","5","28.5","78.7","144","0.288461538","0.14673913","0.197916667","1.694117647","1.6","0.611764706","0.577777778","0.335294118","0.316666667","0.590588235","0.557777778","36.11111111","36.21346887","94.44444444","6.172839506","6.535947712","11.72839506","12.41830065","20.65843621","21.87363834","32.38683128","34.291939"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00043","","","","90","70","65","50","88","15","12.9","47.5","5","5","27.9","75.4","138","0.3","0.146590909","0.202173913","1.971428571","1.533333333","0.714285714","0.555555556","0.398571429","0.31","0.678571429","0.527777778","36.23188406","37.00265252","77.77777778","6.172839506","7.936507937","11.48148148","14.76190476","19.5473251","25.13227513","31.02880658","39.89417989"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00001","","","","90","78","70","62","95","13.9","15","47.5","7","5","28.9","76.4","157","0.224193548","0.157894737","0.184076433","2.012820513","1.744444444","0.794871795","0.688888889","0.370512821","0.321111111","0.608974359","0.527777778","39.49044586","37.82722513","86.66666667","5.720164609","6.600189934","11.89300412","13.72269706","19.5473251","22.55460589","31.44032922","36.27730294"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00046","","","","90","85","82","42","78","13.9","12","50.1","5","5","25.9","76","120","0.330952381","0.153846154","0.215833333","1.411764706","1.333333333","0.494117647","0.466666667","0.304705882","0.287777778","0.589411765","0.556666667","35","34.07894737","94.44444444","5.720164609","6.05664488","10.65843621","11.28540305","20.61728395","21.83006536","31.27572016","33.11546841"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00018","","","","90","90","85","45","99","13.9","12.5","49","5","5","26.4","75.4","144","0.308888889","0.126262626","0.183333333","1.6","1.6","0.5","0.5","0.293333333","0.293333333","0.544444444","0.544444444","31.25","35.0132626","100","5.720164609","5.720164609","10.86419753","10.86419753","20.16460905","20.16460905","31.02880658","31.02880658"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00041","","","","90","82","80","52","87","13.7","12.6","60.5","5","5","26.3","86.8","139","0.263461538","0.144827586","0.189208633","1.695121951","1.544444444","0.634146341","0.577777778","0.320731707","0.292222222","0.737804878","0.672222222","37.41007194","30.29953917","91.11111111","5.637860082","6.187895212","10.82304527","11.87895212","24.89711934","27.32610659","35.72016461","39.20505872"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00026","","","","90","81","80","57","77","12.7","13.5","40.5","5","5","26.2","66.7","134","0.222807018","0.175324675","0.195522388","1.654320988","1.488888889","0.703703704","0.633333333","0.32345679","0.291111111","0.5","0.45","42.53731343","39.28035982","90","5.226337449","5.80704161","10.781893","11.97988112","16.66666667","18.51851852","27.44855967","30.49839963"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00060","","","","90","85","75","56","98","15.5","13.5","50.5","5","5","29","79.5","154","0.276785714","0.137755102","0.188311688","1.811764706","1.711111111","0.658823529","0.622222222","0.341176471","0.322222222","0.594117647","0.561111111","36.36363636","36.47798742","94.44444444","6.378600823","6.753812636","11.93415638","12.63616558","20.781893","22.0043573","32.71604938","34.64052288"
