"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00031","","","","26","20","1","1","6","13","12","25","13","8","0.8","14","3","3","1","1","1","1","5","0.15","38","0.32","0.061538462","0.231578947","2.923076923","1.461538462","1.923076923","0.961538462","0.676923077","0.338461538","1.076923077","0.538461538","65.78947368","38.59649123","50","11.3960114","22.79202279","12.53561254","25.07122507","19.94301994","39.88603989","32.47863248","64.95726496","8.8","22.8"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00032","","","","26","22","1","1","7","18","18","52","46","13.5","4","14","1","1","1","7","1","3","7","7.23","98","0.259615385","0.086956522","0.178571429","5.444444444","3.769230769","2.888888889","2","0.972222222","0.673076923","0.777777778","0.538461538","53.06122449","55.55555556","69.23076923","19.23076923","27.77777778","24.92877493","36.00823045","19.94301994","28.80658436","44.87179487","64.81481481","17.5","31.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00033","","","","26","25","1","1","7","20","15","16","30","2","2","19","7","5","1","3","3","3","5","1.17","46","0.125","0.066666667","0.086956522","2.3","1.769230769","0.8","0.615384615","0.2","0.153846154","0.95","0.730769231","34.7826087","17.39130435","76.92307692","2.849002849","3.703703704","5.698005698","7.407407407","27.06552707","35.18518519","32.76353276","42.59259259","4","23"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00034","","","","26","18","1","1","5","3","3","4","6","2.5","2","3","1","1","1","7","3","5","3","1.74","10","0.625","0.333333333","0.45","3.333333333","0.384615385","1.333333333","0.153846154","1.5","0.173076923","1","0.115384615","40","60","11.53846154","3.561253561","30.86419753","6.41025641","55.55555556","4.273504274","37.03703704","10.68376068","92.59259259","4.5","7.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00035","","","","26","25","1","3","7","22","14","15","25","4","1.5","46","1","7","1","1","1","1","5","0.12","40","0.266666667","0.06","0.1375","1.818181818","1.538461538","0.681818182","0.576923077","0.25","0.211538462","2.090909091","1.769230769","37.5","10.67961165","84.61538462","5.698005698","6.734006734","7.834757835","9.259259259","65.52706553","77.44107744","73.36182336","86.7003367","5.5","51.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00036","","","","26","22","1","1","7","15","9","10","27","1.4","1","29","7","3","5","6","1","3","7","0.15","37","0.14","0.037037037","0.064864865","2.466666667","1.423076923","0.666666667","0.384615385","0.16","0.092307692","1.933333333","1.115384615","27.02702703","7.643312102","57.69230769","1.994301994","3.456790123","3.418803419","5.925925926","41.31054131","71.60493827","44.72934473","77.5308642","2.4","31.4"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00037","","","","26","9","1","1","4","9","7","9","16","2","1","15","9","3","1","1","3","9","3","12.39","25","0.222222222","0.0625","0.12","2.777777778","0.961538462","1","0.346153846","0.333333333","0.115384615","1.666666667","0.576923077","36","16.66666667","34.61538462","2.849002849","8.230452675","4.273504274","12.34567901","21.36752137","61.72839506","25.64102564","74.07407407","3","18"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00038","","","","26","6","1","1","4","4","2","2","0","1","0","5","1","7","1","1","5","7","5","11.03","2","0.5","","0.5","0.5","0.076923077","0.5","0.076923077","0.25","0.038461538","1.25","0.192307692","100","16.66666667","15.38461538","1.424501425","9.259259259","1.424501425","9.259259259","7.122507123","46.2962963","8.547008547","55.55555556","1","6"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00039","","","","26","21","1","1","8","18","17","21","35","8.5","1.6","40","1","1","7","1","1","1","9","6.12","56","0.404761905","0.045714286","0.180357143","3.111111111","2.153846154","1.166666667","0.807692308","0.561111111","0.388461538","2.222222222","1.538461538","37.5","20.15968064","69.23076923","12.10826211","17.48971193","14.38746439","20.781893","56.98005698","82.30452675","71.36752137","103.0864198","10.1","50.1"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00040","","","","26","23","1","1","8","20","17","22","39","5","3","41","3","7","7","3","3","5","3","14.37","61","0.227272727","0.076923077","0.131147541","3.05","2.346153846","1.1","0.846153846","0.4","0.307692308","2.05","1.576923077","36.06557377","16.32653061","76.92307692","7.122507123","9.259259259","11.3960114","14.81481481","58.4045584","75.92592593","69.8005698","90.74074074","8","49"
