"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00031","","","","5","5","2","4","4","2","2","7","0","2","0","1.5","3","3","5","1.04","2","3.5","7","0.285714286","","0.285714286","3.5","1.4","3.5","1.4","1","0.4","0.75","0.3","100","57.14285714","40","14.81481481","37.03703704","14.81481481","37.03703704","11.11111111","27.77777778","25.92592593","64.81481481"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00032","","","","5","5","1","7","4","4","4","18","9","4","1","7","4","4","4","4.61","5","12","27","0.222222222","0.111111111","0.185185185","6.75","5.4","4.5","3.6","1.25","1","1.75","1.4","66.66666667","41.66666667","80","29.62962963","37.03703704","37.03703704","46.2962963","51.85185185","64.81481481","88.88888889","111.1111111"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00033","","","","5","5","1","3","4","4","4","11","3","4.5","0.3","7","5","5","4","6.12","4.8","11.8","14","0.409090909","0.1","0.342857143","3.5","2.8","2.75","2.2","1.2","0.96","1.75","1.4","78.57142857","40.6779661","80","33.33333333","41.66666667","35.55555556","44.44444444","51.85185185","64.81481481","87.40740741","109.2592593"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00034","","","","5","5","1","2","5","4","4","12","9","2.3","2","7","4","4","3","7.23","4.3","11.3","21","0.191666667","0.222222222","0.204761905","5.25","4.2","3","2.4","1.075","0.86","1.75","1.4","57.14285714","38.05309735","80","17.03703704","21.2962963","31.85185185","39.81481481","51.85185185","64.81481481","83.7037037","104.6296296"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00035","","","","5","5","1","1","5","4","4","10","7","2.6","1","8.5","3","3","5","","3.6","12.1","17","0.26","0.142857143","0.211764706","4.25","3.4","2.5","2","0.9","0.72","2.125","1.7","58.82352941","29.75206612","80","19.25925926","24.07407407","26.66666667","33.33333333","62.96296296","78.7037037","89.62962963","112.037037"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00036","","","","5","5","1","1","4","4","4","13","22","3","2","4.5","4","5","4","6.12","5","9.5","35","0.230769231","0.090909091","0.142857143","8.75","7","3.25","2.6","1.25","1","1.125","0.9","37.14285714","52.63157895","80","22.22222222","27.77777778","37.03703704","46.2962963","33.33333333","41.66666667","70.37037037","87.96296296"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00037","","","","5","5","1","1","5","4","4","7","7","4","0.6","4.7","3","3","5","11.03","4.6","9.3","14","0.571428571","0.085714286","0.328571429","3.5","2.8","1.75","1.4","1.15","0.92","1.175","0.94","50","49.46236559","80","29.62962963","37.03703704","34.07407407","42.59259259","34.81481481","43.51851852","68.88888889","86.11111111"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00038","","","","5","5","1","2","4","4","4","14","13","3","1.2","2.9","4","2","4","5.49","4.2","7.1","27","0.214285714","0.092307692","0.155555556","6.75","5.4","3.5","2.8","1.05","0.84","0.725","0.58","51.85185185","59.15492958","80","22.22222222","27.77777778","31.11111111","38.88888889","21.48148148","26.85185185","52.59259259","65.74074074"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00039","","","","5","5","1","1","4","4","3","12","9","3.5","1","1.6","3","3","5","7.76","4.5","6.1","21","0.291666667","0.111111111","0.214285714","5.25","4.2","3","2.4","1.125","0.9","0.4","0.32","57.14285714","73.7704918","80","25.92592593","32.40740741","33.33333333","41.66666667","11.85185185","14.81481481","45.18518519","56.48148148"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00040","","","","5","4","1","1","5","4","4","4","5","2","0.5","4.9","3","3","5","3.03","2.5","7.4","9","0.5","0.1","0.277777778","2.25","1.8","1","0.8","0.625","0.5","1.225","0.98","44.44444444","33.78378378","80","14.81481481","18.51851852","18.51851852","23.14814815","36.2962963","45.37037037","54.81481481","68.51851852"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00041","","","","5","5","1","1","5","4","4","14","15","3","1.5","3","4","5","5","4.92","4.5","7.5","29","0.214285714","0.1","0.155172414","7.25","5.8","3.5","2.8","1.125","0.9","0.75","0.6","48.27586207","60","80","22.22222222","27.77777778","33.33333333","41.66666667","22.22222222","27.77777778","55.55555556","69.44444444"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00042","","","","5","5","1","1","6","4","4","13","10","3.2","1","5.1","4","4","5","7.76","4.2","9.3","23","0.246153846","0.1","0.182608696","5.75","4.6","3.25","2.6","1.05","0.84","1.275","1.02","56.52173913","45.16129032","80","23.7037037","29.62962963","31.11111111","38.88888889","37.77777778","47.22222222","68.88888889","86.11111111"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00043","","","","5","5","1","1","5","3","3","14","8","3","2","5","4","4","5","10.5","5","10","22","0.214285714","0.25","0.227272727","7.333333333","4.4","4.666666667","2.8","1.666666667","1","1.666666667","1","63.63636364","50","60","22.22222222","37.03703704","37.03703704","61.72839506","37.03703704","61.72839506","74.07407407","123.4567901"
