"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766"," Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00031","","","","26","21","1","1","4","21","21","6","43","3.5","2.5","2","3","3","3","3","3","6.12","6","8","49","0.583333333","0.058139535","0.12244898","2.333333333","1.884615385","0.285714286","0.230769231","0.285714286","0.230769231","0.095238095","0.076923077","12.24489796","75","80.76923077","4.985754986","6.172839506","8.547008547","10.58201058","2.849002849","3.527336861","11.3960114","14.10934744"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00032","","","","26","25","2","3","7","21","21","19","29","3","2","2.5","3","3","3","5","1","0","5","7.5","48","0.157894737","0.068965517","0.104166667","2.285714286","1.846153846","0.904761905","0.730769231","0.238095238","0.192307692","0.119047619","0.096153846","39.58333333","66.66666667","80.76923077","4.273504274","5.291005291","7.122507123","8.818342152","3.561253561","4.409171076","10.68376068","13.22751323"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00033","","","","26","24","1","1","4","17","17","10","19","2","1","2","6","3","3","5","1","0","3","5","29","0.2","0.052631579","0.103448276","1.705882353","1.115384615","0.588235294","0.384615385","0.176470588","0.115384615","0.117647059","0.076923077","34.48275862","60","65.38461538","2.849002849","4.357298475","4.273504274","6.535947712","2.849002849","4.357298475","7.122507123","10.89324619"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00034","","","","26","24","1","1","4","14","14","11","11","4","1.5","2.5","4","1","3","7","1","1.74","5.5","8","22","0.363636364","0.136363636","0.25","1.571428571","0.846153846","0.785714286","0.423076923","0.392857143","0.211538462","0.178571429","0.096153846","50","68.75","53.84615385","5.698005698","10.58201058","7.834757835","14.55026455","3.561253561","6.613756614","11.3960114","21.16402116"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00035","","","","26","26","1","1","4","18","18","21","34","3.8","1.4","4.5","6","3","1","5","1","0.15","5.2","9.7","55","0.180952381","0.041176471","0.094545455","3.055555556","2.115384615","1.166666667","0.807692308","0.288888889","0.2","0.25","0.173076923","38.18181818","53.60824742","69.23076923","5.413105413","7.818930041","7.407407407","10.69958848","6.41025641","9.259259259","13.81766382","19.95884774"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00036","","","","26","24","1","3","4","19","19","27","51","2.4","2","3.4","2","5","1","3","3","6.12","4.4","7.8","78","0.088888889","0.039215686","0.056410256","4.105263158","3","1.421052632","1.038461538","0.231578947","0.169230769","0.178947368","0.130769231","34.61538462","56.41025641","73.07692308","3.418803419","4.678362573","6.267806268","8.576998051","4.843304843","6.627680312","11.11111111","15.20467836"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00037","","","","26","17","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00038","","","","26","26","1","2","5","22","22","32","83","9.5","4.6","4.8","3","1","1","3","3","6.12","14.1","18.9","115","0.296875","0.055421687","0.122608696","5.227272727","4.423076923","1.454545455","1.230769231","0.640909091","0.542307692","0.218181818","0.184615385","27.82608696","74.6031746","84.61538462","13.53276353","15.99326599","20.08547009","23.73737374","6.837606838","8.080808081","26.92307692","31.81818182"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00039","","","","26","25","2","4","5","22","15","12","8","2.5","1","3","1","5","3","3","1","0","3.5","6.5","20","0.208333333","0.125","0.175","0.909090909","0.769230769","0.545454545","0.461538462","0.159090909","0.134615385","0.136363636","0.115384615","60","53.84615385","84.61538462","3.561253561","4.208754209","4.985754986","5.892255892","4.273504274","5.050505051","9.259259259","10.94276094"
"","","MZP2010UMB-AT08","","","","","","","","","MZP2010UMB-AT08-00040","","","","26","23","1","1","4","19","19","30","24","11","2","1.5","4","1","3","3","3","11.03","13","14.5","54","0.366666667","0.083333333","0.240740741","2.842105263","2.076923077","1.578947368","1.153846154","0.684210526","0.5","0.078947368","0.057692308","55.55555556","89.65517241","73.07692308","15.66951567","21.44249513","18.51851852","25.3411306","2.136752137","2.923976608","20.65527066","28.26510721"
