"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_late_season_drought","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00153","","","","84","26","26","13","17","166","3","5.6","4.6","1","3","8.6","13.2","183","0.176470588","0.03373494","0.046994536","7.038461538","0.653846154","0.330769231","0.176923077","9.289617486","65.15151515","1.322751323","3.791887125","2.028218695","5.82010582","1","2.178571429","0.202380952","0.102380952","0.054761905","30.95238095","4.273504274","12.25071225","6.552706553","18.8034188"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00154","","","","84","13","13","2","8","12","1.6","0.4","8.8","1","5","2","10.8","20","0.2","0.033333333","0.1","1.538461538","0.615384615","0.153846154","0.676923077","40","18.51851852","0.705467372","0.881834215","3.880070547","4.761904762","1","0.238095238","0.095238095","0.023809524","0.104761905","15.47619048","4.558404558","5.698005698","25.07122507","30.76923077"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00155","","","","84","52","52","17","22","82","3","3","45","1","3","6","51","104","0.136363636","0.036585366","0.057692308","2","0.423076923","0.115384615","0.865384615","21.15384615","11.76470588","1.322751323","2.645502646","19.84126984","22.48677249","1","1.238095238","0.261904762","0.071428571","0.535714286","61.9047619","2.136752137","4.273504274","32.05128205","36.32478632"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00156","","","","84","38","38","28","15","112","1.4","2.2","11.8","1","3","3.6","15.4","127","0.093333333","0.019642857","0.028346457","3.342105263","0.394736842","0.094736842","0.310526316","11.81102362","23.37662338","0.617283951","1.587301587","5.202821869","6.790123457","1","1.511904762","0.178571429","0.042857143","0.14047619","45.23809524","1.364522417","3.50877193","11.50097466","15.00974659"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00157","","","","84","22","22","0","0","0","0","0","4.4","","","0","4.4","0","","","","0","0","0","0.2","","0","0","0","1.940035273","1.940035273","1","0","0","0","0.052380952","26.19047619","0","0","7.407407407","7.407407407"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00158","","","","84","59","59","55","50","250","5","11","30","1","3","16","46","300","0.1","0.044","0.053333333","5.084745763","0.847457627","0.271186441","0.508474576","16.66666667","34.7826087","2.204585538","7.054673721","13.22751323","20.28218695","1","3.571428571","0.595238095","0.19047619","0.357142857","70.23809524","3.138731952","10.04394225","18.83239171","28.87633396"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00159","","","","84","41","41","14","12","24","1.8","1","22.8","1","3","2.8","25.6","36","0.15","0.041666667","0.077777778","0.87804878","0.292682927","0.068292683","0.556097561","33.33333333","10.9375","0.793650794","1.234567901","10.05291005","11.28747795","1","0.428571429","0.142857143","0.033333333","0.271428571","48.80952381","1.62601626","2.529358627","20.59620596","23.12556459"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00160","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00161","","","","84","71","71","54","126","510","16.4","18.6","41.6","1","3","35","76.6","636","0.13015873","0.036470588","0.055031447","8.957746479","1.774647887","0.492957746","0.585915493","19.81132075","45.69190601","7.231040564","15.43209877","18.34215168","33.77425044","1","7.571428571","1.5","0.416666667","0.495238095","84.52380952","8.555033907","18.25769431","21.70057381","39.95826813"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00162","","","","84","60","60","21","42","98","5.4","3.6","48.4","1","3","9","57.4","140","0.128571429","0.036734694","0.064285714","2.333333333","0.7","0.15","0.806666667","30","15.67944251","2.380952381","3.968253968","21.34038801","25.30864198","1","1.666666667","0.5","0.107142857","0.576190476","71.42857143","3.333333333","5.555555556","29.87654321","35.43209877"
