"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00041","","","","20","10","2","1","9","1","1","10","36","32","12","1","34","8","1","8","1","1","7.76","13","47","0.333333333","0.03125","68","6.8","3.4","3.6","1.8","1.3","0.65","3.4","1.7","52.94117647","27.65957447","50","20","21.66666667","56.66666667","78.33333333","0.191176471","40","43.33333333","113.3333333","156.6666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00042","","","","20","6","1","2","6","1","2","6","2","0","1","0","4","3","3","3","1","1","0","1","5","0.5","","2","0.333333333","0.1","0.333333333","0.1","0.166666667","0.05","0.666666667","0.2","100","20","30","1.666666667","1.666666667","6.666666667","8.333333333","0.5","5.555555556","5.555555556","22.22222222","27.77777778"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00043","","","","20","4","1","2","7","1","2","4","0","8","0","0.2","4","3","8","3","1","1","5.46","0.2","4.2","","0.025","8","2","0.4","0","0","0.05","0.01","1","0.2","0","4.761904762","20","0","0.333333333","6.666666667","7","0.025","0","1.666666667","33.33333333","35"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00044","","","","20","8","1","1","9","1","1","8","18","2","4","0.4","6","8","3","6","1","1","0","4.4","10.4","0.222222222","0.2","20","2.5","1","2.25","0.9","0.55","0.22","0.75","0.3","90","42.30769231","40","6.666666667","7.333333333","10","17.33333333","0.22","16.66666667","18.33333333","25","43.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00045","","","","20","12","1","1","9","1","1","12","0","0","0","0","20","","","","","","","0","20","","","0","0","0","0","0","0","0","1.666666667","1","","0","60","0","0","33.33333333","33.33333333","","0","0","55.55555556","55.55555556"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00046","","","","20","10","1","1","7","1","1","10","4","4","0.6","0.08","12","3","5","3","1","1","7.76","0.68","12.68","0.15","0.02","8","0.8","0.4","0.4","0.2","0.068","0.034","1.2","0.6","50","5.362776025","50","1","1.133333333","20","21.13333333","0.085","2","2.266666667","40","42.26666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00047","","","","20","12","1","1","9","1","1","12","32","6","8","0.2","10","8","1","8","1","1","10.5","8.2","18.2","0.25","0.033333333","38","3.166666667","1.9","2.666666667","1.6","0.683333333","0.41","0.833333333","0.5","84.21052632","45.05494505","60","13.33333333","13.66666667","16.66666667","30.33333333","0.215789474","22.22222222","22.77777778","27.77777778","50.55555556"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00048","","","","20","4","2","2","8","1","2","4","0","0","0","0","4","","","","","","","0","4","","","0","0","0","0","0","0","0","1","0.2","","0","20","0","0","6.666666667","6.666666667","","0","0","33.33333333","33.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00049","","","","20","18","1","1","9","1","1","18","40","36","6","1.8","40","5","3","3","1","1","1.17","7.8","47.8","0.15","0.05","76","4.222222222","3.8","2.222222222","2","0.433333333","0.39","2.222222222","2","52.63157895","16.31799163","90","10","13","66.66666667","79.66666667","0.102631579","11.11111111","14.44444444","74.07407407","88.51851852"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00050","","","","20","10","1","1","7","1","1","10","4","4","0.6","0.08","12","3","5","3","1","1","0.12","0.68","12.68","0.15","0.02","8","0.8","0.4","0.4","0.2","0.068","0.034","1.2","0.6","50","5.362776025","50","1","1.133333333","20","21.13333333","0.085","2","2.266666667","40","42.26666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00051","","","","20","10","2","2","7","1","2","10","12","","0.4","0.02","14","5","6","3","1","2","11.03","0.42","14.42","0.033333333","","","","","1.2","0.6","0.042","0.021","1.4","0.7","","2.912621359","50","0.666666667","0.7","23.33333333","24.03333333","","1.333333333","1.4","46.66666667","48.06666667"
