"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00031","","","","20","20","2","3","7","1","2","20","4","2","0.72","0.06","2","3","3","5","1","1","1.17","0.78","2.78","0.18","0.03","6","0.3","0.3","0.2","0.2","0.039","0.039","0.1","0.1","66.66666667","28.05755396","100","1.2","1.3","3.333333333","4.633333333","0.13","1.2","1.3","3.333333333","4.633333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00032","","","","20","18","1","2","5","1","2","18","13","3","17","0.2","13.6","","2","2","1","1","0.03","17.2","30.8","1.307692308","0.066666667","16","0.888888889","0.8","0.722222222","0.65","0.955555556","0.86","0.755555556","0.68","81.25","55.84415584","90","28.33333333","28.66666667","22.66666667","51.33333333","1.075","31.48148148","31.85185185","25.18518519","57.03703704"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00033","","","","20","10","2","4","8","1","2","10","0","14","0","0.2","2","","","","","","","0.2","2.2","","0.014285714","14","1.4","0.7","0","0","0.02","0.01","0.2","0.1","0","9.090909091","50","0","0.333333333","3.333333333","3.666666667","0.014285714","0","0.666666667","6.666666667","7.333333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00034","","","","20","16","2","4","7","1","2","16","8","0","1.2","0","5","3","4","1","5","1","0","1.2","6.2","0.15","","8","0.5","0.4","0.5","0.4","0.075","0.06","0.3125","0.25","100","19.35483871","80","2","2","8.333333333","10.33333333","0.15","2.5","2.5","10.41666667","12.91666667"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00035","","","","20","18","1","2","7","1","2","18","34","0","10","0","8","8","6","2","1","1","7.23","10","18","0.294117647","","34","1.888888889","1.7","1.888888889","1.7","0.555555556","0.5","0.444444444","0.4","100","55.55555556","90","16.66666667","16.66666667","13.33333333","30","0.294117647","18.51851852","18.51851852","14.81481481","33.33333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00036","","","","20","20","1","2","8","1","2","20","24","4","4.6","0.06","7.8","8","4","2","2","1","1.04","4.66","12.46","0.191666667","0.015","28","1.4","1.4","1.2","1.2","0.233","0.233","0.39","0.39","85.71428571","37.39967897","100","7.666666667","7.766666667","13","20.76666667","0.166428571","7.666666667","7.766666667","13","20.76666667"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00037","","","","20","18","3","2","9","1","2","18","34","16","2","0.4","30","2","3","5","1","1","0","2.4","32.4","0.058823529","0.025","50","2.777777778","2.5","1.888888889","1.7","0.133333333","0.12","1.666666667","1.5","68","7.407407407","90","3.333333333","4","50","54","0.048","3.703703704","4.444444444","55.55555556","60"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00038","","","","20","6","3","3","7","1","2","6","0","2","0","0.02","0.16","","","","","","","0.02","0.18","","0.01","2","0.333333333","0.1","0","0","0.003333333","0.001","0.026666667","0.008","0","11.11111111","30","0","0.033333333","0.266666667","0.3","0.01","0","0.111111111","0.888888889","1"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00039","","","","20","20","1","2","8","1","2","20","14","14","2","0.2","6","9","6","3","1","1","0","2.2","8.2","0.142857143","0.014285714","28","1.4","1.4","0.7","0.7","0.11","0.11","0.3","0.3","50","26.82926829","100","3.333333333","3.666666667","10","13.66666667","0.078571429","3.333333333","3.666666667","10","13.66666667"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00040","","","","20","20","1","3","9","1","2","20","24","14","3","0.2","14","3","7","5","1","1","4.92","3.2","17.2","0.125","0.014285714","38","1.9","1.9","1.2","1.2","0.16","0.16","0.7","0.7","63.15789474","18.60465116","100","5","5.333333333","23.33333333","28.66666667","0.084210526","5","5.333333333","23.33333333","28.66666667"
