"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00034","","","","20","15","3","3","6","1","1","15","17","17","3.2","0.38","1.8","3","5","4","1","1","0.12","3.58","5.38","0.188235294","0.022352941","34","2.266666667","1.7","1.133333333","0.85","0.238666667","0.179","0.12","0.09","50","66.54275093","75","0.105294118","5.333333333","5.966666667","3","8.966666667","7.111111111","7.955555556","4","11.95555556"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00035","","","","20","11","1","3","6","1","2","11","17","4","3.5","0.18","4.4","2","4","3","1","1","0","3.68","8.08","0.205882353","0.045","21","1.909090909","1.05","1.545454545","0.85","0.334545455","0.184","0.4","0.22","80.95238095","45.54455446","55","0.175238095","5.833333333","6.133333333","7.333333333","13.46666667","10.60606061","11.15151515","13.33333333","24.48484848"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00036","","","","20","10","2","3","7","1","1","8","2","4","0.22","0.21","5.5","8","6","3","1","1","1.38","0.43","5.93","0.11","0.0525","6","0.75","0.3","0.25","0.1","0.05375","0.0215","0.6875","0.275","33.33333333","7.251264755","40","0.071666667","0.366666667","0.716666667","9.166666667","9.883333333","0.916666667","1.791666667","22.91666667","24.70833333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00037","","","","20","11","2","2","6","1","2","7","4","3","0.6","0.2","1.4","2","6","7","1","1","0.02","0.8","2.2","0.15","0.066666667","7","1","0.35","0.571428571","0.2","0.114285714","0.04","0.2","0.07","57.14285714","36.36363636","35","0.114285714","1","1.333333333","2.333333333","3.666666667","2.857142857","3.80952381","6.666666667","10.47619048"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00038","","","","20","12","2","2","7","1","1","8","1","0","0.12","0","4.5","3","6","3","1","1","10.5","0.12","4.62","0.12","","1","0.125","0.05","0.125","0.05","0.015","0.006","0.5625","0.225","100","2.597402597","40","0.12","0.2","0.2","7.5","7.7","0.5","0.5","18.75","19.25"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00039","","","","20","12","2","2","8","1","1","12","9","7","1.6","0.28","1.5","8","4","7","1","1","0","1.88","3.38","0.177777778","0.04","16","1.333333333","0.8","0.75","0.45","0.156666667","0.094","0.125","0.075","56.25","55.62130178","60","0.1175","2.666666667","3.133333333","2.5","5.633333333","4.444444444","5.222222222","4.166666667","9.388888889"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00040","","","","20","14","2","2","7","1","1","12","12","0","3","0","3","9","2","4","1","1","0","3","6","0.25","","12","1","0.6","1","0.6","0.25","0.15","0.25","0.15","100","50","60","0.25","5","5","5","10","8.333333333","8.333333333","8.333333333","16.66666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00041","","","","20","12","2","2","7","1","1","11","10","2","1.4","0.16","6.3","2","3","7","1","1","0","1.56","7.86","0.14","0.08","12","1.090909091","0.6","0.909090909","0.5","0.141818182","0.078","0.572727273","0.315","83.33333333","19.84732824","55","0.13","2.333333333","2.6","10.5","13.1","4.242424242","4.727272727","19.09090909","23.81818182"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00042","","","","20","17","2","2","8","2","2","16","6","0","0.5","0","4.8","8","5","3","1","1","3.96","0.5","5.3","0.083333333","","6","0.375","0.3","0.375","0.3","0.03125","0.025","0.3","0.24","100","9.433962264","80","0.083333333","0.833333333","0.833333333","8","8.833333333","1.041666667","1.041666667","10","11.04166667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00043","","","","20","16","2","3","6","1","2","11","0","3","0","0.18","0.3","2","8","3","1","1","0","0.18","0.48","","0.06","3","0.272727273","0.15","0","0","0.016363636","0.009","0.027272727","0.015","0","37.5","55","0.06","0","0.3","0.5","0.8","0","0.545454545","0.909090909","1.454545455"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00044","","","","20","17","2","2","7","1","2","12","0","0","0","0","7","","","","","","","0","7","","","0","0","0","0","0","0","0","0.583333333","0.35","","0","60","","0","0","11.66666667","11.66666667","0","0","19.44444444","19.44444444"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00045","","","","20","16","2","2","7","1","1","14","5","4","0.9","0.22","5","9","5","3","1","3","0","1.12","6.12","0.18","0.055","9","0.642857143","0.45","0.357142857","0.25","0.08","0.056","0.357142857","0.25","55.55555556","18.30065359","70","0.124444444","1.5","1.866666667","8.333333333","10.2","2.142857143","2.666666667","11.9047619","14.57142857"
