"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00069","","","","10","7","1","2","8","2","2","7","5","3","1","0.02","55","3","1","1","3","5","0.02","1.02","56.02","8","0.2","0.006666667","0.1275","1.142857143","0.8","0.714285714","0.5","0.145714286","0.102","7.857142857","5.5","62.5","1.820778293","70","3.333333333","3.4","183.3333333","186.7333333","4.761904762","4.857142857","261.9047619","266.7619048"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00070","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00071","","","","10","7","2","2","9","2","2","5","4","0","1.5","0","35","8","2","1","4","3","0","1.5","36.5","4","0.375","","0.375","0.8","0.4","0.8","0.4","0.3","0.15","7","3.5","100","4.109589041","50","5","5","116.6666667","121.6666667","10","10","233.3333333","243.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00072","","","","10","6","2","3","8","2","2","6","1","0","0.7","0","25","3","","1","2","2","0","0.7","25.7","1","0.7","","0.7","0.166666667","0.1","0.166666667","0.1","0.116666667","0.07","4.166666667","2.5","100","2.723735409","60","2.333333333","2.333333333","83.33333333","85.66666667","3.888888889","3.888888889","138.8888889","142.7777778"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00073","","","","10","7","2","2","9","2","2","5","0","3","0","0.03","37","9","","1","3","7","0","0.03","37.03","3","","0.01","0.01","0.6","0.3","0","0","0.006","0.003","7.4","3.7","0","0.081015393","50","0","0.1","123.3333333","123.4333333","0","0.2","246.6666667","246.8666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00074","","","","10","6","2","2","8","2","2","6","10","2","5","0.03","36","9","","1","3","2","0","5.03","41.03","12","0.5","0.015","0.419166667","2","1.2","1.666666667","1","0.838333333","0.503","6","3.6","83.33333333","12.25932245","60","16.66666667","16.76666667","120","136.7666667","27.77777778","27.94444444","200","227.9444444"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00075","","","","10","7","2","2","8","2","2","2","2","0","0.4","0","12","8","","1","3","6","0","0.4","12.4","2","0.2","","0.2","1","0.2","1","0.2","0.2","0.04","6","1.2","100","3.225806452","20","1.333333333","1.333333333","40","41.33333333","6.666666667","6.666666667","200","206.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00076","","","","10","6","2","2","7","2","2","5","1","0","0.1","0","15","9","","1","3","6","0","0.1","15.1","1","0.1","","0.1","0.2","0.1","0.2","0.1","0.02","0.01","3","1.5","100","0.662251656","50","0.333333333","0.333333333","50","50.33333333","0.666666667","0.666666667","100","100.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00077","","","","10","10","1","2","9","2","2","7","6","7","1","0.45","21","3","2","1","7","5","0.12","1.45","22.45","13","0.166666667","0.064285714","0.111538462","1.857142857","1.3","0.857142857","0.6","0.207142857","0.145","3","2.1","46.15384615","6.458797327","70","3.333333333","4.833333333","70","74.83333333","4.761904762","6.904761905","100","106.9047619"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00078","","","","10","8","3","3","8","2","2","5","0","4","0","0.5","60","3","2","1","3","7","0","0.5","60.5","4","","0.125","0.125","0.8","0.4","0","0","0.1","0.05","12","6","0","0.826446281","50","0","1.666666667","200","201.6666667","0","3.333333333","400","403.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00079","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00080","","","","10","7","2","3","8","2","2","7","7","0","2.95","0","30","4","2","1","2","3","0.12","2.95","32.95","7","0.421428571","","0.421428571","1","0.7","1","0.7","0.421428571","0.295","4.285714286","3","100","8.952959029","70","9.833333333","9.833333333","100","109.8333333","14.04761905","14.04761905","142.8571429","156.9047619"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00081","","","","10","7","2","2","9","2","2","7","20","18","4.1","1.2","23","3","2","1","8","4","0","5.3","28.3","38","0.205","0.066666667","0.139473684","5.428571429","3.8","2.857142857","2","0.757142857","0.53","3.285714286","2.3","52.63157895","18.72791519","70","13.66666667","17.66666667","76.66666667","94.33333333","19.52380952","25.23809524","109.5238095","134.7619048"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00082","","","","10","7","2","2","8","2","2","5","0","1","0","0.01","9","9","1","1","7","7","0","0.01","9.01","1","","0.01","0.01","0.2","0.1","0","0","0.002","0.001","1.8","0.9","0","0.110987791","50","0","0.033333333","30","30.03333333","0","0.066666667","60","60.06666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00083","","","","10","3","3","2","7","2","2","2","1","0","0.3","0","23","8","1","1","3","3","0","0.3","23.3","1","0.3","","0.3","0.5","0.1","0.5","0.1","0.15","0.03","11.5","2.3","100","1.287553648","20","1","1","76.66666667","77.66666667","5","5","383.3333333","388.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00084","","","","10","4","2","2","8","2","2","4","2","1","0.25","0.02","20","3","1","1","4","5","0","0.27","20.27","3","0.125","0.02","0.09","0.75","0.3","0.5","0.2","0.0675","0.027","5","2","66.66666667","1.33201776","40","0.833333333","0.9","66.66666667","67.56666667","2.083333333","2.25","166.6666667","168.9166667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00085","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00086","","","","10","4","2","2","8","2","2","4","1","4","0.4","0.03","40","4","2","1","4","7","7.23","0.43","40.43","5","0.4","0.0075","0.086","1.25","0.5","0.25","0.1","0.1075","0.043","10","4","20","1.063566658","40","1.333333333","1.433333333","133.3333333","134.7666667","3.333333333","3.583333333","333.3333333","336.9166667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00087","","","","10","7","2","2","8","2","2","4","7","5","2","0.03","15","8","1","1","3","3","1.04","2.03","17.03","12","0.285714286","0.006","0.169166667","3","1.2","1.75","0.7","0.5075","0.203","3.75","1.5","58.33333333","11.92014093","40","6.666666667","6.766666667","50","56.76666667","16.66666667","16.91666667","125","141.9166667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00088","","","","10","7","2","2","7","2","2","6","5","8","0.7","0.05","24","3","1","1","3","6","7.23","0.75","24.75","13","0.14","0.00625","0.057692308","2.166666667","1.3","0.833333333","0.5","0.125","0.075","4","2.4","38.46153846","3.03030303","60","2.333333333","2.5","80","82.5","3.888888889","4.166666667","133.3333333","137.5"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00089","","","","10","8","3","2","7","2","2","6","3","7","0.6","0.02","25","3","1","1","3","7","0","0.62","25.62","10","0.2","0.002857143","0.062","1.666666667","1","0.5","0.3","0.103333333","0.062","4.166666667","2.5","30","2.419984387","60","2","2.066666667","83.33333333","85.4","3.333333333","3.444444444","138.8888889","142.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00090","","","","10","4","2","3","6","2","2","4","14","13","1.7","0.1","15","3","2","1","3","5","0","1.8","16.8","27","0.121428571","0.007692308","0.066666667","6.75","2.7","3.5","1.4","0.45","0.18","3.75","1.5","51.85185185","10.71428571","40","5.666666667","6","50","56","14.16666667","15","125","140"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00091","","","","10","5","3","3","6","2","2","5","4","3","0.5","0.01","15","5","1","1","3","6","10.5","0.51","15.51","7","0.125","0.003333333","0.072857143","1.4","0.7","0.8","0.4","0.102","0.051","3","1.5","57.14285714","3.288201161","50","1.666666667","1.7","50","51.7","3.333333333","3.4","100","103.4"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00092","","","","10","9","2","2","9","2","2","5","12","2","4","0.02","29","4","1","1","6","3","0","4.02","33.02","14","0.333333333","0.01","0.287142857","2.8","1.4","2.4","1.2","0.804","0.402","5.8","2.9","85.71428571","12.17443973","50","13.33333333","13.4","96.66666667","110.0666667","26.66666667","26.8","193.3333333","220.1333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00093","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00094","","","","10","6","1","2","9","2","2","6","3","5","0.5","0.04","68","3","2","1","7","7","0.12","0.54","68.54","8","0.166666667","0.008","0.0675","1.333333333","0.8","0.5","0.3","0.09","0.054","11.33333333","6.8","37.5","0.787861103","60","1.666666667","1.8","226.6666667","228.4666667","2.777777778","3","377.7777778","380.7777778"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00095","","","","10","7","1","2","9","2","1","7","9","3","5","0.05","26","3","","1","6","1","0","5.05","31.05","12","0.555555556","0.016666667","0.420833333","1.714285714","1.2","1.285714286","0.9","0.721428571","0.505","3.714285714","2.6","75","16.26409018","70","16.66666667","16.83333333","86.66666667","103.5","23.80952381","24.04761905","123.8095238","147.8571429"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00096","","","","10","8","3","2","8","2","2","5","5","5","1","0.02","23","4","2","1","8","5","0.12","1.02","24.02","10","0.2","0.004","0.102","2","1","1","0.5","0.204","0.102","4.6","2.3","50","4.246461282","50","3.333333333","3.4","76.66666667","80.06666667","6.666666667","6.8","153.3333333","160.1333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00097","","","","10","8","2","2","8","2","2","4","0","0","0","0","31","","","","","","","0","31","0","","","","0","0","0","0","0","0","7.75","3.1","","0","40","0","0","103.3333333","103.3333333","0","0","258.3333333","258.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00098","","","","10","9","","2","8","2","2","5","5","4","1.9","0.03","24","8","1","1","3","2","0","1.93","25.93","9","0.38","0.0075","0.214444444","1.8","0.9","1","0.5","0.386","0.193","4.8","2.4","55.55555556","7.443116082","50","6.333333333","6.433333333","80","86.43333333","12.66666667","12.86666667","160","172.8666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00099","","","","10","6","2","2","9","2","2","6","7","0","2.2","0","35","3","2","1","4","2","0","2.2","37.2","7","0.314285714","","0.314285714","1.166666667","0.7","1.166666667","0.7","0.366666667","0.22","5.833333333","3.5","100","5.913978495","60","7.333333333","7.333333333","116.6666667","124","12.22222222","12.22222222","194.4444444","206.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00100","","","","10","8","2","3","9","2","2","5","9","1","3","0.01","31","9","2","1","4","2","0","3.01","34.01","10","0.333333333","0.01","0.301","2","1","1.8","0.9","0.602","0.301","6.2","3.1","90","8.850338136","50","10","10.03333333","103.3333333","113.3666667","20","20.06666667","206.6666667","226.7333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00101","","","","10","9","2","3","9","2","2","8","0","0","0","0","35","","","","","","","0","35","0","","","","0","0","0","0","0","0","4.375","3.5","","0","80","0","0","116.6666667","116.6666667","0","0","145.8333333","145.8333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00102","","","","10","8","2","3","8","2","2","5","1","0","0.08","0","22","3","1","1","3","5","0.12","0.08","22.08","1","0.08","","0.08","0.2","0.1","0.2","0.1","0.016","0.008","4.4","2.2","100","0.362318841","50","0.266666667","0.266666667","73.33333333","73.6","0.533333333","0.533333333","146.6666667","147.2"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00103","","","","10","8","3","2","7","2","2","8","0","2","0","0.02","30","3","1","1","7","7","0","0.02","30.02","2","","0.01","0.01","0.25","0.2","0","0","0.0025","0.002","3.75","3","0","0.066622252","80","0","0.066666667","100","100.0666667","0","0.083333333","125","125.0833333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00104","","","","10","7","2","2","7","2","2","6","8","1","2","0.03","6","9","1","1","3","3","0.12","2.03","8.03","9","0.25","0.03","0.225555556","1.5","0.9","1.333333333","0.8","0.338333333","0.203","1","0.6","88.88888889","25.28019925","60","6.666666667","6.766666667","20","26.76666667","11.11111111","11.27777778","33.33333333","44.61111111"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00105","","","","10","8","3","3","7","2","2","5","5","2","1.1","0.02","17","5","2","1","3","3","0.12","1.12","18.12","7","0.22","0.01","0.16","1.4","0.7","1","0.5","0.224","0.112","3.4","1.7","71.42857143","6.181015453","50","3.666666667","3.733333333","56.66666667","60.4","7.333333333","7.466666667","113.3333333","120.8"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00106","","","","10","8","2","2","7","2","2","8","6","0","1.4","0","14","9","2","1","7","3","0","1.4","15.4","6","0.233333333","","0.233333333","0.75","0.6","0.75","0.6","0.175","0.14","1.75","1.4","100","9.090909091","80","4.666666667","4.666666667","46.66666667","51.33333333","5.833333333","5.833333333","58.33333333","64.16666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00107","","","","10","4","2","2","7","2","2","4","2","1","0.45","0.01","4","4","2","1","3","5","0","0.46","4.46","3","0.225","0.01","0.153333333","0.75","0.3","0.5","0.2","0.115","0.046","1","0.4","66.66666667","10.31390135","40","1.5","1.533333333","13.33333333","14.86666667","3.75","3.833333333","33.33333333","37.16666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00108","","","","10","10","3","2","8","2","2","8","0","1","0","0.02","18","9","1","1","3","6","0","0.02","18.02","1","","0.02","0.02","0.125","0.1","0","0","0.0025","0.002","2.25","1.8","0","0.110987791","80","0","0.066666667","60","60.06666667","0","0.083333333","75","75.08333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00109","","","","10","8","2","3","8","2","2","8","1","1","0.05","0.02","22","8","1","1","7","6","0.12","0.07","22.07","2","0.05","0.02","0.035","0.25","0.2","0.125","0.1","0.00875","0.007","2.75","2.2","50","0.317172633","80","0.166666667","0.233333333","73.33333333","73.56666667","0.208333333","0.291666667","91.66666667","91.95833333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00110","","","","10","9","2","2","8","2","2","7","6","3","0.5","0.03","10","3","1","1","4","3","0.12","0.53","10.53","9","0.083333333","0.01","0.058888889","1.285714286","0.9","0.857142857","0.6","0.075714286","0.053","1.428571429","1","66.66666667","5.033238367","70","1.666666667","1.766666667","33.33333333","35.1","2.380952381","2.523809524","47.61904762","50.14285714"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00111","","","","10","7","2","2","7","2","2","5","0","0","0","0","32","","","","","","","0","32","0","","","","0","0","0","0","0","0","6.4","3.2","","0","50","0","0","106.6666667","106.6666667","0","0","213.3333333","213.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00112","","","","10","9","2","2","7","2","2","6","1","2","0.05","0.02","12","9","1","1","6","6","0","0.07","12.07","3","0.05","0.01","0.023333333","0.5","0.3","0.166666667","0.1","0.011666667","0.007","2","1.2","33.33333333","0.57995029","60","0.166666667","0.233333333","40","40.23333333","0.277777778","0.388888889","66.66666667","67.05555556"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00113","","","","10","7","2","2","8","2","2","6","0","0","0","0","21","","","","","","","0","21","0","","","","0","0","0","0","0","0","3.5","2.1","","0","60","0","0","70","70","0","0","116.6666667","116.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00114","","","","10","7","3","3","7","2","2","6","1","1","0.1","0.01","33","3","1","1","3","4","0","0.11","33.11","2","0.1","0.01","0.055","0.333333333","0.2","0.166666667","0.1","0.018333333","0.011","5.5","3.3","50","0.332225914","60","0.333333333","0.366666667","110","110.3666667","0.555555556","0.611111111","183.3333333","183.9444444"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00115","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00116","","","","10","5","6","5","7","2","2","3","2","2","0.5","0.01","3","3","1","1","2","5","0","0.51","3.51","4","0.25","0.005","0.1275","1.333333333","0.4","0.666666667","0.2","0.17","0.051","1","0.3","50","14.52991453","30","1.666666667","1.7","10","11.7","5.555555556","5.666666667","33.33333333","39"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00117","","","","10","7","2","2","9","2","2","5","0","6","0","0.1","48","3","2","1","7","6","0","0.1","48.1","6","","0.016666667","0.016666667","1.2","0.6","0","0","0.02","0.01","9.6","4.8","0","0.207900208","50","0","0.333333333","160","160.3333333","0","0.666666667","320","320.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00118","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00119","","","","10","7","3","3","7","2","2","5","2","3","0.7","0.02","3","5","2","1","4","3","10.5","0.72","3.72","5","0.35","0.006666667","0.144","1","0.5","0.4","0.2","0.144","0.072","0.6","0.3","40","19.35483871","50","2.333333333","2.4","10","12.4","4.666666667","4.8","20","24.8"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00120","","","","10","7","2","2","8","2","2","4","16","14","4","0.7","18","9","2","1","4","3","0","4.7","22.7","30","0.25","0.05","0.156666667","7.5","3","4","1.6","1.175","0.47","4.5","1.8","53.33333333","20.70484581","40","13.33333333","15.66666667","60","75.66666667","33.33333333","39.16666667","150","189.1666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00121","","","","10","8","2","2","7","2","2","5","0","3","0","0.02","11","4","2","1","7","7","0.15","0.02","11.02","3","","0.006666667","0.006666667","0.6","0.3","0","0","0.004","0.002","2.2","1.1","0","0.181488203","50","0","0.066666667","36.66666667","36.73333333","0","0.133333333","73.33333333","73.46666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00122","","","","10","5","2","2","8","2","2","5","9","8","2.3","0.5","7","4","2","1","7","5","0","2.8","9.8","17","0.255555556","0.0625","0.164705882","3.4","1.7","1.8","0.9","0.56","0.28","1.4","0.7","52.94117647","28.57142857","50","7.666666667","9.333333333","23.33333333","32.66666667","15.33333333","18.66666667","46.66666667","65.33333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00123","","","","10","7","2","2","6","2","2","2","0","1","0","0.01","5","9","2","1","7","7","1.04","0.01","5.01","1","","0.01","0.01","0.5","0.1","0","0","0.005","0.001","2.5","0.5","0","0.199600798","20","0","0.033333333","16.66666667","16.7","0","0.166666667","83.33333333","83.5"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00124","","","","10","6","3","3","7","2","2","6","0","2","0","0.02","8","4","1","1","3","7","3.96","0.02","8.02","2","","0.01","0.01","0.333333333","0.2","0","0","0.003333333","0.002","1.333333333","0.8","0","0.249376559","60","0","0.066666667","26.66666667","26.73333333","0","0.111111111","44.44444444","44.55555556"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00125","","","","10","10","4","3","7","2","2","7","2","5","0.7","0.03","10","3","1","1","3","3","0","0.73","10.73","7","0.35","0.006","0.104285714","1","0.7","0.285714286","0.2","0.104285714","0.073","1.428571429","1","28.57142857","6.803355079","70","2.333333333","2.433333333","33.33333333","35.76666667","3.333333333","3.476190476","47.61904762","51.0952381"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00126","","","","10","8","3","3","7","2","2","7","0","1","0","0.02","20","9","2","1","4","5","1.76","0.02","20.02","1","","0.02","0.02","0.142857143","0.1","0","0","0.002857143","0.002","2.857142857","2","0","0.0999001","70","0","0.066666667","66.66666667","66.73333333","0","0.095238095","95.23809524","95.33333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00127","","","","10","10","2","2","9","2","2","3","6","6","1","0.5","5","5","2","1","3","5","0","1.5","6.5","12","0.166666667","0.083333333","0.125","4","1.2","2","0.6","0.5","0.15","1.666666667","0.5","50","23.07692308","30","3.333333333","5","16.66666667","21.66666667","11.11111111","16.66666667","55.55555556","72.22222222"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00128","","","","10","7","2","2","9","2","2","5","0","1","0","0.03","6","3","1","1","3","6","0","0.03","6.03","1","","0.03","0.03","0.2","0.1","0","0","0.006","0.003","1.2","0.6","0","0.497512438","50","0","0.1","20","20.1","0","0.2","40","40.2"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00129","","","","10","5","3","3","8","2","2","2","2","3","0.3","0.02","11","8","1","1","4","6","0","0.32","11.32","5","0.15","0.006666667","0.064","2.5","0.5","1","0.2","0.16","0.032","5.5","1.1","40","2.826855124","20","1","1.066666667","36.66666667","37.73333333","5","5.333333333","183.3333333","188.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00130","","","","10","8","4","3","8","2","2","8","1","0","0.2","0","3","3","1","1","3","5","0","0.2","3.2","1","0.2","","0.2","0.125","0.1","0.125","0.1","0.025","0.02","0.375","0.3","100","6.25","80","0.666666667","0.666666667","10","10.66666667","0.833333333","0.833333333","12.5","13.33333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00131","","","","10","8","2","2","6","2","2","6","6","2","1.5","0.02","2","5","1","1","4","4","0.02","1.52","3.52","8","0.25","0.01","0.19","1.333333333","0.8","1","0.6","0.253333333","0.152","0.333333333","0.2","75","43.18181818","60","5","5.066666667","6.666666667","11.73333333","8.333333333","8.444444444","11.11111111","19.55555556"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00132","","","","10","9","2","2","8","2","2","7","0","0","0","0","20","","","","","","","0","20","0","","","","0","0","0","0","0","0","2.857142857","2","","0","70","0","0","66.66666667","66.66666667","0","0","95.23809524","95.23809524"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00133","","","","10","7","3","3","8","2","2","7","7","3","2.2","0.04","38","9","2","1","3","2","0","2.24","40.24","10","0.314285714","0.013333333","0.224","1.428571429","1","1","0.7","0.32","0.224","5.428571429","3.8","70","5.566600398","70","7.333333333","7.466666667","126.6666667","134.1333333","10.47619048","10.66666667","180.952381","191.6190476"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00134","","","","10","8","2","2","7","2","2","7","6","0","2.4","0","15","4","2","1","4","2","0","2.4","17.4","6","0.4","","0.4","0.857142857","0.6","0.857142857","0.6","0.342857143","0.24","2.142857143","1.5","100","13.79310345","70","8","8","50","58","11.42857143","11.42857143","71.42857143","82.85714286"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00135","","","","10","7","2","2","7","2","2","6","0","0","0","0","27","","","","","","","0","27","0","","","","0","0","0","0","0","0","4.5","2.7","","0","60","0","0","90","90","0","0","150","150"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00136","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00137","","","","10","7","2","2","7","3","2","5","4","8","0.3","0.05","21","9","2","1","","6","0.02","0.35","21.35","12","0.075","0.00625","0.029166667","2.4","1.2","0.8","0.4","0.07","0.035","4.2","2.1","33.33333333","1.639344262","50","1","1.166666667","70","71.16666667","2","2.333333333","140","142.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00138","","","","10","8","2","2","9","2","2","8","0","2","0","0.04","40","9","1","1","4","7","0","0.04","40.04","2","","0.02","0.02","0.25","0.2","0","0","0.005","0.004","5","4","0","0.0999001","80","0","0.133333333","133.3333333","133.4666667","0","0.166666667","166.6666667","166.8333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00139","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00140","","","","10","7","2","2","9","2","2","5","40","18","11","1","32","3","2","1","8","2","0","12","44","58","0.275","0.055555556","0.206896552","11.6","5.8","8","4","2.4","1.2","6.4","3.2","68.96551724","27.27272727","50","36.66666667","40","106.6666667","146.6666667","73.33333333","80","213.3333333","293.3333333"
