"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00032","","","","30","18.91","26","91","40","26.97","1.08","28.05","46.96","131","0.296373626","0.027","0.214122137","5.038461538","4.366666667","3.5","3.033333333","1.078846154","0.935","0.727307692","0.630333333","69.46564885","59.73168654","86.66666667","39.95555556","46.1025641","41.55555556","47.94871795","28.01481481","32.32478632","69.57037037","80.27350427"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00033","","","","30","20.08","18","32","24","5.39","0.82","6.21","26.29","56","0.1684375","0.034166667","0.110892857","3.111111111","1.866666667","1.777777778","1.066666667","0.345","0.207","1.115555556","0.669333333","57.14285714","23.62114873","60","7.985185185","13.30864198","9.2","15.33333333","29.74814815","49.58024691","38.94814815","64.91358025"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00034","","","","30","16.01","25","32","54","5.2","1.92","7.12","23.13","86","0.1625","0.035555556","0.082790698","3.44","2.866666667","1.28","1.066666667","0.2848","0.237333333","0.6404","0.533666667","37.20930233","30.78253351","83.33333333","7.703703704","9.244444444","10.54814815","12.65777778","23.71851852","28.46222222","34.26666667","41.12"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00035","","","","30","14.5","20","50","26","13.78","1.19","14.97","29.47","76","0.2756","0.045769231","0.196973684","3.8","2.533333333","2.5","1.666666667","0.7485","0.499","0.725","0.483333333","65.78947368","50.79742111","66.66666667","20.41481481","30.62222222","22.17777778","33.26666667","21.48148148","32.22222222","43.65925926","65.48888889"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00036","","","","30","6.99","15","27","55","6.1","1.36","7.46","14.45","82","0.225925926","0.024727273","0.09097561","5.466666667","2.733333333","1.8","0.9","0.497333333","0.248666667","0.466","0.233","32.92682927","51.62629758","50","9.037037037","18.07407407","11.05185185","22.1037037","10.35555556","20.71111111","21.40740741","42.81481481"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00037","","","","30","39.63","25","78","53","15.92","2.03","17.95","57.58","131","0.204102564","0.038301887","0.137022901","5.24","4.366666667","3.12","2.6","0.718","0.598333333","1.5852","1.321","59.54198473","31.17401876","83.33333333","23.58518519","28.30222222","26.59259259","31.91111111","58.71111111","70.45333333","85.3037037","102.3644444"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00038","","","","30","22.12","21","61","47","13.85","1.33","15.18","37.3","108","0.22704918","0.028297872","0.140555556","5.142857143","3.6","2.904761905","2.033333333","0.722857143","0.506","1.053333333","0.737333333","56.48148148","40.69705094","70","20.51851852","29.31216931","22.48888889","32.12698413","32.77037037","46.81481481","55.25925926","78.94179894"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00039","","","","30","21.73","26","65","32","15.16","1.35","16.51","38.24","97","0.233230769","0.0421875","0.170206186","3.730769231","3.233333333","2.5","2.166666667","0.635","0.550333333","0.835769231","0.724333333","67.01030928","43.17468619","86.66666667","22.45925926","25.91452991","24.45925926","28.22222222","32.19259259","37.14529915","56.65185185","65.36752137"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00040","","","","30","20.69","23","58","31","10.9","0.83","11.73","32.42","89","0.187931034","0.026774194","0.131797753","3.869565217","2.966666667","2.52173913","1.933333333","0.51","0.391","0.899565217","0.689666667","65.16853933","36.18136952","76.66666667","16.14814815","21.06280193","17.37777778","22.66666667","30.65185185","39.98067633","48.02962963","62.647343"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00041","","","","30","20.22","26","47","134","9.4","3.8","13.2","33.42","181","0.2","0.028358209","0.072928177","6.961538462","6.033333333","1.807692308","1.566666667","0.507692308","0.44","0.777692308","0.674","25.96685083","39.497307","86.66666667","13.92592593","16.06837607","19.55555556","22.56410256","29.95555556","34.56410256","49.51111111","57.12820513"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00042","","","","30","22.59","23","45","64","9.06","2.46","11.52","34.11","109","0.201333333","0.0384375","0.105688073","4.739130435","3.633333333","1.956521739","1.5","0.500869565","0.384","0.982173913","0.753","41.28440367","33.77308707","76.66666667","13.42222222","17.50724638","17.06666667","22.26086957","33.46666667","43.65217391","50.53333333","65.91304348"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00043","","","","30","16.05","21","45","83","6.94","3.13","10.07","26.12","128","0.154222222","0.037710843","0.078671875","6.095238095","4.266666667","2.142857143","1.5","0.47952381","0.335666667","0.764285714","0.535","35.15625","38.55283308","70","10.28148148","14.68783069","14.91851852","21.31216931","23.77777778","33.96825397","38.6962963","55.28042328"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00044","","","","30","16.09","23","27","60","6.09","2.03","8.12","24.21","87","0.225555556","0.033833333","0.093333333","3.782608696","2.9","1.173913043","0.9","0.353043478","0.270666667","0.699565217","0.536333333","31.03448276","33.53985956","76.66666667","9.022222222","11.76811594","12.02962963","15.69082126","23.83703704","31.09178744","35.86666667","46.7826087"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00045","","","","30","28.02","23","30","38","5.12","1.54","6.66","34.68","68","0.170666667","0.040526316","0.097941176","2.956521739","2.266666667","1.304347826","1","0.289565217","0.222","1.21826087","0.934","44.11764706","19.20415225","76.66666667","7.585185185","9.893719807","9.866666667","12.86956522","41.51111111","54.14492754","51.37777778","67.01449275"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00046","","","","30","21.92","20","44","24","6.78","1.03","7.81","29.73","68","0.154090909","0.042916667","0.114852941","3.4","2.266666667","2.2","1.466666667","0.3905","0.260333333","1.096","0.730666667","64.70588235","26.26976118","66.66666667","10.04444444","15.06666667","11.57037037","17.35555556","32.47407407","48.71111111","44.04444444","66.06666667"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00047","","","","30","27.09","24","28","40","5.49","1.34","6.83","33.92","68","0.196071429","0.0335","0.100441176","2.833333333","2.266666667","1.166666667","0.933333333","0.284583333","0.227666667","1.12875","0.903","41.17647059","20.13561321","80","8.133333333","10.16666667","10.11851852","12.64814815","40.13333333","50.16666667","50.25185185","62.81481481"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00048","","","","30","33.7","25","46","38","7.83","1.31","9.14","42.84","84","0.170217391","0.034473684","0.108809524","3.36","2.8","1.84","1.533333333","0.3656","0.304666667","1.348","1.123333333","54.76190476","21.33520075","83.33333333","11.6","13.92","13.54074074","16.24888889","49.92592593","59.91111111","63.46666667","76.16"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00049","","","","30","15.62","29","134","124","20.09","4.28","24.37","39.99","258","0.149925373","0.034516129","0.094457364","8.896551724","8.6","4.620689655","4.466666667","0.840344828","0.812333333","0.53862069","0.520666667","51.9379845","60.94023506","96.66666667","29.76296296","30.78927203","36.1037037","37.348659","23.14074074","23.93869732","59.24444444","61.28735632"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00050","","","","30","12.7","30","95","292","10.88","8.32","19.2","31.9","387","0.114526316","0.028493151","0.049612403","12.9","12.9","3.166666667","3.166666667","0.64","0.64","0.423333333","0.423333333","24.54780362","60.18808777","100","16.11851852","16.11851852","28.44444444","28.44444444","18.81481481","18.81481481","47.25925926","47.25925926"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00051","","","","30","26.38","30","80","160","7.76","4.13","11.89","38.27","240","0.097","0.0258125","0.049541667","8","8","2.666666667","2.666666667","0.396333333","0.396333333","0.879333333","0.879333333","33.33333333","31.06872224","100","11.4962963","11.4962963","17.61481481","17.61481481","39.08148148","39.08148148","56.6962963","56.6962963"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00052","","","","30","16.94","21","77","108","6.25","1.93","8.18","25.12","185","0.081168831","0.01787037","0.044216216","8.80952381","6.166666667","3.666666667","2.566666667","0.38952381","0.272666667","0.806666667","0.564666667","41.62162162","32.56369427","70","9.259259259","13.22751323","12.11851852","17.31216931","25.0962963","35.85185185","37.21481481","53.16402116"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00053","","","","30","36.57","28","117","116","20.33","4.8","25.13","61.7","233","0.173760684","0.04137931","0.107854077","8.321428571","7.766666667","4.178571429","3.9","0.8975","0.837666667","1.306071429","1.219","50.21459227","40.72933549","93.33333333","30.11851852","32.26984127","37.22962963","39.88888889","54.17777778","58.04761905","91.40740741","97.93650794"
