LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
260	PG17133-A12					6	Ghana-CIP		bdeboeck							
261	PG17133-A13					6	Ghana-CIP		bdeboeck							
262	PG17133-A14					6	Ghana-CIP		bdeboeck							
263	PG17133-A3					6	Ghana-CIP		bdeboeck							
264	PG17133-A4					6	Ghana-CIP		bdeboeck							
265	PG17133-A7					6	Ghana-CIP		bdeboeck							
266	PG17133-A9					6	Ghana-CIP		bdeboeck							
267	PG17135-A1					6	Ghana-CIP		bdeboeck							
268	PG17135-A11					6	Ghana-CIP		bdeboeck							
269	PG17135-A12					6	Ghana-CIP		bdeboeck							
270	PG17135-A13					6	Ghana-CIP		bdeboeck							
271	PG17135-A2					6	Ghana-CIP		bdeboeck							
272	PG17135-A3					6	Ghana-CIP		bdeboeck							
273	PG17135-A4					6	Ghana-CIP		bdeboeck							
274	PG17136-A1					6	Ghana-CIP		bdeboeck							
275	PG17136-A10					6	Ghana-CIP		bdeboeck							
276	PG17136-A2					6	Ghana-CIP		bdeboeck							
277	PG17136-A3					6	Ghana-CIP		bdeboeck							
278	PG17136-A4					6	Ghana-CIP		bdeboeck							
279	PG17136-A5					6	Ghana-CIP		bdeboeck							
280	PG17136-A6					6	Ghana-CIP		bdeboeck							
281	PG17136-A7					6	Ghana-CIP		bdeboeck							
282	PG17136-A8					6	Ghana-CIP		bdeboeck							
283	PG17136-A9					6	Ghana-CIP		bdeboeck							
284	PG17136-N1					6	Ghana-CIP		bdeboeck							
285	PG17137-A1					6	Ghana-CIP		bdeboeck							
286	PG17137-A11					6	Ghana-CIP		bdeboeck							
287	PG17137-A12					6	Ghana-CIP		bdeboeck							
288	PG17137-A13					6	Ghana-CIP		bdeboeck							
289	PG17137-A15					6	Ghana-CIP		bdeboeck							
290	PG17137-A2					6	Ghana-CIP		bdeboeck							
291	PG17137-A3					6	Ghana-CIP		bdeboeck							
292	PG17137-A4					6	Ghana-CIP		bdeboeck							
293	PG17137-A5					6	Ghana-CIP		bdeboeck							
294	PG17137-A6					6	Ghana-CIP		bdeboeck							
295	PG17137-N1					6	Ghana-CIP		bdeboeck							
296	PG17139-A1					6	Ghana-CIP		bdeboeck							
297	PG17139-A11					6	Ghana-CIP		bdeboeck							
298	PG17139-A12					6	Ghana-CIP		bdeboeck							
299	PG17139-A13					6	Ghana-CIP		bdeboeck							
300	PG17139-A2					6	Ghana-CIP		bdeboeck							
301	PG17139-A3					6	Ghana-CIP		bdeboeck							
302	PG17139-A4					6	Ghana-CIP		bdeboeck							
303	PG17139-A5					6	Ghana-CIP		bdeboeck							
304	PG17139-A8					6	Ghana-CIP		bdeboeck							
