stock_id,uniquename
2160413,TZMRK180009_42-1010
2160414,TZMRK180025_3-2523
2160415,TZMRK180010_33-1136
2160416,TZMRK180010_24-1127
2160417,TZMRK180049_28-4197
2160418,TZMRK180019_64-2070
2160479,TZMRK180002_70-207
2160482,TZMRK180026_35-2612
2160483,TZMRK180012_47-1350
2160484,TZMRK180015_24-1645
2160487,TZMRK180043_18-3855
2160488,TZMRK180027_26-2699
2160489,TZMRK180017_15-1825
2160490,TZMRK180084_2-5773
2160491,TZMRK180023_23-2351
2160494,TZMRK180053_8-4439
2160495,TZMRK180030_49-2991
2160496,TZMRK180017_66-1876
2160498,TZMRK180009_82-1050
2160499,TZMRK180004_50-458
2160504,TZMRK180016_47-1735
2160501,TZMRK180034_15-3218
2160505,TZMRK180013_66-1471
2160506,TZMRK180044_9-3917
2160510,TZMRK180014_28-1535
2160584,TZMRK180056_16-4613
2160585,TZMRK180040_6-3648
2160511,TZMRK180028_40-2797
2160586,TZMRK180011_65-1263
2160515,TZMRK180025_46-2566
2160588,TZMRK180079_9-5620
2160589,TZMRK180036_40-3374
2160591,TZMRK180017_49-1859
2160516,TZMRK180006_50-681
2160593,TZMRK180078_5-5570
2160594,TZMRK180033_3-3132
2160517,TZMRK180063_8-4959
2160595,TZMRK180021_9-2176
2160596,TZMRK180009_16-984
2160598,TZMRK180011_66-1264
2160599,TZMRK180026_13-2590
2160600,TZMRK180041_20-3707
2160601,TZMRK180009_34-1002
2160603,TZMRK180002_47-184
2160604,TZMRK180038_39-3517
2160605,TZMRK180016_10-1698
2160606,TZMRK180024_32-2454
2160609,TZMRK180027_53-2726
2160612,TZMRK180011_42-1240
2160614,TZMRK180020_5-2108
2160616,TZMRK180027_38-2711
2160617,TZMRK180001_92-92
2160618,TZMRK180055_13-4583
2160619,TZMRK180066_5-5076
2160620,TZMRK180014_35-1542
2160621,TZMRK180045_5-3978
2160623,TZMRK180004_22-430
2160624,TZMRK180004_83-491
2160627,TZMRK180031_34-3036
2160629,TZMRK180068_2-5161
2160631,TZMRK180014_34-1541
2160632,TZMRK180039_9-3564
2160635,TZMRK180010_95-1198
2160636,TZMRK180005_9-547
2160638,TZMRK180017_23-1833
2160640,TZMRK180060_14-4840
2160642,TZMRK180051_15-4293
2160643,TZMRK180030_2-2944
2160644,TZMRK180020_31-2134
2160646,TZMRK180023_28-2356
2160647,TZMRK180006_76-707
2160648,TZMRK180060_16-4842
2160649,TZMRK180004_98-506
2160651,TZMRK180050_5-4237
2160652,TZMRK180051_27-4305
2160654,TZMRK180050_44-4276
2160655,TZMRK180058_17-4727
2160656,TZMRK180041_22-3709
2160657,TZMRK180003_79-351
